FID	IID	long
0	HGDP00511	2
0	HGDP00512	2
0	HGDP00513	2
0	HGDP00514	2
0	HGDP00515	2
0	HGDP00516	2
0	HGDP00517	2
0	HGDP00518	2
0	HGDP00519	2
0	HGDP00520	2
0	HGDP00522	2
0	HGDP00523	2
0	HGDP00524	2
0	HGDP00525	2
0	HGDP00527	2
0	HGDP00528	2
0	HGDP00529	2
0	HGDP00531	2
0	HGDP00534	2
0	HGDP00535	2
0	HGDP00536	2
0	HGDP00537	2
0	HGDP00538	2
0	HGDP00539	2
0	HGDP00666	9
0	HGDP00667	9
0	HGDP00668	9
0	HGDP00669	9
0	HGDP00670	9
0	HGDP00671	9
0	HGDP00672	9
0	HGDP00673	9
0	HGDP00674	9
0	HGDP00794	-3
0	HGDP00795	-3
0	HGDP00797	-3
0	HGDP00799	-3
0	HGDP00800	-3
0	HGDP00802	-3
0	HGDP00803	-3
0	HGDP00804	-3
0	HGDP00805	-3
0	HGDP00806	-3
0	HGDP00807	-3
0	HGDP00808	-3
0	HGDP00810	-3
0	HGDP00879	40
0	HGDP00880	40
0	HGDP00881	40
0	HGDP00882	40
0	HGDP00883	40
0	HGDP00884	40
0	HGDP00885	40
0	HGDP00886	40
0	HGDP00888	40
0	HGDP00889	40
0	HGDP00890	40
0	HGDP00891	40
0	HGDP00892	40
0	HGDP00893	40
0	HGDP00894	40
0	HGDP00895	40
0	HGDP00896	40
0	HGDP00897	40
0	HGDP00898	40
0	HGDP00899	40
0	HGDP00900	40
0	HGDP00901	40
0	HGDP00902	40
0	HGDP01062	9
0	HGDP01063	9
0	HGDP01064	9
0	HGDP01065	9
0	HGDP01066	9
0	HGDP01067	9
0	HGDP01068	9
0	HGDP01069	9
0	HGDP01070	9
0	HGDP01071	9
0	HGDP01072	9
0	HGDP01073	9
0	HGDP01074	9
0	HGDP01075	9
0	HGDP01077	9
0	HGDP01149	10
0	HGDP01151	10
0	HGDP01152	10
0	HGDP01155	10
0	HGDP01156	10
0	HGDP01157	10
0	HGDP01161	11
0	HGDP01162	11
0	HGDP01164	11
0	HGDP01166	11
0	HGDP01167	11
0	HGDP01169	11
0	HGDP01171	10
0	HGDP01173	10
0	HGDP01174	10
0	HGDP01177	10
0	HGDP01357	0
0	HGDP01358	0
0	HGDP01359	0
0	HGDP01360	0
0	HGDP01361	0
0	HGDP01362	0
0	HGDP01363	0
0	HGDP01366	0
0	HGDP01367	0
0	HGDP01368	0
0	HGDP01369	0
0	HGDP01370	0
0	HGDP01372	0
0	HGDP01373	0
0	HGDP01374	0
0	HGDP01375	0
0	HGDP01376	0
0	HGDP01377	0
0	HGDP01378	0
0	HGDP01379	0
0	HGDP01380	0
0	HGDP01382	39
0	HGDP01383	39
0	HGDP01384	39
0	HGDP01385	39
0	HGDP01386	39
0	HGDP01387	39
0	HGDP01388	39
0	HGDP01396	39
0	HGDP01397	39
0	HGDP01398	39
0	HGDP01399	39
0	HGDP01400	39
0	HGDP01403	39
0	HGDP01404	39
0	LP6005441-DNA_A01	39
0	LP6005441-DNA_A05	2
0	LP6005441-DNA_A06	10
0	LP6005441-DNA_B01	39
0	LP6005441-DNA_B05	2
0	LP6005441-DNA_B06	10
0	LP6005441-DNA_C02	0
0	LP6005441-DNA_C09	-3
0	LP6005441-DNA_C11	9
0	LP6005441-DNA_D02	0
0	LP6005441-DNA_D09	-3
0	LP6005441-DNA_D11	9
0	LP6005441-DNA_G10	40
0	LP6005441-DNA_G12	11
0	LP6005441-DNA_H10	40
0	LP6005441-DNA_H12	11
0	SS6004468	2
0	SS6004474	9
0	HGDP01371	0
0	HGDP01381	39
0	HG00096	-1.891667
0	HG00097	-1.891667
0	HG00099	-1.891667
0	HG00100	-1.891667
0	HG00101	-1.891667
0	HG00102	-1.891667
0	HG00103	-1.891667
0	HG00105	-1.891667
0	HG00106	-1.891667
0	HG00107	-1.891667
0	HG00108	-1.891667
0	HG00109	-1.891667
0	HG00110	-1.891667
0	HG00111	-1.891667
0	HG00112	-1.891667
0	HG00113	-1.891667
0	HG00114	-1.891667
0	HG00115	-1.891667
0	HG00116	-1.891667
0	HG00117	-1.891667
0	HG00118	-1.891667
0	HG00119	-1.891667
0	HG00120	-1.891667
0	HG00121	-1.891667
0	HG00122	-1.891667
0	HG00123	-1.891667
0	HG00125	-1.891667
0	HG00126	-1.891667
0	HG00127	-1.891667
0	HG00128	-1.891667
0	HG00129	-1.891667
0	HG00130	-1.891667
0	HG00131	-1.891667
0	HG00132	-1.891667
0	HG00133	-1.891667
0	HG00136	-1.891667
0	HG00137	-1.891667
0	HG00138	-1.891667
0	HG00139	-1.891667
0	HG00140	-1.891667
0	HG00141	-1.891667
0	HG00142	-1.891667
0	HG00143	-1.891667
0	HG00145	-1.891667
0	HG00146	-1.891667
0	HG00148	-1.891667
0	HG00149	-1.891667
0	HG00150	-1.891667
0	HG00151	-1.891667
0	HG00154	-1.891667
0	HG00155	-1.891667
0	HG00157	-1.891667
0	HG00158	-1.891667
0	HG00159	-1.891667
0	HG00160	-1.891667
0	HG00231	-1.891667
0	HG00232	-1.891667
0	HG00233	-1.891667
0	HG00234	-1.891667
0	HG00235	-1.891667
0	HG00236	-1.891667
0	HG00237	-1.891667
0	HG00238	-1.891667
0	HG00239	-1.891667
0	HG00240	-1.891667
0	HG00242	-1.891667
0	HG00243	-1.891667
0	HG00244	-1.891667
0	HG00245	-1.891667
0	HG00246	-1.891667
0	HG00250	-1.891667
0	HG00251	-1.891667
0	HG00252	-1.891667
0	HG00253	-1.891667
0	HG00254	-1.891667
0	HG00255	-1.891667
0	HG00256	-1.891667
0	HG00257	-1.891667
0	HG00258	-1.891667
0	HG00259	-1.891667
0	HG00260	-1.891667
0	HG00261	-1.891667
0	HG00262	-1.891667
0	HG00263	-1.891667
0	HG00264	-1.891667
0	HG00265	-1.891667
0	HG01334	-1.891667
0	HG01500	-3.716667
0	HG01501	-3.716667
0	HG01502	-3.716667
0	HG01503	-3.716667
0	HG01504	-3.716667
0	HG01505	-3.716667
0	HG01506	-3.716667
0	HG01507	-3.716667
0	HG01508	-3.716667
0	HG01509	-3.716667
0	HG01510	-3.716667
0	HG01511	-3.716667
0	HG01512	-3.716667
0	HG01513	-3.716667
0	HG01514	-3.716667
0	HG01515	-3.716667
0	HG01516	-3.716667
0	HG01517	-3.716667
0	HG01518	-3.716667
0	HG01519	-3.716667
0	HG01520	-3.716667
0	HG01521	-3.716667
0	HG01522	-3.716667
0	HG01523	-3.716667
0	HG01524	-3.716667
0	HG01525	-3.716667
0	HG01526	-3.716667
0	HG01527	-3.716667
0	HG01528	-3.716667
0	HG01529	-3.716667
0	HG01530	-3.716667
0	HG01531	-3.716667
0	HG01532	-3.716667
0	HG01536	-3.716667
0	HG01537	-3.716667
0	HG01538	-3.716667
0	HG01601	-3.716667
0	HG01602	-3.716667
0	HG01603	-3.716667
0	HG01604	-3.716667
0	HG01605	-3.716667
0	HG01606	-3.716667
0	HG01607	-3.716667
0	HG01608	-3.716667
0	HG01609	-3.716667
0	HG01610	-3.716667
0	HG01611	-3.716667
0	HG01612	-3.716667
0	HG01613	-3.716667
0	HG01614	-3.716667
0	HG01615	-3.716667
0	HG01616	-3.716667
0	HG01617	-3.716667
0	HG01618	-3.716667
0	HG01619	-3.716667
0	HG01620	-3.716667
0	HG01621	-3.716667
0	HG01622	-3.716667
0	HG01623	-3.716667
0	HG01624	-3.716667
0	HG01625	-3.716667
0	HG01626	-3.716667
0	HG01627	-3.716667
0	HG01628	-3.716667
0	HG01629	-3.716667
0	HG01630	-3.716667
0	HG01631	-3.716667
0	HG01632	-3.716667
0	HG01633	-3.716667
0	HG01667	-3.716667
0	HG01668	-3.716667
0	HG01669	-3.716667
0	HG01670	-3.716667
0	HG01671	-3.716667
0	HG01672	-3.716667
0	HG01673	-3.716667
0	HG01674	-3.716667
0	HG01675	-3.716667
0	HG01676	-3.716667
0	HG01677	-3.716667
0	HG01678	-3.716667
0	HG01679	-3.716667
0	HG01680	-3.716667
0	HG01681	-3.716667
0	HG01682	-3.716667
0	HG01683	-3.716667
0	HG01684	-3.716667
0	HG01685	-3.716667
0	HG01686	-3.716667
0	HG01687	-3.716667
0	HG01694	-3.716667
0	HG01695	-3.716667
0	HG01696	-3.716667
0	HG01697	-3.716667
0	HG01698	-3.716667
0	HG01699	-3.716667
