#FID	IID	POP
2384034	2384034	Europe
2183614	2183614	Europe
2294861	2294861	Europe
3883963	3883963	Europe
4319042	4319042	Europe
5414509	5414509	Europe
3941633	3941633	Europe
3841357	3841357	Europe
3084425	3084425	Europe
4236089	4236089	Europe
4290513	4290513	Europe
1778461	1778461	Europe
4780992	4780992	Europe
3927114	3927114	Europe
2090986	2090986	Europe
1542664	1542664	Europe
1439115	1439115	Europe
5582560	5582560	Europe
3451714	3451714	Europe
3911538	3911538	Europe
3570212	3570212	Europe
1575613	1575613	Europe
5060515	5060515	Europe
2380814	2380814	Europe
3844096	3844096	Europe
1181784	1181784	Europe
5738562	5738562	Europe
3275904	3275904	Europe
1871827	1871827	Europe
4294845	4294845	Europe
5934835	5934835	Europe
2930177	2930177	Europe
3560734	3560734	Europe
2189004	2189004	Europe
4769460	4769460	Europe
1693793	1693793	Europe
3525927	3525927	Europe
1642846	1642846	Europe
4848757	4848757	Europe
3215773	3215773	Europe
3395471	3395471	Europe
1329282	1329282	Europe
2069958	2069958	Europe
5052612	5052612	Europe
5168902	5168902	Europe
3715024	3715024	Europe
5082950	5082950	Europe
2320910	2320910	Europe
3074517	3074517	Europe
1556938	1556938	Europe
4829463	4829463	Europe
1046036	1046036	Europe
6001120	6001120	Europe
3903218	3903218	Europe
4094206	4094206	Europe
3662091	3662091	Europe
5845931	5845931	Europe
5428661	5428661	Europe
1232305	1232305	Europe
2410062	2410062	Europe
2147234	2147234	Europe
3224846	3224846	Europe
3241396	3241396	Europe
2461360	2461360	Europe
1125953	1125953	Europe
5602027	5602027	Europe
3461021	3461021	Europe
1448453	1448453	Mixed
5291817	5291817	Europe
3546532	3546532	Europe
1369584	1369584	Europe
2239833	2239833	Europe
4156335	4156335	Europe
4878431	4878431	Europe
2978870	2978870	Europe
1015724	1015724	Europe
3095411	3095411	Europe
1868004	1868004	Europe
3887356	3887356	Europe
3243430	3243430	Europe
1941749	1941749	Europe
1247699	1247699	Europe
2910409	2910409	Europe
2113429	2113429	Europe
4923104	4923104	Europe
4379092	4379092	Europe
4673756	4673756	Europe
5204923	5204923	Europe
2447142	2447142	Europe
4206503	4206503	Europe
1521714	1521714	Europe
2556698	2556698	Europe
2020377	2020377	Europe
5192555	5192555	Europe
2855284	2855284	Europe
1742331	1742331	Europe
4322459	4322459	Europe
2136362	2136362	Europe
2894931	2894931	Europe
3280053	3280053	Europe
5338544	5338544	Europe
5556941	5556941	Europe
5882750	5882750	Europe
3994712	3994712	Europe
3964890	3964890	Europe
2956912	2956912	Europe
1198421	1198421	Europe
1216136	1216136	Europe
4411670	4411670	Europe
4841339	4841339	Europe
5080033	5080033	Europe
2648979	2648979	Europe
1466416	1466416	Europe
2955451	2955451	Europe
5473546	5473546	Europe
4495802	4495802	Europe
4945832	4945832	Europe
2991760	2991760	Europe
3185028	3185028	Europe
1494456	1494456	Europe
1133815	1133815	Europe
2924823	2924823	Europe
1253028	1253028	Europe
4837580	4837580	Europe
2502639	2502639	Europe
3011650	3011650	Europe
5744040	5744040	Europe
2747478	2747478	Europe
3476391	3476391	Europe
2371913	2371913	Europe
1090994	1090994	Europe
4701251	4701251	Europe
3554172	3554172	Europe
2238225	2238225	Europe
2033690	2033690	Europe
2645406	2645406	Europe
4736942	4736942	Europe
5185006	5185006	Europe
4377682	4377682	Europe
3850290	3850290	Europe
4087767	4087767	Europe
3701202	3701202	Europe
3817915	3817915	Europe
2874846	2874846	Europe
1266397	1266397	Europe
4296607	4296607	Europe
2355277	2355277	Europe
5452591	5452591	Europe
1827132	1827132	Europe
5098133	5098133	Europe
3785387	3785387	Europe
3543003	3543003	Europe
5727955	5727955	Europe
2984563	2984563	Europe
4839650	4839650	Europe
5666849	5666849	Europe
3694259	3694259	Europe
5094667	5094667	Europe
5308667	5308667	Europe
3186887	3186887	Europe
2812317	2812317	Europe
1630763	1630763	Europe
4799584	4799584	Europe
2924685	2924685	Europe
3550937	3550937	Europe
4687781	4687781	Europe
5877162	5877162	Europe
5783088	5783088	Europe
5998162	5998162	Europe
1625757	1625757	Europe
3804135	3804135	Europe
1785771	1785771	Europe
5589977	5589977	Europe
4975311	4975311	Europe
6010881	6010881	Europe
2814448	2814448	Europe
1011016	1011016	Europe
4118372	4118372	Europe
4489280	4489280	Europe
3907307	3907307	Europe
4788618	4788618	Europe
2496925	2496925	Europe
1320175	1320175	Europe
4233873	4233873	Europe
3725167	3725167	Europe
1355326	1355326	Europe
3919223	3919223	Europe
5179941	5179941	Europe
4538075	4538075	Europe
5671049	5671049	Europe
2082981	2082981	Europe
1379250	1379250	Europe
1922671	1922671	Europe
5012958	5012958	Europe
4522272	4522272	Europe
1584234	1584234	Europe
3642787	3642787	Europe
4135504	4135504	Europe
4977697	4977697	Europe
4161861	4161861	Europe
3736698	3736698	Europe
1092428	1092428	Europe
1312558	1312558	Europe
5430212	5430212	Europe
5177341	5177341	Europe
3702565	3702565	Europe
5339254	5339254	Europe
2767208	2767208	Europe
3239840	3239840	Europe
1336106	1336106	Europe
1117828	1117828	Europe
2480451	2480451	Europe
2740387	2740387	Europe
1737652	1737652	Europe
3658557	3658557	Europe
4542393	4542393	Europe
4223777	4223777	Europe
3980553	3980553	Europe
4417215	4417215	Europe
3898811	3898811	Europe
2314759	2314759	Europe
2908232	2908232	Europe
1101431	1101431	Europe
