#FID	IID	POP
1423293	1423293	Europe
3229071	3229071	Europe
5393013	5393013	Europe
3172724	3172724	Europe
3290031	3290031	Europe
3959100	3959100	Europe
3553908	3553908	Europe
4508948	4508948	Europe
5803298	5803298	Europe
4051730	4051730	Europe
4856695	4856695	Europe
5515775	5515775	Europe
1780001	1780001	Europe
1165987	1165987	Europe
3798135	3798135	Europe
1567048	1567048	Europe
2225763	2225763	Europe
1856535	1856535	Europe
1121399	1121399	Europe
5870530	5870530	Europe
3642484	3642484	Europe
1036027	1036027	Europe
4760446	4760446	Europe
1426409	1426409	Europe
2006261	2006261	Europe
4483420	4483420	Europe
5452670	5452670	Europe
3847488	3847488	Europe
4752258	4752258	Europe
2433471	2433471	Europe
4881723	4881723	Europe
1701018	1701018	
5906556	5906556	Europe
3147515	3147515	Europe
3073009	3073009	Europe
3248777	3248777	Europe
5458823	5458823	Europe
2492285	2492285	Europe
2056964	2056964	Europe
4137332	4137332	Europe
5405720	5405720	Europe
3890974	3890974	Europe
2367520	2367520	Europe
2585350	2585350	Europe
4151767	4151767	Europe
1116205	1116205	Europe
2356963	2356963	Europe
2232496	2232496	Europe
1011463	1011463	Europe
5672234	5672234	Europe
4821643	4821643	Europe
5558007	5558007	Europe
5509574	5509574	Europe
3733000	3733000	Europe
2302857	2302857	Europe
5325053	5325053	Europe
2912734	2912734	Europe
2569106	2569106	Europe
4721025	4721025	Europe
2695205	2695205	Europe
4495033	4495033	Europe
3821924	3821924	Europe
1253192	1253192	Europe
4444962	4444962	Europe
2820981	2820981	Europe
4886699	4886699	Europe
4243306	4243306	Europe
2911101	2911101	Europe
5045597	5045597	Europe
5974541	5974541	Europe
1996509	1996509	Europe
5978048	5978048	Europe
3273631	3273631	Europe
1925358	1925358	Europe
2362094	2362094	Europe
4917731	4917731	Europe
5132870	5132870	Europe
4032309	4032309	Europe
2217314	2217314	Europe
3545145	3545145	Europe
3062931	3062931	Europe
2295129	2295129	Europe
3557396	3557396	Europe
2751383	2751383	Europe
4615515	4615515	Europe
3877463	3877463	Europe
2895745	2895745	Europe
2619020	2619020	Europe
2543613	2543613	Europe
3718950	3718950	Europe
3146821	3146821	Europe
3057705	3057705	Europe
4531999	4531999	Europe
1510116	1510116	Europe
1899581	1899581	Europe
1002825	1002825	Europe
4011317	4011317	Europe
3353819	3353819	Europe
2666246	2666246	Europe
5688607	5688607	Europe
5242540	5242540	Europe
4093316	4093316	Europe
3119470	3119470	Europe
4778798	4778798	Europe
1980667	1980667	Europe
4553408	4553408	Europe
3727658	3727658	Europe
5287689	5287689	Europe
2127576	2127576	Europe
5238696	5238696	Europe
1769591	1769591	Europe
3574327	3574327	Europe
4086172	4086172	Europe
5970917	5970917	Europe
1444780	1444780	Europe
2870268	2870268	Europe
3588523	3588523	Europe
1886246	1886246	Europe
4990533	4990533	Europe
5367840	5367840	Europe
3555575	3555575	Europe
5122830	5122830	Europe
4430024	4430024	Europe
2782501	2782501	Europe
5994120	5994120	Europe
4959762	4959762	Europe
3432181	3432181	Europe
4690672	4690672	Europe
2734934	2734934	Europe
2629939	2629939	Europe
5143967	5143967	Europe
2792472	2792472	Europe
4184745	4184745	Europe
5913996	5913996	Europe
1893548	1893548	Europe
2055867	2055867	Europe
3436859	3436859	Europe
4673055	4673055	Europe
2523794	2523794	Europe
5745033	5745033	Europe
1924762	1924762	Europe
5705407	5705407	Europe
3682639	3682639	Europe
2460326	2460326	Europe
1297020	1297020	Europe
1113539	1113539	Europe
1005977	1005977	Europe
5529143	5529143	Europe
4285617	4285617	Europe
1009064	1009064	Europe
5227365	5227365	Europe
4445137	4445137	Europe
3119364	3119364	Europe
1446331	1446331	Europe
4615479	4615479	Europe
3654166	3654166	Europe
2643911	2643911	Europe
2247985	2247985	Europe
1322074	1322074	Europe
4965121	4965121	Europe
1334120	1334120	Europe
2163516	2163516	Europe
3812064	3812064	Europe
2246666	2246666	
3005431	3005431	Europe
3976480	3976480	Europe
2704611	2704611	Europe
3981763	3981763	Europe
6021671	6021671	Europe
5084916	5084916	Europe
5219336	5219336	Europe
1573497	1573497	Europe
1634144	1634144	Europe
4101566	4101566	Europe
5411711	5411711	Europe
4672391	4672391	Europe
3590178	3590178	Europe
4902725	4902725	Europe
5320787	5320787	Europe
4359439	4359439	Europe
5142308	5142308	Europe
1990496	1990496	Europe
4425160	4425160	Europe
1291361	1291361	Europe
4875304	4875304	Europe
4004687	4004687	Europe
2840108	2840108	Europe
1243810	1243810	Europe
4515476	4515476	Europe
5067835	5067835	Europe
5829246	5829246	Europe
1529686	1529686	Europe
2607490	2607490	Europe
2131375	2131375	Europe
1691089	1691089	Europe
1123670	1123670	Europe
4965306	4965306	Europe
2220155	2220155	Europe
1750438	1750438	Europe
4158525	4158525	Europe
1226595	1226595	Europe
4009136	4009136	Europe
4960082	4960082	Europe
3143396	3143396	Europe
2418028	2418028	Europe
3719264	3719264	Europe
2971876	2971876	Europe
5975832	5975832	Europe
1643684	1643684	Europe
1181286	1181286	Europe
5416487	5416487	Europe
4119533	4119533	Europe
1180455	1180455	Europe
4203024	4203024	Europe
2266886	2266886	Europe
2854310	2854310	Europe
2465801	2465801	Europe
3864575	3864575	Europe
2441342	2441342	Europe
1409729	1409729	Europe
2528439	2528439	Europe
1574856	1574856	Europe
4444518	4444518	Europe
1631127	1631127	Europe
3466742	3466742	Europe
3284992	3284992	Europe
4065939	4065939	Europe
5405576	5405576	Europe
1995814	1995814	Europe
3516862	3516862	Europe
4928472	4928472	Europe
5440728	5440728	Europe
1077382	1077382	Europe
5901530	5901530	Europe
1585362	1585362	Europe
3522965	3522965	Europe
4505944	4505944	Europe
4143060	4143060	Europe
5054999	5054999	Europe
5249158	5249158	Europe
3461361	3461361	Europe
3524308	3524308	Europe
5942064	5942064	Europe
5139496	5139496	Europe
1453134	1453134	Europe
5610940	5610940	Europe
2503437	2503437	Europe
1815552	1815552	Europe
4981404	4981404	Europe
2107543	2107543	Europe
5042879	5042879	Europe
1091995	1091995	Europe
4218193	4218193	
4920153	4920153	Europe
3543717	3543717	Europe
1312871	1312871	Europe
5028195	5028195	Europe
2063629	2063629	Europe
1353638	1353638	Europe
3765184	3765184	Europe
3266608	3266608	Europe
1997927	1997927	Europe
1764565	1764565	Europe
3784285	3784285	Europe
4222774	4222774	Europe
4166016	4166016	Europe
2373830	2373830	Europe
2287490	2287490	Europe
1887079	1887079	Europe
3491112	3491112	Europe
1397934	1397934	Europe
5514003	5514003	Europe
5120867	5120867	Europe
1615889	1615889	Europe
5691694	5691694	Europe
4754908	4754908	Europe
4348666	4348666	Europe
2133419	2133419	Europe
5690240	5690240	Europe
1009633	1009633	Europe
1144651	1144651	Europe
3684204	3684204	Europe
3112841	3112841	Europe
5000350	5000350	Europe
1391004	1391004	Europe
1365047	1365047	Europe
3695525	3695525	Europe
5751149	5751149	Europe
4028662	4028662	Europe
5475726	5475726	Europe
2278918	2278918	Europe
5553759	5553759	Europe
3386484	3386484	Europe
1755626	1755626	Europe
5791247	5791247	Europe
4851617	4851617	Europe
4542538	4542538	Europe
2333023	2333023	Europe
5554017	5554017	Europe
5663672	5663672	Europe
4053448	4053448	Europe
4720861	4720861	Europe
4480609	4480609	Europe
3786193	3786193	Europe
3894192	3894192	Europe
2375131	2375131	Europe
3680196	3680196	Europe
3996864	3996864	Europe
1632837	1632837	Europe
4063064	4063064	Europe
5418378	5418378	Europe
3603806	3603806	Europe
3907980	3907980	Europe
5454229	5454229	Europe
2465797	2465797	Europe
2318716	2318716	Europe
3372209	3372209	Europe
1310177	1310177	Europe
2741456	2741456	Europe
1379616	1379616	Europe
3533271	3533271	Europe
1587047	1587047	Europe
5401046	5401046	Europe
2927699	2927699	Europe
4652693	4652693	Europe
5150199	5150199	Europe
2612069	2612069	Europe
5313266	5313266	Europe
2987632	2987632	Europe
1624041	1624041	Europe
4847819	4847819	Europe
5574510	5574510	Europe
2682101	2682101	Europe
5348462	5348462	Europe
5789740	5789740	Europe
5795512	5795512	Europe
4226658	4226658	Europe
4274028	4274028	Europe
1360042	1360042	Europe
5823162	5823162	Europe
3092018	3092018	Europe
4780139	4780139	Europe
2049757	2049757	Europe
2381050	2381050	Europe
5202701	5202701	Europe
4010101	4010101	Europe
2311083	2311083	Europe
2614252	2614252	Europe
2414046	2414046	Europe
5779548	5779548	Europe
1436768	1436768	Europe
3880216	3880216	Europe
4399575	4399575	Europe
5261868	5261868	Europe
4236371	4236371	Europe
2780441	2780441	Europe
5388509	5388509	Europe
3038461	3038461	Europe
1222209	1222209	Europe
1349579	1349579	Europe
4845574	4845574	Europe
4705299	4705299	Europe
5753222	5753222	Europe
4765341	4765341	Europe
4305041	4305041	Europe
2008314	2008314	Europe
1944543	1944543	Europe
4611319	4611319	Europe
4239043	4239043	Europe
3773192	3773192	Europe
4962316	4962316	Europe
1635249	1635249	Europe
5400404	5400404	Europe
1013960	1013960	Europe
4165253	4165253	Europe
2171798	2171798	Europe
5533933	5533933	Europe
2086428	2086428	Europe
5163489	5163489	Europe
5197141	5197141	Europe
4088715	4088715	Europe
2427384	2427384	Europe
5726579	5726579	Europe
2248478	2248478	Europe
2785428	2785428	Europe
2102223	2102223	Europe
1667871	1667871	Europe
1728068	1728068	Europe
1366100	1366100	Europe
4590092	4590092	Europe
3875635	3875635	Europe
3085802	3085802	Europe
2655541	2655541	Europe
2270942	2270942	Europe
1604638	1604638	Europe
2082208	2082208	Europe
3010753	3010753	Europe
4776259	4776259	Europe
2723521	2723521	Europe
2467649	2467649	Europe
4573840	4573840	Europe
5268787	5268787	Europe
3742624	3742624	Europe
4552014	4552014	Europe
2517985	2517985	Europe
2911435	2911435	Europe
4620394	4620394	Europe
5794663	5794663	Europe
2227215	2227215	Europe
5978115	5978115	Europe
5368941	5368941	Europe
3188130	3188130	Europe
3951608	3951608	Europe
2016570	2016570	Europe
4691799	4691799	Europe
2530358	2530358	Europe
5873977	5873977	Europe
5503284	5503284	Europe
3254134	3254134	Europe
5477240	5477240	Europe
5483733	5483733	Europe
2111680	2111680	Europe
5930313	5930313	Europe
3384852	3384852	Europe
1278133	1278133	Europe
5771397	5771397	Europe
2950361	2950361	Europe
5730679	5730679	Europe
4450888	4450888	Europe
5097334	5097334	Europe
2633646	2633646	Europe
5955956	5955956	Europe
2903101	2903101	Europe
4439746	4439746	Europe
1365313	1365313	Europe
2379910	2379910	Europe
2631883	2631883	Europe
5484767	5484767	Europe
3932409	3932409	Europe
4767435	4767435	Europe
1127474	1127474	Europe
5634652	5634652	Europe
3331310	3331310	Europe
1686463	1686463	Europe
1861680	1861680	Europe
4766834	4766834	Europe
5961652	5961652	Europe
4140327	4140327	Europe
5286741	5286741	Europe
3516640	3516640	Europe
3716505	3716505	Europe
4216082	4216082	Europe
3659688	3659688	Europe
1569625	1569625	Europe
2063425	2063425	Europe
4276000	4276000	Europe
4385971	4385971	Europe
5151064	5151064	Europe
1799340	1799340	Europe
1273990	1273990	Europe
4125368	4125368	Europe
5700019	5700019	Europe
2994721	2994721	Europe
1933232	1933232	Europe
5412546	5412546	Europe
2664564	2664564	Europe
2993539	2993539	Europe
2734618	2734618	Europe
2569854	2569854	Europe
5442831	5442831	Europe
4738296	4738296	Europe
1758566	1758566	Europe
1569717	1569717	Europe
3121345	3121345	Europe
4369017	4369017	Europe
1551902	1551902	Europe
4801953	4801953	Europe
2019197	2019197	Europe
3707241	3707241	Europe
4065449	4065449	Europe
3136280	3136280	Europe
2667266	2667266	Europe
2878032	2878032	Europe
1311636	1311636	Europe
3797261	3797261	Europe
2074030	2074030	Europe
1731238	1731238	Europe
2952182	2952182	Europe
5877331	5877331	Europe
1543213	1543213	Europe
1207799	1207799	Europe
4000326	4000326	Europe
3192601	3192601	Europe
1273640	1273640	Europe
2533422	2533422	Europe
3471937	3471937	Europe
4346178	4346178	Europe
3346282	3346282	Europe
3606663	3606663	Europe
4216051	4216051	Europe
2988798	2988798	Europe
1844631	1844631	Europe
5484495	5484495	Europe
4789415	4789415	Europe
2791281	2791281	Europe
1825700	1825700	Europe
1330538	1330538	Europe
5948417	5948417	Europe
3292263	3292263	Europe
1480394	1480394	Europe
3589730	3589730	Europe
2404836	2404836	Europe
5540348	5540348	Europe
4897841	4897841	Europe
5658279	5658279	Europe
5487651	5487651	Europe
1152766	1152766	Europe
4421003	4421003	Europe
3675903	3675903	Europe
1061932	1061932	Europe
2091711	2091711	Europe
1384365	1384365	Europe
4369479	4369479	Europe
1369923	1369923	Europe
4136609	4136609	Europe
4488294	4488294	Europe
3999746	3999746	Europe
3386725	3386725	Europe
4156631	4156631	Europe
1788847	1788847	Europe
2495853	2495853	Europe
4791709	4791709	Europe
3659784	3659784	Europe
3514851	3514851	Europe
1832443	1832443	Europe
2611030	2611030	Europe
4204956	4204956	Europe
2177877	2177877	Europe
1933225	1933225	Europe
1966316	1966316	Europe
1514653	1514653	Europe
5399048	5399048	Europe
2795006	2795006	Europe
2722295	2722295	Europe
4919954	4919954	Europe
3681007	3681007	Europe
4270623	4270623	Europe
2046162	2046162	Europe
1381247	1381247	Europe
1880924	1880924	Europe
1436960	1436960	Europe
1914224	1914224	Europe
4922976	4922976	Europe
4179360	4179360	Europe
1896523	1896523	Europe
5027954	5027954	Europe
1579183	1579183	Europe
3908299	3908299	Europe
3944179	3944179	Europe
4715742	4715742	Europe
2621874	2621874	Europe
3847306	3847306	Europe
1573922	1573922	Europe
1412693	1412693	Europe
5482835	5482835	Europe
3073876	3073876	Europe
3179002	3179002	Europe
2097951	2097951	Europe
1346705	1346705	Europe
5956125	5956125	Europe
5087029	5087029	Europe
4661993	4661993	Europe
3929099	3929099	Europe
1142101	1142101	Europe
4457088	4457088	Europe
1661895	1661895	Europe
1724653	1724653	Europe
1352197	1352197	Europe
5684995	5684995	Europe
4329534	4329534	Europe
4660723	4660723	Europe
3501508	3501508	Europe
1099713	1099713	Europe
2969983	2969983	Europe
2482309	2482309	Europe
5163428	5163428	Europe
4244062	4244062	Europe
3991570	3991570	Europe
5134969	5134969	Europe
2758988	2758988	Europe
2928027	2928027	Europe
5119360	5119360	Europe
2819278	2819278	Europe
5101895	5101895	Europe
1757282	1757282	Europe
1136562	1136562	Europe
4043639	4043639	Europe
4194159	4194159	Europe
2880556	2880556	Europe
1946318	1946318	Europe
3112126	3112126	Europe
5582227	5582227	Europe
4288577	4288577	Europe
3608996	3608996	Europe
2164082	2164082	Europe
5071181	5071181	Europe
3154948	3154948	Europe
1028616	1028616	Europe
4094310	4094310	Europe
3681638	3681638	Europe
4090852	4090852	Europe
1380955	1380955	Europe
4174803	4174803	Europe
2221840	2221840	Europe
1247655	1247655	Europe
4213891	4213891	Europe
1159947	1159947	Europe
5990266	5990266	Europe
5247907	5247907	Europe
1611749	1611749	Europe
4520528	4520528	Europe
2202633	2202633	Europe
2444515	2444515	Europe
2675894	2675894	Europe
4555831	4555831	Europe
5240156	5240156	Europe
3082866	3082866	Europe
1860052	1860052	Europe
1006104	1006104	Europe
2892962	2892962	Europe
5140442	5140442	Europe
4383983	4383983	Europe
3269588	3269588	Europe
1626342	1626342	Europe
1954384	1954384	Europe
3463444	3463444	Europe
5925258	5925258	Europe
1341728	1341728	Europe
1796731	1796731	Europe
2044035	2044035	Europe
5325820	5325820	Europe
5747025	5747025	Europe
