#FID	IID	POP
1645672	1645672	Afr
5728032	5728032	Afr
4831500	4831500	Afr
3993056	3993056	Afr
1981087	1981087	Afr
3669101	3669101	Afr
1209207	1209207	Afr
5222250	5222250	Afr
4181051	4181051	Afr
5825132	5825132	Afr
1802956	1802956	Afr
4121910	4121910	Afr
2208538	2208538	Afr
4005876	4005876	Afr
3249577	3249577	Afr
2423763	2423763	Afr
1183051	1183051	Afr
1577372	1577372	Afr
4207058	4207058	Afr
3564942	3564942	Afr
1951983	1951983	Afr
4426014	4426014	Afr
2126414	2126414	Afr
5922758	5922758	Afr
4374414	4374414	Afr
3520136	3520136	Afr
3689598	3689598	Afr
2200861	2200861	Afr
5723651	5723651	Afr
1149984	1149984	Afr
2763779	2763779	Afr
2090343	2090343	Afr
4928490	4928490	Afr
4038910	4038910	Afr
2866356	2866356	Afr
4773860	4773860	Afr
4064502	4064502	Afr
1189730	1189730	Afr
5762050	5762050	Afr
1192761	1192761	Afr
4032590	4032590	Afr
2967743	2967743	Afr
5321382	5321382	Afr
2253515	2253515	Afr
1443095	1443095	Afr
3523187	3523187	Afr
2602947	2602947	Afr
1975827	1975827	Afr
4301042	4301042	Afr
2125224	2125224	Afr
2943452	2943452	Afr
3616642	3616642	Afr
3136940	3136940	Afr
5672339	5672339	Afr
4254850	4254850	Afr
1433108	1433108	Afr
1575929	1575929	Afr
3523574	3523574	Afr
2842346	2842346	Afr
2940670	2940670	Afr
2933965	2933965	Afr
5081065	5081065	Afr
3693293	3693293	Afr
2612177	2612177	Afr
3509645	3509645	Afr
4185700	4185700	Afr
2919307	2919307	Afr
2581532	2581532	Afr
4720611	4720611	Afr
3397021	3397021	Afr
1853421	1853421	Afr
4709980	4709980	Afr
2132742	2132742	Afr
1962530	1962530	Afr
3663859	3663859	Afr
3277567	3277567	Afr
1283561	1283561	Afr
4585594	4585594	Afr
5848949	5848949	Afr
4959154	4959154	Afr
6013803	6013803	Afr
3070297	3070297	Afr
5009451	5009451	Afr
5497178	5497178	Afr
5821299	5821299	Afr
4360466	4360466	Afr
3453757	3453757	Afr
3061161	3061161	Afr
3109523	3109523	Afr
3429418	3429418	Afr
1644992	1644992	Afr
5802450	5802450	Afr
2653534	2653534	Afr
2063012	2063012	Afr
4225516	4225516	Afr
4599534	4599534	Afr
2664642	2664642	Afr
5043856	5043856	Afr
1390111	1390111	Afr
1058179	1058179	Afr
1694354	1694354	Afr
2116829	2116829	Afr
5119928	5119928	Afr
1708652	1708652	Afr
2306886	2306886	Afr
2166535	2166535	Afr
4562033	4562033	Afr
1172858	1172858	Afr
3255926	3255926	Afr
1652776	1652776	Afr
1497774	1497774	Afr
5433785	5433785	Afr
1059030	1059030	Afr
2346727	2346727	Afr
2404441	2404441	Afr
1053324	1053324	Afr
1581079	1581079	Afr
2260465	2260465	Afr
1732490	1732490	Afr
2498946	2498946	Afr
5874475	5874475	Afr
3493150	3493150	Afr
2927634	2927634	Afr
2165795	2165795	Afr
6012510	6012510	Afr
1772749	1772749	Afr
3575699	3575699	Afr
5416837	5416837	Afr
1462471	1462471	Afr
2567931	2567931	Afr
4373454	4373454	Afr
