#FID	IID	POP
4143337	4143337	Afr
3897456	3897456	Afr
4081398	4081398	Afr
4942462	4942462	Afr
2655184	2655184	Afr
4905929	4905929	Afr
1566597	1566597	Afr
4972657	4972657	Afr
1647376	1647376	Afr
2815737	2815737	Afr
4572353	4572353	Afr
4682128	4682128	Afr
1150447	1150447	Afr
5482584	5482584	Afr
5704338	5704338	Afr
4873098	4873098	Afr
5214626	5214626	Afr
5777345	5777345	Afr
2571125	2571125	Afr
3243459	3243459	Afr
1348743	1348743	Afr
3340035	3340035	Afr
2753633	2753633	Afr
1572373	1572373	Afr
4758634	4758634	Afr
2617688	2617688	Afr
3720797	3720797	Afr
5498789	5498789	Afr
5257662	5257662	Afr
3596860	3596860	Afr
1021752	1021752	Afr
4275377	4275377	Afr
4007853	4007853	Afr
1762112	1762112	Afr
5563475	5563475	Afr
2810699	2810699	Afr
3172550	3172550	Afr
5390408	5390408	Afr
5001742	5001742	Afr
2066308	2066308	Afr
5706174	5706174	Afr
4980979	4980979	Afr
2650178	2650178	Afr
3962994	3962994	Afr
4116391	4116391	Afr
3842886	3842886	Afr
1198940	1198940	Afr
1178252	1178252	Afr
2274304	2274304	Afr
1060073	1060073	Afr
1903919	1903919	Afr
2692158	2692158	Afr
5243884	5243884	Afr
5966664	5966664	Afr
2051356	2051356	Afr
1447853	1447853	Afr
5937865	5937865	Afr
1363656	1363656	Afr
5342473	5342473	Afr
1825330	1825330	Afr
1459759	1459759	Afr
3131569	3131569	Afr
3520136	3520136	Afr
1172858	1172858	Afr
5632977	5632977	Afr
5745355	5745355	Afr
3137786	3137786	Afr
4681306	4681306	Afr
2144411	2144411	Afr
4433881	4433881	Afr
4159787	4159787	Afr
4858886	4858886	Afr
2357179	2357179	Afr
2017079	2017079	Afr
4324226	4324226	Afr
2226596	2226596	Afr
3396287	3396287	Afr
5107411	5107411	Afr
1896385	1896385	Afr
3653455	3653455	Afr
1776237	1776237	Afr
5848171	5848171	Afr
4727179	4727179	Afr
1638535	1638535	Afr
3195912	3195912	Afr
5866822	5866822	Afr
2526484	2526484	Afr
5012641	5012641	Afr
1949282	1949282	Afr
5295391	5295391	Afr
2504411	2504411	Afr
3423634	3423634	Afr
1164148	1164148	Afr
4294055	4294055	Afr
2077600	2077600	Afr
1600653	1600653	Afr
1359429	1359429	Afr
5313270	5313270	Afr
3014701	3014701	Afr
3984500	3984500	Afr
4973904	4973904	Afr
5022521	5022521	Afr
1017397	1017397	Afr
2378869	2378869	Afr
4247822	4247822	Afr
3686277	3686277	Afr
3367054	3367054	Afr
4304786	4304786	Afr
1365871	1365871	Afr
4356247	4356247	Afr
5392057	5392057	Afr
1204295	1204295	Afr
2757694	2757694	Afr
5507378	5507378	Afr
3878950	3878950	Afr
3235835	3235835	Afr
1226299	1226299	Afr
4750563	4750563	Afr
2063534	2063534	Afr
5874475	5874475	Afr
6006012	6006012	Afr
2214702	2214702	Afr
2581850	2581850	Afr
2982808	2982808	Afr
5518281	5518281	Afr
5407269	5407269	Afr
2151927	2151927	Afr
5597874	5597874	Afr
5415461	5415461	Afr
1246870	1246870	Afr
4633168	4633168	Afr
4054349	4054349	Afr
5651899	5651899	Afr
1074039	1074039	Afr
5190121	5190121	Afr
3035107	3035107	Afr
5270396	5270396	Afr
5716313	5716313	Afr
1458897	1458897	Afr
1241121	1241121	Afr
2543767	2543767	Afr
3880176	3880176	Afr
3420658	3420658	Afr
3227983	3227983	Afr
3509645	3509645	Afr
3516685	3516685	Afr
3082768	3082768	Afr
4379720	4379720	Afr
5393280	5393280	Afr
2643292	2643292	Afr
4459913	4459913	Afr
5049116	5049116	Afr
1664869	1664869	Afr
4306372	4306372	Afr
1934599	1934599	Afr
3680213	3680213	Afr
1005908	1005908	Afr
5574259	5574259	Afr
3891436	3891436	Afr
4836069	4836069	Afr
4936620	4936620	Afr
1746312	1746312	Afr
4552113	4552113	Afr
2500674	2500674	Afr
1551697	1551697	Afr
1436679	1436679	Afr
2208538	2208538	Afr
1575929	1575929	Afr
5841785	5841785	Afr
1547807	1547807	Afr
1443556	1443556	Afr
1367185	1367185	Afr
2704953	2704953	Afr
4026650	4026650	Afr
2934322	2934322	Afr
5208244	5208244	Afr
2037036	2037036	Afr
1014920	1014920	Afr
1704949	1704949	Afr
3387298	3387298	Afr
2057765	2057765	Afr
2692208	2692208	Afr
5472700	5472700	Afr
4725784	4725784	Afr
1079089	1079089	Afr
5129793	5129793	Afr
2806014	2806014	Afr
4175675	4175675	Afr
3219034	3219034	Afr
4939977	4939977	Afr
3935077	3935077	Afr
2787738	2787738	Afr
5581044	5581044	Afr
5443565	5443565	Afr
3839167	3839167	Afr
4668949	4668949	Afr
1589448	1589448	Afr
3289805	3289805	Afr
4689872	4689872	Afr
4513184	4513184	Afr
5311448	5311448	Afr
5400256	5400256	Afr
5459825	5459825	Afr
1585610	1585610	Afr
5394911	5394911	Afr
4280960	4280960	Afr
2604758	2604758	Afr
2413895	2413895	Afr
1959355	1959355	Afr
1217625	1217625	Afr
4832646	4832646	Afr
2320490	2320490	Afr
4525518	4525518	Afr
1410303	1410303	Afr
4186598	4186598	Afr
3612549	3612549	Afr
5728001	5728001	Afr
