#FID	IID	POP
5814293	5814293	Afr
1723899	1723899	Afr
3609124	3609124	Afr
1869341	1869341	Afr
5803435	5803435	Afr
3128362	3128362	Afr
3477244	3477244	Afr
2809129	2809129	Afr
1991854	1991854	Afr
4844480	4844480	Afr
3361968	3361968	Afr
5864418	5864418	Afr
5572892	5572892	Afr
4698110	4698110	Afr
4822075	4822075	Afr
4143533	4143533	Afr
5269018	5269018	Afr
2787738	2787738	Afr
4791278	4791278	Afr
5551608	5551608	Afr
1261781	1261781	Afr
4339148	4339148	Afr
4069095	4069095	Afr
2982808	2982808	Afr
3765559	3765559	Afr
5112280	5112280	Afr
2786336	2786336	Afr
4116785	4116785	Afr
1565963	1565963	Afr
2919307	2919307	Afr
2214249	2214249	Afr
5962823	5962823	Afr
4503087	4503087	Afr
2538619	2538619	Afr
5968156	5968156	Afr
5613824	5613824	Afr
4360466	4360466	Afr
3417117	3417117	Afr
1935782	1935782	Afr
1437140	1437140	Afr
2268346	2268346	Afr
5190121	5190121	Afr
5600133	5600133	Afr
2304534	2304534	Afr
4211492	4211492	Afr
5517853	5517853	Afr
1782020	1782020	Afr
4220705	4220705	Afr
4832646	4832646	Afr
1497965	1497965	Afr
4925070	4925070	Afr
1339239	1339239	Afr
2761317	2761317	Afr
2001100	2001100	Afr
5988916	5988916	Afr
1419919	1419919	Afr
3083646	3083646	Afr
2545974	2545974	Afr
1655744	1655744	Afr
3365342	3365342	Afr
1456201	1456201	Afr
5130022	5130022	Afr
1563151	1563151	Afr
2600092	2600092	Afr
1689242	1689242	Afr
3878950	3878950	Afr
3282170	3282170	Afr
3515212	3515212	Afr
5165222	5165222	Afr
3613721	3613721	Afr
4847876	4847876	Afr
2371784	2371784	Afr
5388907	5388907	Afr
3867228	3867228	Afr
4231739	4231739	Afr
1164148	1164148	Afr
1013499	1013499	Afr
1406044	1406044	Afr
1628747	1628747	Afr
1729297	1729297	Afr
3113970	3113970	Afr
4237094	4237094	Afr
3292315	3292315	Afr
1906075	1906075	Afr
1914129	1914129	Afr
5949550	5949550	Afr
1495478	1495478	Afr
3285842	3285842	Afr
5570854	5570854	Afr
4109610	4109610	Afr
3149439	3149439	Afr
1413942	1413942	Afr
3635006	3635006	Afr
4283911	4283911	Afr
3444611	3444611	Afr
5821299	5821299	Afr
2100118	2100118	Afr
3810656	3810656	Afr
