#FID	IID	POP
4561763	4561763	Europe
5336926	5336926	Europe
4173630	4173630	Europe
3834947	3834947	Europe
1014299	1014299	Europe
4343527	4343527	Europe
3280664	3280664	Europe
3914774	3914774	Europe
1627137	1627137	Europe
1445420	1445420	Europe
5809987	5809987	Asia
4337227	4337227	Asia
5504689	5504689	Europe
4952678	4952678	Europe
3528817	3528817	Europe
2048867	2048867	Europe
4073582	4073582	Europe
3627860	3627860	Europe
5801662	5801662	Europe
4964007	4964007	Europe
3101516	3101516	Europe
4120110	4120110	Europe
5455938	5455938	Europe
2246160	2246160	Europe
3513585	3513585	Europe
2964108	2964108	Europe
2361341	2361341	Europe
3809681	3809681	Europe
3266310	3266310	Europe
2893367	2893367	Europe
3993306	3993306	Europe
2924348	2924348	Europe
1173740	1173740	Europe
5743613	5743613	Europe
2455007	2455007	Europe
2431550	2431550	Europe
3108490	3108490	Europe
1676401	1676401	Europe
5180537	5180537	Europe
3293548	3293548	Europe
5245323	5245323	Europe
5829468	5829468	Europe
4131798	4131798	Europe
5483262	5483262	
1817075	1817075	Europe
2977504	2977504	Europe
1280126	1280126	Europe
2746655	2746655	Europe
3483824	3483824	Europe
2438544	2438544	Europe
1814888	1814888	Europe
2297400	2297400	Europe
5492800	5492800	Europe
1220101	1220101	Europe
4027813	4027813	Europe
3867746	3867746	Europe
2669589	2669589	Europe
5557877	5557877	Europe
3692954	3692954	Europe
4856720	4856720	Europe
1852695	1852695	Asia
2161339	2161339	Europe
5607565	5607565	Europe
5939575	5939575	Europe
5498201	5498201	Mixed
3305837	3305837	Europe
5752212	5752212	Europe
3734513	3734513	Europe
5204663	5204663	Europe
3884427	3884427	Europe
2834351	2834351	Europe
5918101	5918101	Europe
1151386	1151386	Europe
1764719	1764719	Europe
5429284	5429284	Europe
3055600	3055600	Europe
2334965	2334965	Europe
3608151	3608151	Europe
3397716	3397716	Europe
2635716	2635716	Europe
1732633	1732633	Europe
2941682	2941682	Europe
1569149	1569149	Europe
3855481	3855481	Europe
5165807	5165807	Europe
5925186	5925186	Europe
2037832	2037832	Europe
1327227	1327227	Europe
2984073	2984073	Asia
1317964	1317964	Europe
4992552	4992552	Europe
1717197	1717197	Europe
4866148	4866148	Europe
2317601	2317601	Europe
1967702	1967702	Europe
5230822	5230822	Europe
2046667	2046667	Europe
4156718	4156718	Europe
4982335	4982335	Europe
5766829	5766829	Europe
4410257	4410257	Europe
1394278	1394278	Europe
4587969	4587969	Europe
2918081	2918081	Europe
5868619	5868619	Europe
2221029	2221029	Europe
2330716	2330716	Europe
1268095	1268095	Europe
5356745	5356745	Europe
3438853	3438853	Europe
2598272	2598272	Europe
1366503	1366503	Europe
4038204	4038204	Europe
5139464	5139464	Europe
1247610	1247610	Europe
4617795	4617795	Europe
5040133	5040133	Europe
4954598	4954598	Europe
4587367	4587367	Europe
5435626	5435626	Europe
3068505	3068505	Europe
1816338	1816338	Europe
2660583	2660583	Europe
5867587	5867587	Europe
3221886	3221886	Europe
2982715	2982715	Europe
3838046	3838046	Europe
4946433	4946433	Europe
3176675	3176675	Europe
1124139	1124139	Europe
2704516	2704516	Europe
1342376	1342376	Europe
5066606	5066606	Europe
3457041	3457041	Europe
1277342	1277342	Europe
1052586	1052586	Europe
4017924	4017924	Asia
3484511	3484511	Europe
2220928	2220928	Europe
5811934	5811934	Europe
1451770	1451770	Europe
2243995	2243995	Europe
5840490	5840490	Europe
3436199	3436199	Europe
1456061	1456061	Europe
4589575	4589575	Europe
5868278	5868278	Europe
1209488	1209488	Europe
1451843	1451843	Europe
5053683	5053683	Europe
4967805	4967805	Europe
3528165	3528165	Europe
3583183	3583183	Europe
5355822	5355822	Europe
2508704	2508704	Europe
3458776	3458776	Europe
3207937	3207937	Europe
4141573	4141573	Europe
4965473	4965473	Europe
3633090	3633090	Europe
1049798	1049798	Europe
2927876	2927876	Europe
3455951	3455951	Europe
1677601	1677601	Europe
2687287	2687287	Europe
1503170	1503170	Europe
2192321	2192321	Europe
2588414	2588414	Europe
5679113	5679113	Europe
3229673	3229673	Europe
5141117	5141117	Europe
1268374	1268374	Europe
1136353	1136353	Europe
5795996	5795996	Europe
5613447	5613447	Europe
3958929	3958929	Europe
5579619	5579619	Europe
1599853	1599853	Europe
4680143	4680143	Europe
4525398	4525398	Europe
5185425	5185425	Europe
5588136	5588136	Europe
5028971	5028971	Europe
4618087	4618087	Europe
2827581	2827581	Europe
1020541	1020541	Europe
1084895	1084895	Europe
3880397	3880397	Europe
5789857	5789857	Europe
2347746	2347746	Europe
4658116	4658116	Europe
3125863	3125863	Europe
1706914	1706914	Europe
1316424	1316424	Europe
2684336	2684336	Europe
1353430	1353430	Europe
1388074	1388074	Europe
3220049	3220049	Europe
4673459	4673459	Europe
2629725	2629725	Europe
5998754	5998754	Europe
3047956	3047956	Europe
5958892	5958892	Europe
1708408	1708408	Europe
1604817	1604817	Europe
1662996	1662996	Europe
5257334	5257334	Europe
5481088	5481088	Europe
3265975	3265975	Europe
2507072	2507072	Europe
5234990	5234990	Europe
2066655	2066655	Europe
5439448	5439448	Europe
2687198	2687198	Europe
4176429	4176429	Europe
5719568	5719568	Europe
5279308	5279308	Europe
4336973	4336973	Europe
1276863	1276863	Europe
4003124	4003124	Europe
5034655	5034655	Europe
2491648	2491648	Europe
5095941	5095941	Europe
1293657	1293657	Europe
5862308	5862308	Europe
1707016	1707016	Europe
2457085	2457085	Europe
3872090	3872090	Europe
3433441	3433441	Europe
4944774	4944774	Europe
1444577	1444577	Europe
2689153	2689153	Europe
3534557	3534557	Europe
1987817	1987817	Europe
2311512	2311512	Europe
1607309	1607309	Europe
2934665	2934665	Europe
1353083	1353083	Europe
5072994	5072994	Europe
1327285	1327285	Europe
3744943	3744943	Europe
5753899	5753899	Europe
2134506	2134506	Europe
5006049	5006049	Europe
3948052	3948052	Europe
4326466	4326466	Mixed
3079968	3079968	Europe
3140305	3140305	Europe
2390328	2390328	Europe
3095243	3095243	Europe
4456520	4456520	Europe
3659401	3659401	Europe
2061545	2061545	Europe
1284165	1284165	Europe
2965102	2965102	Europe
3802952	3802952	Europe
3568695	3568695	Asia
3707673	3707673	Europe
5267264	5267264	Europe
5365905	5365905	Europe
5143325	5143325	Europe
3898867	3898867	Europe
4501395	4501395	Europe
4366206	4366206	Europe
2139253	2139253	Europe
2147791	2147791	Europe
4527765	4527765	Europe
1064164	1064164	Europe
5039590	5039590	Europe
4007762	4007762	Asia
3203362	3203362	Europe
3641442	3641442	Asia
2304027	2304027	Europe
1188601	1188601	Europe
4413804	4413804	Europe
2618443	2618443	Europe
2990272	2990272	Europe
2012632	2012632	Europe
3787347	3787347	Europe
4851379	4851379	Europe
1442600	1442600	Europe
5259187	5259187	Europe
4928002	4928002	Europe
1480523	1480523	Europe
1126930	1126930	Europe
1977713	1977713	Europe
1568282	1568282	Europe
3013249	3013249	Europe
5511886	5511886	Europe
5663598	5663598	Europe
3158841	3158841	Europe
1740096	1740096	Europe
5424115	5424115	Europe
1266220	1266220	Europe
4577270	4577270	Europe
4300890	4300890	Europe
3152714	3152714	Europe
4728513	4728513	Europe
1377702	1377702	Europe
2702933	2702933	Europe
4360628	4360628	Europe
4748767	4748767	Europe
2167876	2167876	Europe
3226878	3226878	Europe
3337841	3337841	Europe
3507876	3507876	Europe
5314396	5314396	Europe
5298525	5298525	Europe
2001264	2001264	Europe
1101464	1101464	Europe
3890342	3890342	Europe
2748906	2748906	Europe
5750219	5750219	Europe
5872335	5872335	Europe
1844454	1844454	Europe
1237428	1237428	Europe
4779484	4779484	Europe
2792435	2792435	Europe
