#FID	IID	POP
4194754	4194754	Afr
5621647	5621647	Afr
2919307	2919307	Afr
1388854	1388854	Afr
2652986	2652986	Afr
5408176	5408176	Afr
4720449	4720449	Afr
4477081	4477081	Afr
2610907	2610907	Afr
2270064	2270064	Afr
5866423	5866423	Afr
3808932	3808932	Afr
4268945	4268945	Afr
2386139	2386139	Afr
5309310	5309310	Afr
3187857	3187857	Afr
4681306	4681306	Afr
4973904	4973904	Afr
2287073	2287073	Afr
4572353	4572353	Afr
5343777	5343777	Afr
3608179	3608179	Afr
5292612	5292612	Afr
2438478	2438478	Afr
1996894	1996894	Afr
4445646	4445646	Afr
5604751	5604751	Afr
1134674	1134674	Afr
4081150	4081150	Afr
5647353	5647353	Afr
1559776	1559776	Afr
2740319	2740319	Afr
5879486	5879486	Afr
2891618	2891618	Afr
2340669	2340669	Afr
3391757	3391757	Afr
3827798	3827798	Afr
3725659	3725659	Afr
4347923	4347923	Afr
2258519	2258519	Afr
2026178	2026178	Afr
1789291	1789291	Afr
4574386	4574386	Afr
3462601	3462601	Afr
2551852	2551852	Afr
4875680	4875680	Afr
4507315	4507315	Afr
4881536	4881536	Afr
2550744	2550744	Afr
5962823	5962823	Afr
2963004	2963004	Afr
2797137	2797137	Afr
5011394	5011394	Afr
5117784	5117784	Afr
1855029	1855029	Afr
3313209	3313209	Afr
2121344	2121344	Afr
5366159	5366159	Afr
3855974	3855974	Afr
1801010	1801010	Afr
1072753	1072753	Afr
3809441	3809441	Afr
2342212	2342212	Afr
4914825	4914825	Afr
2600497	2600497	Afr
1095230	1095230	Afr
3026587	3026587	Afr
1777537	1777537	Afr
4515085	4515085	Afr
4163042	4163042	Afr
3560742	3560742	Afr
1571932	1571932	Afr
3047016	3047016	Afr
1843010	1843010	Afr
3089562	3089562	Afr
4514374	4514374	Afr
1856288	1856288	Afr
3737171	3737171	Afr
1905443	1905443	Afr
3144862	3144862	Afr
4497275	4497275	Afr
1674574	1674574	Afr
2689416	2689416	Afr
4770707	4770707	Afr
2428480	2428480	Afr
2985620	2985620	Afr
1550173	1550173	Afr
1584371	1584371	Afr
1183051	1183051	Afr
6006230	6006230	Afr
5954695	5954695	Afr
4868987	4868987	Afr
3835072	3835072	Afr
5873941	5873941	Afr
1127944	1127944	Afr
5816992	5816992	Afr
5146260	5146260	Afr
2900460	2900460	Afr
5864807	5864807	Afr
4354376	4354376	Afr
5187104	5187104	Afr
2142199	2142199	Afr
4519314	4519314	Afr
5530986	5530986	Afr
4187723	4187723	Afr
1985311	1985311	Afr
1213106	1213106	Afr
3022558	3022558	Afr
4664213	4664213	Afr
1795743	1795743	Afr
3106546	3106546	Afr
2304534	2304534	Afr
5706578	5706578	Afr
4802892	4802892	Afr
5788007	5788007	Afr
4911084	4911084	Afr
1296908	1296908	Afr
2348507	2348507	Afr
3172876	3172876	Afr
1790588	1790588	Afr
5502267	5502267	Afr
2662943	2662943	Afr
3243459	3243459	Afr
1014920	1014920	Afr
3734928	3734928	Afr
1991854	1991854	Afr
2769859	2769859	Afr
3596801	3596801	Afr
2348792	2348792	Afr
3230100	3230100	Afr
2736085	2736085	Afr
1165008	1165008	Afr
2103440	2103440	Afr
4097807	4097807	Afr
4446368	4446368	Afr
3681880	3681880	Afr
2527741	2527741	Afr
2072204	2072204	Afr
1746312	1746312	Afr
4676859	4676859	Afr
3891079	3891079	Afr
2529733	2529733	Afr
4708245	4708245	Afr
1066951	1066951	Afr
3421078	3421078	Afr
1342417	1342417	Afr
3334168	3334168	Afr
5288175	5288175	Afr
2773201	2773201	Afr
3292883	3292883	Afr
4444150	4444150	Afr
5499215	5499215	Afr
4778909	4778909	Afr
4585594	4585594	Afr
5941147	5941147	Afr
3632591	3632591	Afr
5872561	5872561	Afr
1162702	1162702	Afr
2429921	2429921	Afr
3022618	3022618	Afr
1128772	1128772	Afr
5777499	5777499	Afr
1732490	1732490	Afr
3911702	3911702	Afr
2537206	2537206	Afr
1122340	1122340	Afr
4383187	4383187	Afr
5340837	5340837	Afr
2890606	2890606	Afr
2982808	2982808	Afr
3340035	3340035	Afr
1530733	1530733	Afr
2943452	2943452	Afr
1668890	1668890	Afr
2095884	2095884	Afr
3341045	3341045	Afr
5810178	5810178	Afr
1961576	1961576	Afr
3813464	3813464	Afr
3242567	3242567	Afr
2531997	2531997	Afr
2457602	2457602	Afr
1409393	1409393	Afr
4347835	4347835	Afr
3496472	3496472	Afr
5057431	5057431	Afr
3583393	3583393	Afr
1572069	1572069	Afr
3626146	3626146	Afr
3348461	3348461	Afr
1968423	1968423	Afr
5928305	5928305	Afr
3565768	3565768	Afr
4064596	4064596	Afr
3350365	3350365	Afr
2377659	2377659	Afr
4874457	4874457	Afr
4254850	4254850	Afr
1588680	1588680	Afr
1709768	1709768	Afr
5906805	5906805	Afr
4630663	4630663	Afr
5122990	5122990	Afr
4827068	4827068	Afr
3662933	3662933	Afr
2791269	2791269	Afr
5600090	5600090	Afr
3255279	3255279	Afr
1737370	1737370	Afr
3832977	3832977	Afr
1834046	1834046	Afr
2771968	2771968	Afr
2558295	2558295	Afr
1570101	1570101	Afr
2449215	2449215	Afr
5629428	5629428	Afr
4676292	4676292	Afr
2914506	2914506	Afr
4759004	4759004	Afr
1007864	1007864	Afr
5312074	5312074	Afr
5026185	5026185	Afr
4747020	4747020	Afr
1434859	1434859	Afr
1215086	1215086	Afr
3042028	3042028	Afr
4813531	4813531	Afr
1864231	1864231	Afr
1903919	1903919	Afr
3738510	3738510	Afr
4650109	4650109	Afr
1795285	1795285	Afr
1573424	1573424	Afr
4412889	4412889	Afr
5216494	5216494	Afr
5304034	5304034	Afr
2394235	2394235	Afr
1120938	1120938	Afr
3945916	3945916	Afr
3363929	3363929	Afr
5374490	5374490	Afr
2681518	2681518	Afr
1308643	1308643	Afr
2571346	2571346	Afr
4394164	4394164	Afr
4275437	4275437	Afr
3214481	3214481	Afr
2854782	2854782	Afr
1154057	1154057	Afr
3341921	3341921	Afr
4084535	4084535	Afr
3382973	3382973	Afr
5278668	5278668	Afr
4217645	4217645	Afr
5615208	5615208	Afr
3599066	3599066	Afr
4736132	4736132	Afr
2810404	2810404	Afr
3842107	3842107	Afr
2920366	2920366	Afr
2401324	2401324	Afr
2221298	2221298	Afr
1608725	1608725	Afr
1438851	1438851	Afr
5816112	5816112	Afr
3294799	3294799	Afr
2777102	2777102	Afr
4888968	4888968	Afr
2902824	2902824	Afr
1497965	1497965	Afr
1516866	1516866	Afr
1711002	1711002	Afr
4911239	4911239	Afr
3856513	3856513	Afr
5083987	5083987	Afr
5062317	5062317	Afr
3069629	3069629	Afr
1576431	1576431	Afr
5690779	5690779	Afr
5978995	5978995	Afr
3445115	3445115	Afr
2368181	2368181	Afr
5382544	5382544	Afr
3938991	3938991	Afr
2808526	2808526	Afr
3002557	3002557	Afr
2770550	2770550	Afr
1884341	1884341	Afr
4447109	4447109	Afr
1025354	1025354	Afr
4738866	4738866	Afr
5384507	5384507	Afr
3146679	3146679	Afr
1925604	1925604	Afr
2138565	2138565	Afr
5034080	5034080	Afr
2617688	2617688	Afr
2395291	2395291	Afr
4042140	4042140	Afr
3887311	3887311	Afr
5420251	5420251	Afr
1833126	1833126	Afr
4005289	4005289	Afr
5422159	5422159	Afr
3118779	3118779	Afr
4936391	4936391	Afr
3358111	3358111	Afr
3896787	3896787	Afr
2360601	2360601	Afr
1710422	1710422	Afr
4460706	4460706	Afr
5551554	5551554	Afr
2238585	2238585	Afr
5499169	5499169	Afr
4455091	4455091	Afr
1011205	1011205	Afr
3643212	3643212	Afr
5944805	5944805	Afr
2802361	2802361	Afr
1045402	1045402	Afr
4716973	4716973	Afr
3032208	3032208	Afr
3587608	3587608	Afr
1562993	1562993	Afr
4223806	4223806	Afr
4274447	4274447	Afr
4015735	4015735	Afr
4434821	4434821	Afr
4644392	4644392	Afr
2750145	2750145	Afr
4523639	4523639	Afr
3124645	3124645	Afr
1117115	1117115	Afr
3130888	3130888	Afr
1356417	1356417	Afr
2950659	2950659	Afr
2016828	2016828	Afr
4093001	4093001	Afr
2285058	2285058	Afr
5914094	5914094	Afr
4202227	4202227	Afr
4882485	4882485	Afr
5242915	5242915	Afr
2025548	2025548	Afr
4237507	4237507	Afr
3636070	3636070	Afr
5154703	5154703	Afr
5740140	5740140	Afr
5148371	5148371	Afr
2252552	2252552	Afr
1584299	1584299	Afr
1997754	1997754	Afr
2719924	2719924	Afr
5006334	5006334	Afr
5992025	5992025	Afr
5307753	5307753	Afr
4391590	4391590	Afr
1336921	1336921	Afr
4412986	4412986	Afr
2898081	2898081	Afr
4628589	4628589	Afr
1816795	1816795	Afr
4232350	4232350	Afr
3292315	3292315	Afr
2466807	2466807	Afr
2790985	2790985	Afr
4327762	4327762	Afr
4854739	4854739	Afr
2113709	2113709	Afr
4610630	4610630	Afr
3020690	3020690	Afr
1981164	1981164	Afr
1683370	1683370	Afr
4830829	4830829	Afr
5114645	5114645	Afr
4198394	4198394	Afr
5574259	5574259	Afr
4412617	4412617	Afr
5821121	5821121	Afr
3063503	3063503	Afr
2906941	2906941	Afr
2008377	2008377	Afr
2924569	2924569	Afr
1818620	1818620	Afr
3512008	3512008	Afr
2041814	2041814	Afr
2530374	2530374	Afr
3993385	3993385	Afr
2973505	2973505	Afr
5873521	5873521	Afr
4457536	4457536	Afr
5729816	5729816	Afr
1819201	1819201	Afr
2621459	2621459	Afr
1257571	1257571	Afr
2123911	2123911	Afr
1589448	1589448	Afr
5835328	5835328	Afr
4594121	4594121	Afr
1629017	1629017	Afr
4370796	4370796	Afr
5637008	5637008	Afr
1720007	1720007	Afr
1495954	1495954	Afr
3444108	3444108	Afr
4536341	4536341	Afr
4335663	4335663	Afr
2753633	2753633	Afr
4623048	4623048	Afr
3921746	3921746	Afr
1478417	1478417	Afr
3354591	3354591	Afr
1646592	1646592	Afr
3585844	3585844	Afr
5582779	5582779	Afr
4223015	4223015	Afr
3062858	3062858	Afr
3198462	3198462	Afr
4238547	4238547	Afr
5596033	5596033	Afr
4688262	4688262	Afr
3614357	3614357	Afr
3219711	3219711	Afr
1776868	1776868	Afr
2814419	2814419	Afr
5239297	5239297	Afr
4585571	4585571	Afr
2126414	2126414	Afr
5809215	5809215	Afr
4485442	4485442	Afr
4385075	4385075	Afr
3465927	3465927	Afr
2798895	2798895	Afr
4895162	4895162	Afr
4039869	4039869	Afr
5390772	5390772	Afr
3791624	3791624	Afr
4110571	4110571	Afr
3970074	3970074	Afr
3709393	3709393	Afr
3493150	3493150	Afr
3822781	3822781	Afr
4943461	4943461	Afr
5505275	5505275	Afr
2584738	2584738	Afr
6022078	6022078	Afr
4862432	4862432	Afr
5348486	5348486	Afr
1502444	1502444	Afr
3683642	3683642	Afr
1134129	1134129	Afr
3869382	3869382	Afr
2323033	2323033	Afr
4803143	4803143	Afr
1828048	1828048	Afr
2306747	2306747	Afr
1502955	1502955	Afr
1985705	1985705	Afr
4526179	4526179	Afr
4431742	4431742	Afr
5899897	5899897	Afr
5523224	5523224	Afr
3283894	3283894	Afr
6008888	6008888	Afr
3821542	3821542	Afr
