#FID	IID
5322786	5322786
4574362	4574362
4566987	4566987
3148454	3148454
3340625	3340625
3499318	3499318
5837287	5837287
1964678	1964678
4397851	4397851
2192915	2192915
4563603	4563603
1942194	1942194
5846943	5846943
1108191	1108191
5318943	5318943
1490645	1490645
4056893	4056893
1242850	1242850
5343786	5343786
3282586	3282586
1730855	1730855
3558960	3558960
3229534	3229534
4377932	4377932
1800269	1800269
5131222	5131222
5872448	5872448
1969426	1969426
3774833	3774833
2269852	2269852
3761251	3761251
5807142	5807142
2422220	2422220
5377312	5377312
5213907	5213907
4719812	4719812
2705365	2705365
2978442	2978442
5517509	5517509
3039845	3039845
5159172	5159172
5083478	5083478
4067474	4067474
5470434	5470434
5714189	5714189
5175015	5175015
4398596	4398596
4559774	4559774
1672731	1672731
4844990	4844990
3057952	3057952
1758811	1758811
2774425	2774425
3479115	3479115
3284678	3284678
1116445	1116445
2405577	2405577
5010863	5010863
5700252	5700252
2327053	2327053
2195036	2195036
5323687	5323687
2064836	2064836
4607446	4607446
1967161	1967161
1268229	1268229
1705543	1705543
5888144	5888144
2102749	2102749
1470776	1470776
4866621	4866621
4080579	4080579
5459957	5459957
2513485	2513485
4510457	4510457
1291446	1291446
1991502	1991502
2586518	2586518
2553038	2553038
4084391	4084391
4682896	4682896
1025301	1025301
5526428	5526428
2591637	2591637
5274229	5274229
2583490	2583490
2430278	2430278
1572971	1572971
5011687	5011687
2297326	2297326
4555519	4555519
2268313	2268313
1447435	1447435
4860044	4860044
3578485	3578485
4662470	4662470
1036733	1036733
5861526	5861526
3079748	3079748
4341484	4341484
4514229	4514229
4622792	4622792
5981230	5981230
4213845	4213845
3178011	3178011
4430449	4430449
4275139	4275139
5251688	5251688
5280881	5280881
5199333	5199333
5904266	5904266
3043220	3043220
2855928	2855928
4036862	4036862
5552595	5552595
5935809	5935809
1947720	1947720
4520483	4520483
2858345	2858345
3846012	3846012
5539046	5539046
2091248	2091248
2343217	2343217
5472918	5472918
4859801	4859801
4976310	4976310
4210127	4210127
5227799	5227799
5745057	5745057
5916788	5916788
4586846	4586846
3687234	3687234
3180491	3180491
5981487	5981487
2781577	2781577
4680318	4680318
4616603	4616603
1203495	1203495
5133333	5133333
4160746	4160746
3811521	3811521
2155560	2155560
4088082	4088082
5723008	5723008
4646153	4646153
4208425	4208425
3400135	3400135
1868814	1868814
2801133	2801133
3276404	3276404
3788041	3788041
2407336	2407336
1915321	1915321
4060454	4060454
5408300	5408300
2773430	2773430
4937194	4937194
1169331	1169331
4807406	4807406
5190011	5190011
5911628	5911628
4118328	4118328
2606364	2606364
2006530	2006530
4469160	4469160
5842000	5842000
2326402	2326402
1002036	1002036
5300715	5300715
5307643	5307643
4686866	4686866
1948149	1948149
5492242	5492242
1769324	1769324
3006661	3006661
3986086	3986086
1353539	1353539
2791343	2791343
5112940	5112940
2792313	2792313
2398104	2398104
5742363	5742363
1006349	1006349
1610169	1610169
2121946	2121946
3596713	3596713
1801349	1801349
4191673	4191673
2845898	2845898
1969152	1969152
4197576	4197576
4912210	4912210
1911643	1911643
2962194	2962194
2017747	2017747
2322195	2322195
1406619	1406619
3158640	3158640
2245764	2245764
5535739	5535739
3331446	3331446
5303561	5303561
4431923	4431923
2980224	2980224
2816436	2816436
4893563	4893563
4625668	4625668
2749623	2749623
4911677	4911677
5660219	5660219
1148417	1148417
4387376	4387376
1376995	1376995
5830329	5830329
2132379	2132379
5172084	5172084
3144178	3144178
3031661	3031661
1992969	1992969
5200670	5200670
3060240	3060240
2030973	2030973
1626294	1626294
3570695	3570695
4242670	4242670
2179544	2179544
1220741	1220741
2423450	2423450
1307449	1307449
2632604	2632604
5722459	5722459
4456701	4456701
2304163	2304163
2032294	2032294
4039601	4039601
4205777	4205777
5979390	5979390
1752477	1752477
4003818	4003818
5018432	5018432
3912858	3912858
3681600	3681600
1007103	1007103
2413694	2413694
2892439	2892439
4861009	4861009
5421273	5421273
4201800	4201800
4562963	4562963
1926425	1926425
2744430	2744430
5525513	5525513
3341642	3341642
3068835	3068835
5431513	5431513
4431131	4431131
3161713	3161713
2738991	2738991
5200795	5200795
2794556	2794556
2082241	2082241
1462164	1462164
1037654	1037654
1620315	1620315
1138683	1138683
5102902	5102902
4245602	4245602
2494750	2494750
5834175	5834175
3827378	3827378
1485546	1485546
1067039	1067039
3744897	3744897
3056937	3056937
2540531	2540531
3798092	3798092
3133309	3133309
3409180	3409180
1724257	1724257
2335323	2335323
3278373	3278373
2632175	2632175
2418897	2418897
2721479	2721479
2890417	2890417
2501902	2501902
1570670	1570670
2015793	2015793
3131830	3131830
3825412	3825412
4971658	4971658
2065632	2065632
5780344	5780344
3933080	3933080
2967974	2967974
4053356	4053356
5097909	5097909
1015775	1015775
5689020	5689020
1818152	1818152
2341473	2341473
4976424	4976424
3909670	3909670
4498777	4498777
3673636	3673636
2731441	2731441
1560921	1560921
1800908	1800908
3903491	3903491
3679042	3679042
1699213	1699213
5143653	5143653
5123966	5123966
2464979	2464979
4475715	4475715
3399536	3399536
1356747	1356747
5357390	5357390
1826603	1826603
1840244	1840244
2296232	2296232
4210443	4210443
1956547	1956547
4442315	4442315
3428253	3428253
1475356	1475356
2866158	2866158
2566896	2566896
3859431	3859431
5796722	5796722
4860619	4860619
4876697	4876697
4430329	4430329
2286994	2286994
4827997	4827997
5852568	5852568
2904323	2904323
3901432	3901432
1467391	1467391
2090246	2090246
5781945	5781945
4490893	4490893
2281627	2281627
4626397	4626397
5693215	5693215
2268403	2268403
4304812	4304812
5828389	5828389
2928214	2928214
2762878	2762878
2141462	2141462
5536792	5536792
1046966	1046966
3605291	3605291
1415484	1415484
5415818	5415818
3736380	3736380
2635212	2635212
3395803	3395803
4064244	4064244
5447610	5447610
5057261	5057261
2697421	2697421
3070734	3070734
4158751	4158751
1900342	1900342
5616630	5616630
3723929	3723929
4360971	4360971
2227202	2227202
3592337	3592337
2930245	2930245
4811594	4811594
3717126	3717126
1260242	1260242
2301258	2301258
1644404	1644404
1614899	1614899
2924859	2924859
4737793	4737793
4683598	4683598
1133452	1133452
3229696	3229696
2637584	2637584
2352489	2352489
3522105	3522105
2873556	2873556
5230287	5230287
2607050	2607050
