#FID	IID	POP
1423817	1423817	Afr
5257662	5257662	Afr
5890106	5890106	Afr
1604858	1604858	Afr
1575506	1575506	Afr
2728181	2728181	Afr
5920757	5920757	Afr
5088224	5088224	Afr
2578598	2578598	Afr
5650211	5650211	Afr
5877024	5877024	Afr
2636750	2636750	Afr
1179792	1179792	Afr
5496518	5496518	Afr
2585457	2585457	Afr
3584280	3584280	Afr
2941948	2941948	Afr
3040696	3040696	Afr
1914129	1914129	Afr
3680213	3680213	Afr
5208801	5208801	Afr
1395949	1395949	Afr
5422159	5422159	Afr
4748042	4748042	Afr
1653815	1653815	Afr
1693418	1693418	Afr
4679951	4679951	Afr
3766564	3766564	Afr
3111772	3111772	Afr
1844913	1844913	Afr
3776720	3776720	Afr
5449485	5449485	Afr
1974841	1974841	Afr
5033723	5033723	Afr
4780775	4780775	Afr
3297071	3297071	Afr
2300683	2300683	Afr
3945979	3945979	Afr
1990340	1990340	Afr
1620725	1620725	Afr
5598037	5598037	Afr
4310601	4310601	Afr
5309310	5309310	Afr
3334168	3334168	Afr
3835072	3835072	Afr
1419336	1419336	Afr
1562993	1562993	Afr
2399901	2399901	Afr
3339391	3339391	Afr
2024419	2024419	Afr
3909517	3909517	Afr
1981164	1981164	Afr
4385236	4385236	Afr
2065402	2065402	Afr
1963467	1963467	Afr
2729441	2729441	Afr
3423634	3423634	Afr
3002406	3002406	Afr
4837132	4837132	Afr
3014470	3014470	Afr
2116829	2116829	Afr
5129162	5129162	Afr
2552190	2552190	Afr
3705973	3705973	Afr
4537175	4537175	Afr
3783297	3783297	Afr
2382518	2382518	Afr
1060298	1060298	Afr
2530620	2530620	Afr
5561345	5561345	Afr
4620632	4620632	Afr
4085012	4085012	Afr
2513494	2513494	Afr
2808526	2808526	Afr
2702290	2702290	Afr
5978213	5978213	Afr
1596863	1596863	Afr
4460682	4460682	Afr
2617688	2617688	Afr
1968423	1968423	Afr
2217921	2217921	Afr
2527777	2527777	Afr
5369163	5369163	Afr
4501876	4501876	Afr
1916774	1916774	Afr
1579284	1579284	Afr
4699063	4699063	Afr
3840439	3840439	Afr
2144375	2144375	Afr
1854051	1854051	Afr
1480353	1480353	Afr
2082163	2082163	Afr
4555240	4555240	Afr
1983937	1983937	Afr
1610805	1610805	Afr
2148519	2148519	Afr
1818620	1818620	Afr
1853280	1853280	Afr
1114094	1114094	Afr
3272636	3272636	Afr
5610968	5610968	Afr
5458161	5458161	Afr
1957976	1957976	Afr
2847728	2847728	Afr
3429347	3429347	Afr
2182701	2182701	Afr
2236129	2236129	Afr
4650109	4650109	Afr
4825809	4825809	Afr
1052149	1052149	Afr
2372228	2372228	Afr
2125224	2125224	Afr
5373992	5373992	Afr
4223806	4223806	Afr
2396048	2396048	Afr
1373031	1373031	Afr
5427804	5427804	Afr
4504779	4504779	Afr
2470959	2470959	Afr
3539301	3539301	Afr
5089241	5089241	Afr
5891985	5891985	Afr
1573424	1573424	Afr
1666855	1666855	Afr
2433680	2433680	Afr
3613277	3613277	Afr
3016248	3016248	Afr
1519890	1519890	Afr
5088164	5088164	Afr
4293997	4293997	Afr
3190191	3190191	Afr
2654486	2654486	Afr
4924924	4924924	Afr
2581532	2581532	Afr
3180640	3180640	Afr
3709393	3709393	Afr
5972950	5972950	Afr
3956485	3956485	Afr
3938991	3938991	Afr
5181224	5181224	Afr
5830046	5830046	Afr
4663156	4663156	Afr
5456873	5456873	Afr
1934599	1934599	Afr
5963009	5963009	Afr
4243897	4243897	Afr
4015822	4015822	Afr
1772749	1772749	Afr
4316220	4316220	Afr
1579107	1579107	Afr
2206190	2206190	Afr
2662943	2662943	Afr
2991013	2991013	Afr
3921127	3921127	Afr
2392067	2392067	Afr
3026587	3026587	Afr
4997090	4997090	Afr
2081290	2081290	Afr
1366363	1366363	Afr
3208361	3208361	Afr
1382878	1382878	Afr
2450088	2450088	Afr
5966664	5966664	Afr
1356417	1356417	Afr
3635425	3635425	Afr
1847252	1847252	Afr
2055129	2055129	Afr
4505218	4505218	Afr
5590449	5590449	Afr
1301797	1301797	Afr
5043076	5043076	Afr
2057560	2057560	Afr
3759220	3759220	Afr
1007864	1007864	Afr
4987516	4987516	Afr
1876529	1876529	Afr
4965736	4965736	Afr
2025548	2025548	Afr
3910850	3910850	Afr
5738234	5738234	Afr
1629017	1629017	Afr
2274304	2274304	Afr
4830206	4830206	Afr
4178678	4178678	Afr
5538452	5538452	Afr
3002557	3002557	Afr
5420251	5420251	Afr
1213106	1213106	Afr
3043558	3043558	Afr
2106154	2106154	Afr
1192761	1192761	Afr
