#FID	IID	POP
4138010	4138010	Afr
6007283	6007283	Afr
2090995	2090995	Afr
1789470	1789470	Afr
1431170	1431170	Afr
5610457	5610457	Afr
1014121	1014121	Afr
4778909	4778909	Afr
5854255	5854255	Afr
3235803	3235803	Afr
2488435	2488435	Afr
2581212	2581212	Afr
2315317	2315317	Afr
5374193	5374193	Afr
2499494	2499494	Afr
2702290	2702290	Afr
2373037	2373037	Afr
5100084	5100084	Afr
3065626	3065626	Afr
3483813	3483813	Afr
5774735	5774735	Afr
2390599	2390599	Afr
3434448	3434448	Afr
4979949	4979949	Afr
1472490	1472490	Afr
1229944	1229944	Afr
4682413	4682413	Afr
2602495	2602495	Afr
3424563	3424563	Afr
3057792	3057792	Afr
2011018	2011018	Afr
3553398	3553398	Afr
2249638	2249638	Afr
4699700	4699700	Afr
5178372	5178372	Afr
3610065	3610065	Afr
1695324	1695324	Afr
3063014	3063014	Afr
1122340	1122340	Afr
4939977	4939977	Afr
5224053	5224053	Afr
4820868	4820868	Afr
4167093	4167093	Afr
3464531	3464531	Afr
4535210	4535210	Afr
2313752	2313752	Afr
1014632	1014632	Afr
3924831	3924831	Afr
5055483	5055483	Afr
2563601	2563601	Afr
2405717	2405717	Afr
4339148	4339148	Afr
3505047	3505047	Afr
5011394	5011394	Afr
1213738	1213738	Afr
5482584	5482584	Afr
4394164	4394164	Afr
2468379	2468379	Afr
1480722	1480722	Afr
3717627	3717627	Afr
2726666	2726666	Afr
1796199	1796199	Afr
4319735	4319735	Afr
4756207	4756207	Afr
5617996	5617996	Afr
3420658	3420658	Afr
2206765	2206765	Afr
3076401	3076401	Afr
3808932	3808932	Afr
3528349	3528349	Afr
3688587	3688587	Afr
1299138	1299138	Afr
3088428	3088428	Afr
3748196	3748196	Afr
5639991	5639991	Afr
1242614	1242614	Afr
4549364	4549364	Afr
5317623	5317623	Afr
5873941	5873941	Afr
2551965	2551965	Afr
2085841	2085841	Afr
4622879	4622879	Afr
5122990	5122990	Afr
3931007	3931007	Afr
2863171	2863171	Afr
2396048	2396048	Afr
3203308	3203308	Afr
3214560	3214560	Afr
4127231	4127231	Afr
1630881	1630881	Afr
3223062	3223062	Afr
5428610	5428610	Afr
2038766	2038766	Afr
5676783	5676783	Afr
2581532	2581532	Afr
4957021	4957021	Afr
1722240	1722240	Afr
5978742	5978742	Afr
3867323	3867323	Afr
4708611	4708611	Afr
5247509	5247509	Afr
4085012	4085012	Afr
4110349	4110349	Afr
3702331	3702331	Afr
2527119	2527119	Afr
4854739	4854739	Afr
2013029	2013029	Afr
3340654	3340654	Afr
2218328	2218328	Afr
5445999	5445999	Afr
3295201	3295201	Afr
1424749	1424749	Afr
3074490	3074490	Afr
3165332	3165332	Afr
2608093	2608093	Afr
2122607	2122607	Afr
2438478	2438478	Afr
5523224	5523224	Afr
3429195	3429195	Afr
2692158	2692158	Afr
3781550	3781550	Afr
5551452	5551452	Afr
4363813	4363813	Afr
5941147	5941147	Afr
3392080	3392080	Afr
5828145	5828145	Afr
5128765	5128765	Afr
5413482	5413482	Afr
5856878	5856878	Afr
5629428	5629428	Afr
5459832	5459832	Afr
2038109	2038109	Afr
4967833	4967833	Afr
2668931	2668931	Afr
2312911	2312911	Afr
3010932	3010932	Afr
5749149	5749149	Afr
3026587	3026587	Afr
2307867	2307867	Afr
4630115	4630115	Afr
3373695	3373695	Afr
1876529	1876529	Afr
4984991	4984991	Afr
5060832	5060832	Afr
3277567	3277567	Afr
4888968	4888968	Afr
5706180	5706180	Afr
1571932	1571932	Afr
2643292	2643292	Afr
1982692	1982692	Afr
2259628	2259628	Afr
2651428	2651428	Afr
5600133	5600133	Afr
3670717	3670717	Afr
3563819	3563819	Afr
3995733	3995733	Afr
3515716	3515716	Afr
3539301	3539301	Afr
2982808	2982808	Afr
2902226	2902226	Afr
4435766	4435766	Afr
1650885	1650885	Afr
2778187	2778187	Afr
4697042	4697042	Afr
3671106	3671106	Afr
4485528	4485528	Afr
1638535	1638535	Afr
4744819	4744819	Afr
6020033	6020033	Afr
4793097	4793097	Afr
5132124	5132124	Afr
1520387	1520387	Afr
2667199	2667199	Afr
3906248	3906248	Afr
3421078	3421078	Afr
1593702	1593702	Afr
3247890	3247890	Afr
6008021	6008021	Afr
1816795	1816795	Afr
3038740	3038740	Afr
1359774	1359774	Afr
3583393	3583393	Afr
3952763	3952763	Afr
5976787	5976787	Afr
5940732	5940732	Afr
2700100	2700100	Afr
2054097	2054097	Afr
2110209	2110209	Afr
1991607	1991607	Afr
3047016	3047016	Afr
1349396	1349396	Afr
3295321	3295321	Afr
3238897	3238897	Afr
1952941	1952941	Afr
5933021	5933021	Afr
3836905	3836905	Afr
3979943	3979943	Afr
5489378	5489378	Afr
4005769	4005769	Afr
5028883	5028883	Afr
3227489	3227489	Afr
5394199	5394199	Afr
5572146	5572146	Afr
1989832	1989832	Afr
4998135	4998135	Afr
4151305	4151305	Afr
3479398	3479398	Afr
3445316	3445316	Afr
3890239	3890239	Afr
1575929	1575929	Afr
4225516	4225516	Afr
5652499	5652499	Afr
2094204	2094204	Afr
3412598	3412598	Afr
2897616	2897616	Afr
2013160	2013160	Afr
1530733	1530733	Afr
3496472	3496472	Afr
2685094	2685094	Afr
6011848	6011848	Afr
4102456	4102456	Afr
3439838	3439838	Afr
3268788	3268788	Afr
2760692	2760692	Afr
1397050	1397050	Afr
3705973	3705973	Afr
4352980	4352980	Afr
3411152	3411152	Afr
4076309	4076309	Afr
5307753	5307753	Afr
4868380	4868380	Afr
4164109	4164109	Afr
4959220	4959220	Afr
1161845	1161845	Afr
3721052	3721052	Afr
2463954	2463954	Afr
3561638	3561638	Afr
4134738	4134738	Afr
3171938	3171938	Afr
5669930	5669930	Afr
1041204	1041204	Afr
3826357	3826357	Afr
5375407	5375407	Afr
3703239	3703239	Afr
1356640	1356640	Afr
5920647	5920647	Afr
2029450	2029450	Afr
5272073	5272073	Afr
5996063	5996063	Afr
2761665	2761665	Afr
1768904	1768904	Afr
3470681	3470681	Afr
3352750	3352750	Afr
2266569	2266569	Afr
5762073	5762073	Afr
4461117	4461117	Afr
1588680	1588680	Afr
1549767	1549767	Afr
1975160	1975160	Afr
4950264	4950264	Afr
4587012	4587012	Afr
1339239	1339239	Afr
2767526	2767526	Afr
1302770	1302770	Afr
3047218	3047218	Afr
3532807	3532807	Afr
2324453	2324453	Afr
2828165	2828165	Afr
4050360	4050360	Afr
1682062	1682062	Afr
5700001	5700001	Afr
4435208	4435208	Afr
5695610	5695610	Afr
1803775	1803775	Afr
2540022	2540022	Afr
5288175	5288175	Afr
1372385	1372385	Afr
5203896	5203896	Afr
3086065	3086065	Afr
2799550	2799550	Afr
2509748	2509748	Afr
1716529	1716529	Afr
4905703	4905703	Afr
2949458	2949458	Afr
1060073	1060073	Afr
4594121	4594121	Afr
4926199	4926199	Afr
1047857	1047857	Afr
3743197	3743197	Afr
3590491	3590491	Afr
5391951	5391951	Afr
3354591	3354591	Afr
2798895	2798895	Afr
4922960	4922960	Afr
1155037	1155037	Afr
3487772	3487772	Afr
2575339	2575339	Afr
1634268	1634268	Afr
5019783	5019783	Afr
2866145	2866145	Afr
4147834	4147834	Afr
3463490	3463490	Afr
3434454	3434454	Afr
4794257	4794257	Afr
3370926	3370926	Afr
5715895	5715895	Afr
3984257	3984257	Afr
2831954	2831954	Afr
3588394	3588394	Afr
2272484	2272484	Afr
2348792	2348792	Afr
1868627	1868627	Afr
5779695	5779695	Afr
2861600	2861600	Afr
3081628	3081628	Afr
2499890	2499890	Afr
1059030	1059030	Afr
3302885	3302885	Afr
1962133	1962133	Afr
1949509	1949509	Afr
2617688	2617688	Afr
5690779	5690779	Afr
3015297	3015297	Afr
3767146	3767146	Afr
3733754	3733754	Afr
1454217	1454217	Afr
3150994	3150994	Afr
5514429	5514429	Afr
4896398	4896398	Afr
5246162	5246162	Afr
4952893	4952893	Afr
4091465	4091465	Afr
5049116	5049116	Afr
2460334	2460334	Afr
4964767	4964767	Afr
2539148	2539148	Afr
1304686	1304686	Afr
2888951	2888951	Afr
1779902	1779902	Afr
4038910	4038910	Afr
1776868	1776868	Afr
5821299	5821299	Afr
1695934	1695934	Afr
4076682	4076682	Afr
3010679	3010679	Afr
5949769	5949769	Afr
2357477	2357477	Afr
3377650	3377650	Afr
5864418	5864418	Afr
4130367	4130367	Afr
4438796	4438796	Afr
5967340	5967340	Afr
5906805	5906805	Afr
4019387	4019387	Afr
2222636	2222636	Afr
5437047	5437047	Afr
5308551	5308551	Afr
1897432	1897432	Afr
4794639	4794639	Afr
1356491	1356491	Afr
4976798	4976798	Afr
3048120	3048120	Afr
5206340	5206340	Afr
5325816	5325816	Afr
2093479	2093479	Afr
4594846	4594846	Afr
4904115	4904115	Afr
1938403	1938403	Afr
1155107	1155107	Afr
2158444	2158444	Afr
1620725	1620725	Afr
3920496	3920496	Afr
5446229	5446229	Afr
4584930	4584930	Afr
5424872	5424872	Afr
4324937	4324937	Afr
4800112	4800112	Afr
2694864	2694864	Afr
1488041	1488041	Afr
3022558	3022558	Afr
4824188	4824188	Afr
3856480	3856480	Afr
3712745	3712745	Afr
4710478	4710478	Afr
1279961	1279961	Afr
5106217	5106217	Afr
5816992	5816992	Afr
3543121	3543121	Afr
2252552	2252552	Afr
3826735	3826735	Afr
1910978	1910978	Afr
4677468	4677468	Afr
5973296	5973296	Afr
5798860	5798860	Afr
4697034	4697034	Afr
5001742	5001742	Afr
1300875	1300875	Afr
1755781	1755781	Afr
1940954	1940954	Afr
2558295	2558295	Afr
5231011	5231011	Afr
1834331	1834331	Afr
2026178	2026178	Afr
3300315	3300315	Afr
2822758	2822758	Afr
5431348	5431348	Afr
2415224	2415224	Afr
5234575	5234575	Afr
5543837	5543837	Afr
5039030	5039030	Afr
5236309	5236309	Afr
3997996	3997996	Afr
4326760	4326760	Afr
5242248	5242248	Afr
1857127	1857127	Afr
3829806	3829806	Afr
2142051	2142051	Afr
2958200	2958200	Afr
2342212	2342212	Afr
5886493	5886493	Afr
5693993	5693993	Afr
6022078	6022078	Afr
3033412	3033412	Afr
4477690	4477690	Afr
2065402	2065402	Afr
5587036	5587036	Afr
2777914	2777914	Afr
5864807	5864807	Afr
2327555	2327555	Afr
5292612	5292612	Afr
4589098	4589098	Afr
5997503	5997503	Afr
2469071	2469071	Afr
3918297	3918297	Afr
3158266	3158266	Afr
4716973	4716973	Afr
2920099	2920099	Afr
2381692	2381692	Afr
5913817	5913817	Afr
2550744	2550744	Afr
5513041	5513041	Afr
3597247	3597247	Afr
3616211	3616211	Afr
2696545	2696545	Afr
1141048	1141048	Afr
4507280	4507280	Afr
2655312	2655312	Afr
3691315	3691315	Afr
2062440	2062440	Afr
1011205	1011205	Afr
2420000	2420000	Afr
4002357	4002357	Afr
5154539	5154539	Afr
1924759	1924759	Afr
2554020	2554020	Afr
1096189	1096189	Afr
1974841	1974841	Afr
2685510	2685510	Afr
4267595	4267595	Afr
5311448	5311448	Afr
1861076	1861076	Afr
1989752	1989752	Afr
4963012	4963012	Afr
2928749	2928749	Afr
4280572	4280572	Afr
3152428	3152428	Afr
5173834	5173834	Afr
4015822	4015822	Afr
5088337	5088337	Afr
1149984	1149984	Afr
4188297	4188297	Afr
2837335	2837335	Afr
1805264	1805264	Afr
3243459	3243459	Afr
4911593	4911593	Afr
4417785	4417785	Afr
2415406	2415406	Afr
4505218	4505218	Afr
4241761	4241761	Afr
2707206	2707206	Afr
1769759	1769759	Afr
2719766	2719766	Afr
2258519	2258519	Afr
1846325	1846325	Afr
3196549	3196549	Afr
4155197	4155197	Afr
5373992	5373992	Afr
5750495	5750495	Afr
3481439	3481439	Afr
1679611	1679611	Afr
5871330	5871330	Afr
5027077	5027077	Afr
1594787	1594787	Afr
1882717	1882717	Afr
1601237	1601237	Afr
5684923	5684923	Afr
2468001	2468001	Afr
3613816	3613816	Afr
5375987	5375987	Afr
2563508	2563508	Afr
4404235	4404235	Afr
3032718	3032718	Afr
5532301	5532301	Afr
1269441	1269441	Afr
1288537	1288537	Afr
2896854	2896854	Afr
2747976	2747976	Afr
3112387	3112387	Afr
1985705	1985705	Afr
5159850	5159850	Afr
1514409	1514409	Afr
3054147	3054147	Afr
1604845	1604845	Afr
5080172	5080172	Afr
1646592	1646592	Afr
5505275	5505275	Afr
5790558	5790558	Afr
3151828	3151828	Afr
4224626	4224626	Afr
3100634	3100634	Afr
3374636	3374636	Afr
3194724	3194724	Afr
3821820	3821820	Afr
4960376	4960376	Afr
4183124	4183124	Afr
1440936	1440936	Afr
1024240	1024240	Afr
4042992	4042992	Afr
3395977	3395977	Afr
1589448	1589448	Afr
1297747	1297747	Afr
5886647	5886647	Afr
1213106	1213106	Afr
3056353	3056353	Afr
4673099	4673099	Afr
1112124	1112124	Afr
4758058	4758058	Afr
1362873	1362873	Afr
4936620	4936620	Afr
2578899	2578899	Afr
2044166	2044166	Afr
3476785	3476785	Afr
2534492	2534492	Afr
1853810	1853810	Afr
2486747	2486747	Afr
4496990	4496990	Afr
5020731	5020731	Afr
3584280	3584280	Afr
3025602	3025602	Afr
3522157	3522157	Afr
4862335	4862335	Afr
5538452	5538452	Afr
2121344	2121344	Afr
5784330	5784330	Afr
2719510	2719510	Afr
1204295	1204295	Afr
4375791	4375791	Afr
1616646	1616646	Afr
3832213	3832213	Afr
1630431	1630431	Afr
5152890	5152890	Afr
2230721	2230721	Afr
5800136	5800136	Afr
3417705	3417705	Afr
5704154	5704154	Afr
4106253	4106253	Afr
3867272	3867272	Afr
5048727	5048727	Afr
3560343	3560343	Afr
4501876	4501876	Afr
5997818	5997818	Afr
3258969	3258969	Afr
1275908	1275908	Afr
2341897	2341897	Afr
5738234	5738234	Afr
4585571	4585571	Afr
3063095	3063095	Afr
5483599	5483599	Afr
2973505	2973505	Afr
2439902	2439902	Afr
4623164	4623164	Afr
4257807	4257807	Afr
6017069	6017069	Afr
5119928	5119928	Afr
2313547	2313547	Afr
5962597	5962597	Afr
5027589	5027589	Afr
3850139	3850139	Afr
1368900	1368900	Afr
3388962	3388962	Afr
4791530	4791530	Afr
4063265	4063265	Afr
1979914	1979914	Afr
4625458	4625458	Afr
5214848	5214848	Afr
5516069	5516069	Afr
1579284	1579284	Afr
1255094	1255094	Afr
5407269	5407269	Afr
3467376	3467376	Afr
5880246	5880246	Afr
4838147	4838147	Afr
3442443	3442443	Afr
2006473	2006473	Afr
1189730	1189730	Afr
2753633	2753633	Afr
2129563	2129563	Afr
5022521	5022521	Afr
5671469	5671469	Afr
3089118	3089118	Afr
1961227	1961227	Afr
4118792	4118792	Afr
1011862	1011862	Afr
5924267	5924267	Afr
2621459	2621459	Afr
4485391	4485391	Afr
5330648	5330648	Afr
2453111	2453111	Afr
4323771	4323771	Afr
3776720	3776720	Afr
3805161	3805161	Afr
2889002	2889002	Afr
1965635	1965635	Afr
5066500	5066500	Afr
3722023	3722023	Afr
2230191	2230191	Afr
5062250	5062250	Afr
2634882	2634882	Afr
2172625	2172625	Afr
5795248	5795248	Afr
1466918	1466918	Afr
4955494	4955494	Afr
1328660	1328660	Afr
5581838	5581838	Afr
3123677	3123677	Afr
6002284	6002284	Afr
2541807	2541807	Afr
3234245	3234245	Afr
4502328	4502328	Afr
1419919	1419919	Afr
5697064	5697064	Afr
1132364	1132364	Afr
1493515	1493515	Afr
2523884	2523884	Afr
4716669	4716669	Afr
1685623	1685623	Afr
5697154	5697154	Afr
1257571	1257571	Afr
1584327	1584327	Afr
5319444	5319444	Afr
5942176	5942176	Afr
2625768	2625768	Afr
2116829	2116829	Afr
1384129	1384129	Afr
3428469	3428469	Afr
2810699	2810699	Afr
1833393	1833393	Afr
1606127	1606127	Afr
4033772	4033772	Afr
2100965	2100965	Afr
5916895	5916895	Afr
5604751	5604751	Afr
3921746	3921746	Afr
3537493	3537493	Afr
1264779	1264779	Afr
3887311	3887311	Afr
5993882	5993882	Afr
2644195	2644195	Afr
4294055	4294055	Afr
1309902	1309902	Afr
5866357	5866357	Afr
2982685	2982685	Afr
3130888	3130888	Afr
1743850	1743850	Afr
1690165	1690165	Afr
4937498	4937498	Afr
1025354	1025354	Afr
2930484	2930484	Afr
5682883	5682883	Afr
1854051	1854051	Afr
1235482	1235482	Afr
2978215	2978215	Afr
1461444	1461444	Afr
2991013	2991013	Afr
1961864	1961864	Afr
5610725	5610725	Afr
3586973	3586973	Afr
4211754	4211754	Afr
4953463	4953463	Afr
1772924	1772924	Afr
2791269	2791269	Afr
5226422	5226422	Afr
3993056	3993056	Afr
4965979	4965979	Afr
3072107	3072107	Afr
5465332	5465332	Afr
5452187	5452187	Afr
2386139	2386139	Afr
2847728	2847728	Afr
4842092	4842092	Afr
3001618	3001618	Afr
1480758	1480758	Afr
3652099	3652099	Afr
5047421	5047421	Afr
3813464	3813464	Afr
4236170	4236170	Afr
3124645	3124645	Afr
5750254	5750254	Afr
5448356	5448356	Afr
4038125	4038125	Afr
1572492	1572492	Afr
1667338	1667338	Afr
2526484	2526484	Afr
4228099	4228099	Afr
4582396	4582396	Afr
3384385	3384385	Afr
2384568	2384568	Afr
5855171	5855171	Afr
3428156	3428156	Afr
4661181	4661181	Afr
5295202	5295202	Afr
1890812	1890812	Afr
3514705	3514705	Afr
1822305	1822305	Afr
1488146	1488146	Afr
5195750	5195750	Afr
2223879	2223879	Afr
1005734	1005734	Afr
4360466	4360466	Afr
3891079	3891079	Afr
1297417	1297417	Afr
5420251	5420251	Afr
5072842	5072842	Afr
1227487	1227487	Afr
1581990	1581990	Afr
4664609	4664609	Afr
3143108	3143108	Afr
2176485	2176485	Afr
3540748	3540748	Afr
3148493	3148493	Afr
3147752	3147752	Afr
4472696	4472696	Afr
4244535	4244535	Afr
5848949	5848949	Afr
1978837	1978837	Afr
4905711	4905711	Afr
5429581	5429581	Afr
1662007	1662007	Afr
1458875	1458875	Afr
