#FID	IID	POP
5288175	5288175	Afr
3870900	3870900	Afr
5834008	5834008	Afr
5106579	5106579	Afr
2927746	2927746	Afr
1333286	1333286	Afr
4064724	4064724	Afr
3362250	3362250	Afr
2667199	2667199	Afr
2483198	2483198	Afr
3470681	3470681	Afr
4521040	4521040	Afr
5413564	5413564	Afr
4926538	4926538	Afr
1052368	1052368	Afr
2829023	2829023	Afr
4908678	4908678	Afr
5432116	5432116	Afr
3412598	3412598	Afr
1399390	1399390	Afr
1654129	1654129	Afr
4216639	4216639	Afr
4526179	4526179	Afr
2728426	2728426	Afr
4323499	4323499	Afr
5178372	5178372	Afr
1584299	1584299	Afr
3238897	3238897	Afr
4845282	4845282	Afr
3537493	3537493	Afr
1053605	1053605	Afr
3539301	3539301	Afr
4782095	4782095	Afr
1806158	1806158	Afr
5672339	5672339	Afr
4064699	4064699	Afr
5835328	5835328	Afr
5393280	5393280	Afr
2378648	2378648	Afr
5442057	5442057	Afr
1836568	1836568	Afr
5800136	5800136	Afr
3852604	3852604	Afr
2252348	2252348	Afr
4412213	4412213	Afr
3076191	3076191	Afr
2578899	2578899	Afr
1890684	1890684	Afr
3602207	3602207	Afr
3921127	3921127	Afr
2143272	2143272	Afr
4572353	4572353	Afr
5283828	5283828	Afr
4060454	4060454	Afr
4199346	4199346	Afr
1130762	1130762	Afr
4305620	4305620	Afr
1413029	1413029	Afr
3021584	3021584	Afr
3771365	3771365	Afr
2985014	2985014	Afr
3038264	3038264	Afr
4525518	4525518	Afr
4571285	4571285	Afr
1363968	1363968	Afr
5231415	5231415	Afr
5040800	5040800	Afr
5202810	5202810	Afr
2854782	2854782	Afr
2863171	2863171	Afr
3886473	3886473	Afr
5504635	5504635	Afr
2575011	2575011	Afr
4137043	4137043	Afr
2612177	2612177	Afr
4868380	4868380	Afr
4943643	4943643	Afr
5855171	5855171	Afr
3428469	3428469	Afr
2052256	2052256	Afr
4960098	4960098	Afr
1979914	1979914	Afr
5564200	5564200	Afr
2673611	2673611	Afr
3287393	3287393	Afr
4362490	4362490	Afr
1463208	1463208	Afr
5146260	5146260	Afr
2003383	2003383	Afr
5385438	5385438	Afr
4002357	4002357	Afr
2690121	2690121	Afr
4407409	4407409	Afr
5789380	5789380	Afr
5697154	5697154	Afr
1840244	1840244	Afr
1105193	1105193	Afr
4864873	4864873	Afr
5095734	5095734	Afr
4370796	4370796	Afr
5159285	5159285	Afr
5538831	5538831	Afr
2092393	2092393	Afr
5298212	5298212	Afr
1530733	1530733	Afr
4301099	4301099	Afr
4679447	4679447	Afr
4959220	4959220	Afr
2165795	2165795	Afr
2602947	2602947	Afr
4759004	4759004	Afr
1985136	1985136	Afr
1566597	1566597	Afr
1271757	1271757	Afr
3059935	3059935	Afr
5899473	5899473	Afr
1300402	1300402	Afr
4352641	4352641	Afr
3392080	3392080	Afr
2986085	2986085	Afr
2526787	2526787	Afr
1396807	1396807	Afr
3511760	3511760	Afr
3680054	3680054	Afr
4662628	4662628	Afr
4980979	4980979	Afr
2858264	2858264	Afr
4603458	4603458	Afr
3325758	3325758	Afr
3035107	3035107	Afr
3813464	3813464	Afr
1257571	1257571	Afr
2371476	2371476	Afr
1521338	1521338	Afr
1961576	1961576	Afr
4899250	4899250	Afr
1834754	1834754	Afr
5551452	5551452	Afr
5223624	5223624	Afr
1922332	1922332	Afr
1890633	1890633	Afr
2695110	2695110	Afr
3429195	3429195	Afr
4673099	4673099	Afr
3364214	3364214	Afr
1662007	1662007	Afr
2532801	2532801	Afr
1983234	1983234	Afr
5616623	5616623	Afr
3476410	3476410	Afr
2201658	2201658	Afr
5309310	5309310	Afr
2773613	2773613	Afr
4846682	4846682	Afr
2927819	2927819	Afr
2891618	2891618	Afr
4970291	4970291	Afr
2600497	2600497	Afr
3020690	3020690	Afr
1564882	1564882	Afr
4708245	4708245	Afr
4644392	4644392	Afr
3738510	3738510	Afr
5866423	5866423	Afr
5481961	5481961	Afr
1561842	1561842	Afr
2301000	2301000	Afr
4446368	4446368	Afr
4668949	4668949	Afr
2573696	2573696	Afr
2314657	2314657	Afr
3236034	3236034	Afr
3483813	3483813	Afr
5723008	5723008	Afr
1777418	1777418	Afr
2401324	2401324	Afr
2123877	2123877	Afr
2055129	2055129	Afr
2863437	2863437	Afr
5283054	5283054	Afr
1546942	1546942	Afr
3106546	3106546	Afr
4236170	4236170	Afr
3467376	3467376	Afr
4708611	4708611	Afr
5089241	5089241	Afr
3592196	3592196	Afr
1855029	1855029	Afr
5344451	5344451	Afr
1768586	1768586	Afr
3547947	3547947	Afr
1897432	1897432	Afr
3781502	3781502	Afr
3323214	3323214	Afr
5374522	5374522	Afr
4504864	4504864	Afr
1165086	1165086	Afr
4302155	4302155	Afr
3736095	3736095	Afr
3053066	3053066	Afr
4024279	4024279	Afr
1163235	1163235	Afr
1525632	1525632	Afr
1537886	1537886	Afr
2685094	2685094	Afr
2526484	2526484	Afr
5899897	5899897	Afr
2009668	2009668	Afr
1329375	1329375	Afr
5857279	5857279	Afr
4581499	4581499	Afr
4489159	4489159	Afr
3981157	3981157	Afr
2975729	2975729	Afr
4267632	4267632	Afr
1437661	1437661	Afr
3235799	3235799	Afr
1014121	1014121	Afr
2133946	2133946	Afr
4697042	4697042	Afr
1394541	1394541	Afr
1888293	1888293	Afr
4525365	4525365	Afr
5612517	5612517	Afr
4106253	4106253	Afr
5740140	5740140	Afr
2568409	2568409	Afr
2511642	2511642	Afr
1282147	1282147	Afr
3300315	3300315	Afr
5027589	5027589	Afr
4560333	4560333	Afr
3067251	3067251	Afr
2782608	2782608	Afr
1014450	1014450	Afr
3836905	3836905	Afr
4149973	4149973	Afr
5172057	5172057	Afr
5582779	5582779	Afr
1575506	1575506	Afr
3534962	3534962	Afr
4613753	4613753	Afr
2938928	2938928	Afr
1253255	1253255	Afr
1611039	1611039	Afr
1965635	1965635	Afr
2747976	2747976	Afr
1305747	1305747	Afr
2919307	2919307	Afr
2808969	2808969	Afr
1328157	1328157	Afr
2077947	2077947	Afr
4830206	4830206	Afr
4780775	4780775	Afr
4803143	4803143	Afr
2607002	2607002	Afr
3203308	3203308	Afr
3535276	3535276	Afr
3240848	3240848	Afr
5358377	5358377	Afr
4427386	4427386	Afr
4904131	4904131	Afr
1213106	1213106	Afr
2836011	2836011	Afr
1478417	1478417	Afr
1264525	1264525	Afr
3244419	3244419	Afr
2874044	2874044	Afr
1651345	1651345	Afr
2579378	2579378	Afr
1084694	1084694	Afr
3423634	3423634	Afr
1579107	1579107	Afr
4602323	4602323	Afr
4779097	4779097	Afr
5204707	5204707	Afr
4267595	4267595	Afr
3359274	3359274	Afr
3861226	3861226	Afr
5308551	5308551	Afr
1513985	1513985	Afr
3283741	3283741	Afr
2393574	2393574	Afr
2517855	2517855	Afr
2673466	2673466	Afr
2606484	2606484	Afr
5110096	5110096	Afr
2098049	2098049	Afr
2856015	2856015	Afr
1632721	1632721	Afr
5094291	5094291	Afr
1197264	1197264	Afr
4097807	4097807	Afr
5412051	5412051	Afr
4212589	4212589	Afr
5962249	5962249	Afr
2149725	2149725	Afr
5539807	5539807	Afr
2464998	2464998	Afr
5013315	5013315	Afr
3354591	3354591	Afr
3906248	3906248	Afr
2497700	2497700	Afr
3880176	3880176	Afr
5242248	5242248	Afr
1377065	1377065	Afr
4705824	4705824	Afr
4794257	4794257	Afr
1094637	1094637	Afr
2176811	2176811	Afr
4064746	4064746	Afr
2761616	2761616	Afr
2013029	2013029	Afr
2142051	2142051	Afr
4545616	4545616	Afr
1070781	1070781	Afr
1117592	1117592	Afr
1530094	1530094	Afr
5302471	5302471	Afr
4036967	4036967	Afr
5575659	5575659	Afr
1193561	1193561	Afr
3701556	3701556	Afr
3660511	3660511	Afr
1114094	1114094	Afr
2734910	2734910	Afr
3546873	3546873	Afr
4838147	4838147	Afr
2366827	2366827	Afr
1004861	1004861	Afr
2428474	2428474	Afr
5970831	5970831	Afr
6019179	6019179	Afr
1227367	1227367	Afr
4560996	4560996	Afr
4848493	4848493	Afr
2123911	2123911	Afr
4726334	4726334	Afr
4254850	4254850	Afr
3944061	3944061	Afr
2175971	2175971	Afr
1604845	1604845	Afr
5505275	5505275	Afr
1517547	1517547	Afr
5343777	5343777	Afr
2328655	2328655	Afr
4131271	4131271	Afr
3657580	3657580	Afr
2606861	2606861	Afr
2024262	2024262	Afr
1905443	1905443	Afr
1162702	1162702	Afr
6018976	6018976	Afr
2655312	2655312	Afr
1732490	1732490	Afr
1449401	1449401	Afr
3032389	3032389	Afr
5191235	5191235	Afr
3936900	3936900	Afr
3979943	3979943	Afr
3218503	3218503	Afr
1419336	1419336	Afr
2356355	2356355	Afr
2809129	2809129	Afr
2913487	2913487	Afr
4590662	4590662	Afr
5422159	5422159	Afr
5431348	5431348	Afr
1521160	1521160	Afr
1487672	1487672	Afr
1646592	1646592	Afr
4690834	4690834	Afr
2373393	2373393	Afr
1013499	1013499	Afr
1608719	1608719	Afr
4630115	4630115	Afr
3883630	3883630	Afr
2853048	2853048	Afr
2540022	2540022	Afr
4378701	4378701	Afr
5192629	5192629	Afr
2132320	2132320	Afr
3292883	3292883	Afr
4146621	4146621	Afr
1413088	1413088	Afr
1526235	1526235	Afr
1049716	1049716	Afr
4351736	4351736	Afr
2216483	2216483	Afr
5802450	5802450	Afr
3038901	3038901	Afr
2232340	2232340	Afr
3341045	3341045	Afr
2713698	2713698	Afr
2395291	2395291	Afr
1503648	1503648	Afr
4153482	4153482	Afr
4683331	4683331	Afr
4653064	4653064	Afr
4266027	4266027	Afr
1620725	1620725	Afr
2541776	2541776	Afr
4466026	4466026	Afr
4170279	4170279	Afr
4347835	4347835	Afr
5156610	5156610	Afr
2881476	2881476	Afr
1074673	1074673	Afr
5055483	5055483	Afr
5848949	5848949	Afr
4730541	4730541	Afr
3221911	3221911	Afr
2192225	2192225	Afr
1924759	1924759	Afr
1695934	1695934	Afr
3062858	3062858	Afr
1105282	1105282	Afr
3223062	3223062	Afr
2689416	2689416	Afr
3672356	3672356	Afr
1790596	1790596	Afr
4896398	4896398	Afr
1419919	1419919	Afr
2468379	2468379	Afr
2429547	2429547	Afr
3825803	3825803	Afr
5033723	5033723	Afr
5242915	5242915	Afr
3824373	3824373	Afr
4063868	4063868	Afr
2636409	2636409	Afr
5469370	5469370	Afr
3324179	3324179	Afr
3362637	3362637	Afr
5917129	5917129	Afr
1887967	1887967	Afr
5728032	5728032	Afr
3813717	3813717	Afr
3347968	3347968	Afr
3586703	3586703	Afr
5222175	5222175	Afr
1502955	1502955	Afr
5728115	5728115	Afr
1572492	1572492	Afr
2026178	2026178	Afr
2467119	2467119	Afr
1875394	1875394	Afr
2832598	2832598	Afr
4670502	4670502	Afr
4105214	4105214	Afr
3074490	3074490	Afr
1969100	1969100	Afr
4716973	4716973	Afr
1059870	1059870	Afr
3617892	3617892	Afr
5256104	5256104	Afr
5449252	5449252	Afr
4018290	4018290	Afr
5307753	5307753	Afr
5154219	5154219	Afr
5624543	5624543	Afr
1368900	1368900	Afr
1777537	1777537	Afr
4696057	4696057	Afr
1052415	1052415	Afr
2313547	2313547	Afr
3173387	3173387	Afr
1312160	1312160	Afr
3359565	3359565	Afr
1569676	1569676	Afr
2369293	2369293	Afr
5762050	5762050	Afr
4697034	4697034	Afr
1120757	1120757	Afr
1565963	1565963	Afr
3805161	3805161	Afr
3198462	3198462	Afr
1489055	1489055	Afr
2461301	2461301	Afr
4821740	4821740	Afr
4619843	4619843	Afr
5390772	5390772	Afr
2296711	2296711	Afr
2571125	2571125	Afr
3118909	3118909	Afr
2447569	2447569	Afr
1755797	1755797	Afr
2085841	2085841	Afr
3867228	3867228	Afr
5317111	5317111	Afr
2067478	2067478	Afr
5669494	5669494	Afr
3109852	3109852	Afr
3988448	3988448	Afr
5557895	5557895	Afr
4672528	4672528	Afr
1539231	1539231	Afr
3038740	3038740	Afr
4724175	4724175	Afr
5408338	5408338	Afr
2692555	2692555	Afr
3602429	3602429	Afr
4625859	4625859	Afr
3561638	3561638	Afr
4449205	4449205	Afr
3703239	3703239	Afr
4169394	4169394	Afr
5975678	5975678	Afr
3093810	3093810	Afr
5966664	5966664	Afr
2877509	2877509	Afr
5925108	5925108	Afr
3025757	3025757	Afr
3217114	3217114	Afr
5922648	5922648	Afr
1715514	1715514	Afr
1797867	1797867	Afr
1795743	1795743	Afr
2152768	2152768	Afr
4584427	4584427	Afr
4323771	4323771	Afr
1458207	1458207	Afr
2808688	2808688	Afr
3838807	3838807	Afr
4400328	4400328	Afr
2447016	2447016	Afr
3352750	3352750	Afr
3445316	3445316	Afr
1566020	1566020	Afr
2372228	2372228	Afr
2662943	2662943	Afr
5629666	5629666	Afr
3781550	3781550	Afr
4126022	4126022	Afr
3742613	3742613	Afr
3188195	3188195	Afr
3538848	3538848	Afr
2770550	2770550	Afr
1453639	1453639	Afr
1782266	1782266	Afr
3076401	3076401	Afr
3257699	3257699	Afr
1008415	1008415	Afr
5970896	5970896	Afr
5846523	5846523	Afr
5499215	5499215	Afr
3654800	3654800	Afr
5728001	5728001	Afr
1377859	1377859	Afr
2369817	2369817	Afr
5746513	5746513	Afr
4108671	4108671	Afr
3071973	3071973	Afr
4520380	4520380	Afr
1460715	1460715	Afr
3081807	3081807	Afr
3628448	3628448	Afr
3143878	3143878	Afr
1235482	1235482	Afr
5436760	5436760	Afr
1433108	1433108	Afr
4115435	4115435	Afr
5679511	5679511	Afr
2900721	2900721	Afr
3336803	3336803	Afr
2775936	2775936	Afr
5795104	5795104	Afr
3583393	3583393	Afr
3387684	3387684	Afr
2505679	2505679	Afr
2234957	2234957	Afr
5745355	5745355	Afr
4135405	4135405	Afr
4650526	4650526	Afr
4032503	4032503	Afr
4987516	4987516	Afr
1674574	1674574	Afr
3040696	3040696	Afr
1179117	1179117	Afr
2307867	2307867	Afr
5868371	5868371	Afr
3825908	3825908	Afr
1868886	1868886	Afr
3437147	3437147	Afr
5545514	5545514	Afr
3719925	3719925	Afr
5144985	5144985	Afr
4895690	4895690	Afr
1505757	1505757	Afr
1563151	1563151	Afr
4573545	4573545	Afr
2168688	2168688	Afr
5962823	5962823	Afr
3776720	3776720	Afr
4333474	4333474	Afr
3203256	3203256	Afr
2563601	2563601	Afr
1652418	1652418	Afr
5978213	5978213	Afr
5210367	5210367	Afr
5203519	5203519	Afr
5026918	5026918	Afr
5978889	5978889	Afr
5132124	5132124	Afr
1079089	1079089	Afr
5851911	5851911	Afr
3499756	3499756	Afr
1243906	1243906	Afr
1024240	1024240	Afr
1566037	1566037	Afr
1251844	1251844	Afr
2968327	2968327	Afr
1110529	1110529	Afr
1154057	1154057	Afr
4371894	4371894	Afr
4241761	4241761	Afr
3414076	3414076	Afr
1456201	1456201	Afr
2301878	2301878	Afr
5162541	5162541	Afr
5444445	5444445	Afr
1991607	1991607	Afr
2148519	2148519	Afr
4420915	4420915	Afr
3154590	3154590	Afr
1595297	1595297	Afr
3593705	3593705	Afr
4223015	4223015	Afr
5924267	5924267	Afr
3208361	3208361	Afr
5348486	5348486	Afr
2180088	2180088	Afr
5850765	5850765	Afr
3003401	3003401	Afr
3767169	3767169	Afr
2378774	2378774	Afr
5133996	5133996	Afr
3185736	3185736	Afr
4122304	4122304	Afr
5678137	5678137	Afr
5446229	5446229	Afr
2514361	2514361	Afr
4051096	4051096	Afr
3316434	3316434	Afr
4933927	4933927	Afr
3515326	3515326	Afr
1280685	1280685	Afr
3528349	3528349	Afr
3128933	3128933	Afr
3196427	3196427	Afr
2799009	2799009	Afr
1871558	1871558	Afr
5759164	5759164	Afr
2151927	2151927	Afr
4412986	4412986	Afr
4097457	4097457	Afr
3032208	3032208	Afr
