D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	gammaF	dataset	gwas	contrasts	L
11663.8821302575	9999	291998	0.00103148876437891	0.0011665048635121	9999000	1.02100250574876e-06	1.1665048635121e-06	0.875266394239228	0.124733605760772	0.23390873911546	HGDP	q1	AFRICA-EUROPE	1000
14171.6873845641	9999	351985	1.00919628347473e-12	0.000448232280045338	31616838	1.00511734946481e-07	1.41755939293275e-07	0.709047786269716	0.290952213730284	0.497251236786015	HGDP	q1	AFRICA-EUROPE	3162
22220.4197707657	9999	852791	2.78150359697604e-40	0.000222226420349692	99990000	9.87013100889302e-09	2.22226420349692e-08	0.444147504754904	0.555852495245097	0.802732994019993	HGDP	q1	AFRICA-EUROPE	10000
53787.1905885599	9999	4984963	6.08437335016364e-86	0.000170105840197149	316198377	1.18919845646749e-09	5.37918098210633e-09	0.221074260268119	0.778925739731881	0.951126171446904	HGDP	q1	AFRICA-EUROPE	31623
147003.41838888	9999	37250868	6.78138416465177e-112	0.000147019590396804	999890001	1.47510705845799e-10	1.4702106060741e-09	0.100333044283837	0.899666955716163	0.989933280224738	HGDP	q1	AFRICA-EUROPE	100000
450042.89066775	9999	349188899	6.48184131485827e-123	0.000142330185643806	3161963772	2.49617901385786e-11	4.50087233400604e-10	0.055459893741001	0.944540106258999	0.996924200186237	HGDP	q1	AFRICA-EUROPE	316228
1407616.00520302	9999	3416209174	1.1488112253119e-126	0.00014077581886393	9998990001	5.79774919820545e-12	1.4077595963989e-10	0.0411842278542182	0.958815772145782	0.998303859376052	HGDP	q1	AFRICA-EUROPE	1000000
1759724.72585485	9999	5339094601	5.06397647935466e-127	0.000140105428589683	12560003874	4.45828406129707e-12	1.11537718819356e-10	0.0399710887804474	0.960028911219553	0.998402312061706	HGDP	q1	AFRICA-EUROPE	pruneall
10927521.4334148	9999	205839676933	3.01173693665921e-128	0.000157664502145394	69308698437	1.87224452067742e-12	2.27458802791511e-11	0.0823113679356486	0.917688632064351	0.993224838708562	HGDP	q1	AFRICA-EUROPE	all
11023.7333626839	9999	270091	0.024318073656815	0.00110248358462685	9999000	1.02372802074453e-06	1.1024835846268e-06	0.928565318358969	0.0714346816410313	0.137766449540907	HGDP	q1	Lat	1000
13529.2119894485	9999	319074	2.05702718576667e-10	0.000427911608031408	31616838	1.03142610348489e-07	1.35329414304682e-07	0.76215958576657	0.23784041423343	0.41911276582413	HGDP	q1	Lat	3162
21745.3129531496	9999	815321	5.45228180744463e-39	0.000217474877019198	99990000	1.0349912498673e-08	2.17474877019198e-08	0.475913017656716	0.524086982343284	0.773506799624879	HGDP	q1	Lat	10000
45238.3147810194	9999	3525714	6.97869221419679e-79	0.000143069408547342	316198377	1.15025244605391e-09	4.52421998378843e-09	0.254243261860738	0.745756738139262	0.935360363798412	HGDP	q1	Lat	31623
128883.869045396	9999	28632199	1.15799527941552e-109	0.000128896758721268	999900000	1.47807773200369e-10	1.28896758721268e-09	0.114671442995704	0.885328557004296	0.986850460161283	HGDP	q1	Lat	100000
381277.148692297	9999	250622217	6.22885312748048e-122	0.000120582389990867	3161963772	2.52150188820412e-11	3.8131471593555e-10	0.066126529683431	0.933873470316569	0.995627282072026	HGDP	q1	Lat	316228
1172579.24111149	9999	2370539611	2.58783293652815e-126	0.000117269768346025	9998990001	5.78598720234432e-12	1.17269885615911e-10	0.0493390709128422	0.950660929087158	0.997565656081458	HGDP	q1	Lat	1000000
1473940.18466378	9999	3745636603	9.48960626030988e-127	0.000117351889334599	12560003874	4.43852836413832e-12	9.34236607908751e-11	0.0475096814507598	0.95249031854924	0.997742830168447	HGDP	q1	Lat	pruneall
9284831.26730289	9999	148595681999	3.24810982828848e-128	0.000133963434268537	69308698437	1.92972058546012e-12	1.93265839563944e-11	0.0998479912339426	0.900152008766058	0.990030378646546	HGDP	q1	Lat	all
