H	varH	pvalH	M	L	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	nsnp
9.35164245517471e-07	5.10938303552117e-16	1.31673799663968e-12	1e+05	1286958	8.24132728966086e-06	1.20352727202763e-05	0.684764481969434	0.315235518030566	HGDP1KG	e5	eurasia-lat	pruneall
7.892465011616e-07	5.54605334337484e-16	0.301920618541794	1e+05	1286958	7.86840242013944e-06	1.01573567750632e-05	0.774650590147309	0.225349409852691	HGDP1KG	e5	eurasia-long	pruneall
1.42976097219487e-06	1.73012303463841e-15	9.5281965771671e-85	1e+05	1613327	7.25950098913227e-06	2.30669218738905e-05	0.314714769002158	0.685285230997842	HGDP1KG	e5	eur-lat	pruneall
6.80219875880885e-07	2.76545204331371e-16	0.000141159482941435	1e+05	1613327	5.30872879263867e-06	1.09742670552301e-05	0.483743357612996	0.516256642387005	HGDP1KG	e5	eur-long	pruneall
1.07680622441376e-06	9.06953522297116e-16	6.12738230618719e-56	1e+05	1656759	7.76774857910943e-06	1.78402409018262e-05	0.43540603637893	0.56459396362107	HGDP1KG	e5	sdi-eur	pruneall
8.86130262833608e-07	6.71556885873981e-16	0.000840858592991335	1e+05	1242663	8.3885468507377e-06	1.10117053024909e-05	0.761784539297485	0.238215460702515	HGDP1KG	e5	eas-nfe	pruneall
6.52774554429587e-07	2.18164358728563e-16	1	1e+05	1242663	7.33305187989254e-06	8.11185592438474e-06	0.90399187907775	0.0960081209222505	HGDP1KG	e5	eas-sas	pruneall
7.53132979437779e-07	2.80599697993046e-16	0.998964509976055	1e+05	1242663	6.19223281182557e-06	9.35898340345139e-06	0.661635195286489	0.338364804713511	HGDP1KG	e5	eas-afr	pruneall
6.8820957398845e-07	1.84561945039874e-16	1	1e+05	1242663	7.17607975237605e-06	8.55219749620112e-06	0.839091912407736	0.160908087592264	HGDP1KG	e5	eas-amr	pruneall
1.15859108315885e-06	6.32947723008159e-16	3.09277112569451e-45	1e+05	1242663	9.93006562780156e-06	1.4397503514937e-05	0.689707463345945	0.310292536654055	HGDP1KG	e5	nfe-sas	pruneall
1.04329887659338e-06	5.35335545448102e-16	3.13383609749815e-25	1e+05	1242663	6.55379821369091e-06	1.29647979008514e-05	0.505507163614214	0.494492836385787	HGDP1KG	e5	nfe-afr	pruneall
8.26151031670882e-07	4.65972300530789e-16	0.160448766042372	1e+05	1242663	8.25868152203081e-06	1.02663593352717e-05	0.804441112211687	0.195558887788313	HGDP1KG	e5	nfe-amr	pruneall
8.40230120497495e-07	2.99465199285622e-16	0.0200958424252464	1e+05	1242663	5.8065924139359e-06	1.04413164308464e-05	0.556116889320744	0.443883110679256	HGDP1KG	e5	sas-afr	pruneall
6.62362897106136e-07	8.36155216409828e-17	1	1e+05	1242663	7.16553758026936e-06	8.23100771089052e-06	0.870554108555697	0.129445891444303	HGDP1KG	e5	sas-amr	pruneall
9.53134883850114e-07	4.27912148855302e-16	3.63006376771507e-13	1e+05	1242663	6.17636357286041e-06	1.18443539225476e-05	0.521460572121435	0.478539427878565	HGDP1KG	e5	afr-amr	pruneall
1.4909114404426e-06	1.58016838206928e-15	1.42906447179031e-72	1e+05	1288276	8.2630705146591e-06	1.92072165224243e-05	0.430206558301251	0.569793441698749	HGDP1KG	e10	eurasia-lat	pruneall
