D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
1.07071009142886e-05	1.0000100001e-05	1.97242025108143e-13	0.0557017485382683	1.07071009142886e-05	99999	5.07105783819514e-12	8.31970369972628e-12	0.609523850995076	0.390476149004924	HGDP1KG	e5	eurasia-lat	pruneall
8.60724701127865e-06	1.0000100001e-05	1.27409919857774e-13	0.999952328447635	8.60724701127865e-06	99999	4.88300801665058e-12	6.68806107063301e-12	0.730108168134359	0.269891831865641	HGDP1KG	e5	eurasia-long	pruneall
1.56805705122258e-05	1.0000100001e-05	4.23526752364102e-13	1.28938380741478e-18	1.56805705122258e-05	99999	2.91572793315141e-12	9.71940606686174e-12	0.299990340262927	0.700009659737073	HGDP1KG	e5	eur-lat	pruneall
7.32906143598941e-06	1.0000100001e-05	9.24747448474868e-14	1	7.32906143598941e-06	99999	2.03713008569478e-12	4.54282732441516e-12	0.448427805024934	0.551572194975067	HGDP1KG	e5	eur-long	pruneall
1.4559354922868e-05	1.0000100001e-05	3.64992718707437e-13	2.23370805760934e-14	1.4559354922868e-05	99999	3.56497751624433e-12	8.78785853025488e-12	0.405670790440106	0.594329209559894	HGDP1KG	e5	sdi-eur	pruneall
9.30657337356852e-06	1.0000100001e-05	1.48970410031882e-13	0.96382071213001	9.30657337356852e-06	99999	5.30296486648345e-12	7.48922343611419e-12	0.70807940392214	0.29192059607786	HGDP1KG	e5	eas-nfe	pruneall
6.3898733149301e-06	1.0000100001e-05	7.01832615719754e-14	1	6.3898733149301e-06	99999	4.59979596115109e-12	5.1420847462384e-12	0.894539119472115	0.105460880527885	HGDP1KG	e5	eas-sas	pruneall
8.37352878851615e-06	1.0000100001e-05	1.20661302256136e-13	0.999998583855676	8.37352878851615e-06	99999	3.87787478212667e-12	6.73838001686392e-12	0.575490662803469	0.424509337196531	HGDP1KG	e5	eas-afr	pruneall
6.81424343551899e-06	1.0000100001e-05	7.98382057655463e-14	1	6.81424343551899e-06	99999	4.43872300941236e-12	5.48358558925838e-12	0.809456319621825	0.190543680378175	HGDP1KG	e5	eas-amr	pruneall
1.25882549481805e-05	1.0000100001e-05	2.72626001703861e-13	3.5820816007169e-07	1.25882549481805e-05	99999	6.31310530867699e-12	1.01300715304568e-11	0.623204415654538	0.376795584345462	HGDP1KG	e5	nfe-sas	pruneall
1.27681083560971e-05	1.0000100001e-05	2.80697336833329e-13	8.72932028320766e-08	1.27681083560971e-05	99999	4.39244727410973e-12	1.0274803893655e-11	0.427496944912225	0.572503055087775	HGDP1KG	e5	nfe-afr	pruneall
8.41850159575482e-06	1.0000100001e-05	1.21870941996809e-13	0.999997057787211	8.41850159575482e-06	99999	5.23499435651908e-12	6.77457071653822e-12	0.77274185709499	0.22725814290501	HGDP1KG	e5	nfe-amr	pruneall
9.98645730165159e-06	1.0000100001e-05	1.71687894783243e-13	0.513132943443413	9.98645730165159e-06	99999	3.83138281223632e-12	8.03634238566206e-12	0.476757040500419	0.523242959499581	HGDP1KG	e5	sas-afr	pruneall
6.50196195315574e-06	1.0000100001e-05	7.26765046276576e-14	1	6.50196195315574e-06	99999	4.46436646629816e-12	5.23228516938294e-12	0.853234547004758	0.146765452995242	HGDP1KG	e5	sas-amr	pruneall
1.14385393115611e-05	1.0000100001e-05	2.25271282304887e-13	0.00122005952588769	1.14385393115611e-05	99999	4.05629603222739e-12	9.20486770462207e-12	0.440668585621344	0.559331414378656	HGDP1KG	e5	afr-amr	pruneall
1.89770131184699e-05	1.0000100001e-05	6.20207996344609e-13	2.12011597019645e-30	1.89770131184699e-05	99999	5.08827399431741e-12	1.47305607253652e-11	0.345422967202849	0.654577032797151	HGDP1KG	e10	eurasia-lat	pruneall
1.2235032501783e-05	1.0000100001e-05	2.57647519929933e-13	5.33752393081225e-06	1.2235032501783e-05	99999	4.89895829246847e-12	9.49722109160158e-12	0.515830709343034	0.484169290656966	HGDP1KG	e10	eurasia-long	pruneall
2.5346796900429e-05	1.0000100001e-05	1.10709480251977e-12	1.7358227471597e-48	2.5346796900429e-05	99999	2.90555958687086e-12	1.56938142462296e-11	0.185140434395604	0.814859565604396	HGDP1KG	e10	eur-lat	pruneall
1.0520834026827e-05	1.0000100001e-05	1.90651464030755e-13	0.116512452452969	1.0520834026827e-05	99999	2.03643969916217e-12	6.51411756605981e-12	0.31261942673134	0.68738057326866	HGDP1KG	e10	eur-long	pruneall
2.05013430586627e-05	1.0000100001e-05	7.24015751217096e-13	2.70807811401135e-35	2.05013430586627e-05	99999	3.55603278496165e-12	1.23611827964486e-11	0.287677388444034	0.712322611555966	HGDP1KG	e10	sdi-eur	pruneall
1.37208942973365e-05	1.0000100001e-05	3.24072407227765e-13	3.15847303311377e-11	1.37208942973365e-05	99999	5.32053119046909e-12	1.10290283250205e-11	0.482411599070693	0.517588400929307	HGDP1KG	e10	eas-nfe	pruneall
7.4259871317572e-06	1.0000100001e-05	9.48304141292946e-14	1	7.4259871317572e-06	99999	4.60737378659685e-12	5.96910235168025e-12	0.771870461443824	0.228129538556176	HGDP1KG	e10	eas-sas	pruneall
