PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.693385351463352	0.480783245623956	0.683068455980207	0.703425585385969	0.480783245623956	0.112870790730123	0.000694140414041404	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
2	-0.025264739179112	0.000638307045788556	-0.0448426035429513	-0.00566747565797701	0.481421552669745	0.112870790730123	0.000651146114611461	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
3	-0.0954286948899611	0.00910663580840129	-0.114814015712286	-0.0759707212161348	0.490528188478146	0.112870790730123	0.000492005200520052	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
4	0.0974805052106375	0.00950244889612112	0.0780295203394269	0.116857304756885	0.500030637374267	0.112870790730123	0.000366965696569657	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
5	-0.113497614818376	0.0128817085694604	-0.132802258070522	-0.094106891354988	0.512912345943727	0.112870790730123	0.000331005100510051	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
6	0.0652375365266393	0.00425593617206459	0.0456958960518759	0.0847292665808078	0.517168282115792	0.112870790730123	0.000306921692169217	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
7	-0.0198598218747849	0.000394412524898185	-0.0394445379367265	-0.000259853021459944	0.51756269464069	0.112870790730123	0.000291775177517752	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
8	0.0290469684372723	0.00084372637539589	0.00945227983181444	0.0486193583391833	0.518406421016086	0.112870790730123	0.000270729072907291	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
9	0.0602201768716703	0.00362646970245526	0.0406681082381359	0.079726144536213	0.522032890718541	0.112870790730123	0.000254708470847085	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
10	0.00827960584590244	6.85518729635019e-05	-0.0113223015489908	0.0278751522445128	0.522101442591505	0.112870790730123	0.000247398739873987	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
11	0.000806682721538745	6.50737013229156e-07	-0.0187936844282431	0.0204064300768279	0.522102093328518	0.112870790730123	0.000241918191819182	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
12	-0.351551655435616	0.123588566439522	-0.368611828833107	-0.334254746726444	0.64569065976804	0.112870790730123	0.000235037503750375	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
13	-0.104458387774455	0.0109115547764384	-0.123804980485546	-0.085032412428845	0.656602214544478	0.112870790730123	0.000231920192019202	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
14	-0.0311797164345839	0.000972174716941064	-0.0507487726120909	-0.0115867273668715	0.657574389261419	0.112870790730123	0.000227234723472347	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
15	-0.0352347649190222	0.00124148865889876	-0.0547969919070806	-0.0156454997594041	0.658815877920318	0.112870790730123	0.000225632563256326	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
16	-0.0206238737886081	0.000425344170048435	-0.0402076906612708	-0.00102421780539953	0.659241222090367	0.112870790730123	0.000223467346734673	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
17	0.00866334442253396	7.50535365834503e-05	-0.0109385829745778	0.0282586160506976	0.65931627562695	0.112870790730123	0.000221915191519152	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
18	0.0127501511999459	0.000162566355621481	-0.00685163105120083	0.0323421387768791	0.659478841982572	0.112870790730123	0.00021975897589759	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
19	-0.0190816500340615	0.000364109368022398	-0.0386672584167176	0.00051861393054471	0.659842951350594	0.112870790730123	0.000218579857985799	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
