q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
6.85835885882899	6.96561035042633e-12	6.90819667910355	4.90853156734718e-12	939	HGDP1KG	q1	eurasia-lat	pruneall	StandingHeight	no-FGr	0
-0.715688940077593	0.474183441517118	-0.0136282266457671	0.989126584953218	799	HGDP1KG	q1	eurasia-lat	pruneall	StandingHeight	no-FGr	40
0.123745172077552	0.901517044358196	0.789681911820724	0.429713557567766	887	HGDP1KG	q1	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	0
-0.547802759738532	0.583827343448832	0.0696857477092635	0.944443785883038	798	HGDP1KG	q1	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	40
-5.22752498558631	1.71794188756716e-07	-4.84026299786269	1.29667412285568e-06	939	HGDP1KG	q1	eurasia-long	pruneall	StandingHeight	no-FGr	0
0.0709055539594076	0.94347292308354	-0.074704605795732	0.940449743021065	799	HGDP1KG	q1	eurasia-long	pruneall	StandingHeight	no-FGr	40
-1.10089475573002	0.270942464765205	-1.06639734229766	0.286244062593507	893	HGDP1KG	q1	eurasia-long	pruneall	StandingHeight	FGr-LOCO	0
0.0989201716089106	0.921201652828186	-0.0684320015883029	0.945441747946884	800	HGDP1KG	q1	eurasia-long	pruneall	StandingHeight	FGr-LOCO	40
5.63513557050487	1.74920675128355e-08	6.02809534770832	1.6590317097464e-09	1040	HGDP1KG	q1	eur-lat	pruneall	StandingHeight	no-FGr	0
1.20794963809617	0.227066634605623	1.49684015216202	0.134434855807937	932	HGDP1KG	q1	eur-lat	pruneall	StandingHeight	no-FGr	40
1.42293018368442	0.154756395263827	1.29446481923815	0.195504913658946	1009	HGDP1KG	q1	eur-lat	pruneall	StandingHeight	FGr-LOCO	0
1.31446332463875	0.188690332379382	1.60030765002575	0.109530350599738	926	HGDP1KG	q1	eur-lat	pruneall	StandingHeight	FGr-LOCO	40
-2.64737936354828	0.00811182963291654	-2.03454487204354	0.0418966891851641	1040	HGDP1KG	q1	eur-long	pruneall	StandingHeight	no-FGr	0
2.35758124954158	0.0183944294601984	2.06971175540217	0.0384793452524431	932	HGDP1KG	q1	eur-long	pruneall	StandingHeight	no-FGr	40
1.71950361253872	0.0855227104221776	1.52145254262947	0.128146311994414	1004	HGDP1KG	q1	eur-long	pruneall	StandingHeight	FGr-LOCO	0
2.38977400139504	0.0168587432189298	2.11797865185363	0.0341768757081365	930	HGDP1KG	q1	eur-long	pruneall	StandingHeight	FGr-LOCO	40
-4.98939186949641	6.05696666306778e-07	-5.35629909999926	8.49438509012562e-08	1056	HGDP1KG	q1	sdi-eur	pruneall	StandingHeight	no-FGr	0
-1.29219046995196	0.1962911912164	-1.99310715780221	0.0462497143817021	940	HGDP1KG	q1	sdi-eur	pruneall	StandingHeight	no-FGr	40
-0.940590027102752	0.346914994578419	-1.06675597636535	0.286082042830515	1027	HGDP1KG	q1	sdi-eur	pruneall	StandingHeight	FGr-LOCO	0
-1.40597285350344	0.159732185933686	-2.00195241266115	0.0452898498194203	942	HGDP1KG	q1	sdi-eur	pruneall	StandingHeight	FGr-LOCO	40
-5.59967785389744	2.14750506102607e-08	-5.05238240299814	4.36333005050941e-07	917	HGDP1KG	q1	eas-nfe	pruneall	StandingHeight	no-FGr	0
0.219635784455562	0.826154819865886	-0.0182999079924081	0.985399600866376	783	HGDP1KG	q1	eas-nfe	pruneall	StandingHeight	no-FGr	40
-1.19435057905594	0.232340860240411	-0.994530553513926	0.319964638201379	879	HGDP1KG	q1	eas-nfe	pruneall	StandingHeight	FGr-LOCO	0
0.21669817820027	0.82844356785833	0.0239052261124467	0.98092820564042	787	HGDP1KG	q1	eas-nfe	pruneall	StandingHeight	FGr-LOCO	40
-2.80210920142861	0.00507696852651093	-1.98940654735062	0.0466563475549205	917	HGDP1KG	q1	eas-sas	pruneall	StandingHeight	no-FGr	0
-0.387094896863511	0.698685955414516	-0.351120426937328	0.725498003888921	782	HGDP1KG	q1	eas-sas	pruneall	StandingHeight	no-FGr	40
-1.80159194773232	0.0716096290868442	-1.22020574649936	0.222386889001766	898	HGDP1KG	q1	eas-sas	pruneall	StandingHeight	FGr-LOCO	0
-0.417869667878291	0.676042410559325	-0.365165880452539	0.714987585709281	783	HGDP1KG	q1	eas-sas	pruneall	StandingHeight	FGr-LOCO	40
1.1331095374097	0.257168256679627	0.530014835227048	0.596101645041478	918	HGDP1KG	q1	eas-afr	pruneall	StandingHeight	no-FGr	0
-1.51655661873017	0.129378665175119	-1.78700297465912	0.0739370077917489	783	HGDP1KG	q1	eas-afr	pruneall	StandingHeight	no-FGr	40
-1.80191578524727	0.0715586562921822	-1.71124881302172	0.0870351911633465	890	HGDP1KG	q1	eas-afr	pruneall	StandingHeight	FGr-LOCO	0
-1.43513594486925	0.151248362425323	-1.67626554066105	0.0936861914472106	783	HGDP1KG	q1	eas-afr	pruneall	StandingHeight	FGr-LOCO	40
-3.5994439179684	0.000318898397251844	-3.105366854569	0.00190043158945522	917	HGDP1KG	q1	eas-amr	pruneall	StandingHeight	no-FGr	0
-0.338202959638148	0.735210245668961	-0.266101767372046	0.790160833892995	782	HGDP1KG	q1	eas-amr	pruneall	StandingHeight	no-FGr	40
-1.36411370691604	0.172531781438491	-1.26951265435581	0.204258280136097	874	HGDP1KG	q1	eas-amr	pruneall	StandingHeight	FGr-LOCO	0
