H	varH	pvalH	M	L	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	nsnp
4.73463768322122e-06	3.27835079518351e-14	1.11664139478731e-118	1e+05	1830157	7.68633546285606e-06	8.66520748121312e-05	0.088703420887736	0.911296579112264	InUKBB	e5	England-NorthernIreland	pruneall
7.503799249415e-06	8.68005078481412e-14	1.35546411389757e-123	1e+05	1830157	8.63460348590412e-06	0.000137332530478477	0.0628736939152036	0.937126306084796	InUKBB	e5	England-RepublicOfIrelend	pruneall
7.72812288425108e-06	9.24317144551317e-14	1.14321405700634e-123	1e+05	1830157	8.65298480151277e-06	0.000141438041752725	0.0611786241825994	0.938821375817401	InUKBB	e5	England-Scotland	pruneall
3.26423342418066e-06	1.45147400766448e-14	5.49070186025809e-113	1e+05	1830157	6.79414623923419e-06	5.97411286356177e-05	0.113726445991238	0.886273554008762	InUKBB	e5	England-Wales	pruneall
1.57088557637141e-06	2.63846428083526e-15	8.31635435923957e-89	1e+05	1830157	6.48170822184828e-06	2.87499284195329e-05	0.225451282078482	0.774548717921518	InUKBB	e5	NorthernIreland-RepublicOfIrelend	pruneall
6.39345472390043e-07	2.00517210457175e-16	2.62533244491625e-11	1e+05	1830157	6.19551598333592e-06	1.17011301415249e-05	0.529480136397193	0.470519863602807	InUKBB	e5	NorthernIreland-Scotland	pruneall
2.92065345398651e-06	1.13764742474915e-14	4.52374057332654e-110	1e+05	1830157	6.81750414786862e-06	5.34530197510203e-05	0.127541983214868	0.872458016785132	InUKBB	e5	NorthernIreland-Wales	pruneall
3.3293618449078e-06	1.5157531256366e-14	1.96182453212221e-113	1e+05	1830157	7.1334471100428e-06	6.09330916036066e-05	0.117070165361847	0.882929834638153	InUKBB	e5	RepublicOfIrelend-Scotland	pruneall
5.46485600271678e-06	4.45935057310238e-14	2.71863715314222e-120	1e+05	1830157	7.68319919908876e-06	0.000100016335539907	0.0768194431201007	0.923180556879899	InUKBB	e5	RepublicOfIrelend-Wales	pruneall
3.78462347746834e-06	2.02378807436209e-14	5.36910026631755e-115	1e+05	1830157	6.84427420366618e-06	6.9265168455766e-05	0.0988126407003119	0.901187359299688	InUKBB	e5	Scotland-Wales	pruneall
4.86771761888713e-06	3.48042682993798e-14	4.96867806959072e-119	1e+05	1832116	7.67344612936334e-06	8.91830278064023e-05	0.0860415520542853	0.913958447945715	InUKBB	e10	England-NorthernIreland	pruneall
7.66319532674604e-06	9.07262739196334e-14	9.60257210224483e-124	1e+05	1832116	8.61969831977151e-06	0.000140399878427486	0.0613939158374943	0.938606084162506	InUKBB	e10	England-RepublicOfIrelend	pruneall
7.86991763915952e-06	9.60149770075289e-14	8.10819064732973e-124	1e+05	1832116	8.6318568718048e-06	0.000144187304728601	0.059865581703273	0.940134418296727	InUKBB	e10	England-Scotland	pruneall
3.24532319550985e-06	1.43368258980855e-14	7.45101961684472e-113	1e+05	1832116	6.78387071045249e-06	5.9458615196353e-05	0.114093991056633	0.885906008943367	InUKBB	e10	England-Wales	pruneall
1.58146464085697e-06	2.68572194435759e-15	3.79825379730039e-89	1e+05	1832116	6.47639640423181e-06	2.89745248354472e-05	0.223520366287721	0.776479633712279	InUKBB	e10	NorthernIreland-RepublicOfIrelend	pruneall
6.6120552542177e-07	2.25378964901365e-16	7.58554913612361e-15	1e+05	1832116	6.18847602375186e-06	1.21141601416308e-05	0.510846476470531	0.489153523529469	InUKBB	e10	NorthernIreland-Scotland	pruneall
2.96576014818685e-06	1.17868518334661e-14	2.32021880787173e-110	1e+05	1832116	6.80796497907654e-06	5.43366502478708e-05	0.125292320156289	0.874707679843711	InUKBB	e10	NorthernIreland-Wales	pruneall
3.39260396613321e-06	1.58156761952883e-14	9.45553714105197e-114	1e+05	1832116	7.12695016846903e-06	6.21569937980383e-05	0.114660470736826	0.885339529263174	InUKBB	e10	RepublicOfIrelend-Scotland	pruneall
5.55534077410483e-06	4.62023767631631e-14	1.93532207992335e-120	1e+05	1832116	7.67191770055025e-06	0.000101781193882052	0.0753765740794981	0.924623425920502	InUKBB	e10	RepublicOfIrelend-Wales	pruneall
3.78641549021345e-06	2.02710784971124e-14	5.61413254590373e-115	1e+05	1832116	6.8335485360025e-06	6.937214201581e-05	0.0985056585746642	0.901494341425336	InUKBB	e10	Scotland-Wales	pruneall
5.10430976409131e-06	3.8574411213798e-14	1.38433285224228e-119	1e+05	1839784	7.65815363518915e-06	9.39091113551357e-05	0.081548568873454	0.918451431126546	InUKBB	e50	England-NorthernIreland	pruneall
7.84400154644183e-06	9.5346666459027e-14	7.01251356602869e-124	1e+05	1839784	8.59170462547137e-06	0.000144313971670918	0.0595348082101379	0.940465191789862	InUKBB	e50	England-RepublicOfIrelend	pruneall
8.05502192241383e-06	1.00894270882611e-13	6.20536615319307e-124	1e+05	1839784	8.61408061218892e-06	0.000148196325387921	0.0581261417220741	0.941873858277926	InUKBB	e50	England-Scotland	pruneall
3.35147518400922e-06	1.54342364404747e-14	2.07758948512355e-113	1e+05	1839784	6.76066476673194e-06	6.16604537744244e-05	0.109643448156655	0.890356551843345	InUKBB	e50	England-Wales	pruneall
1.55809378051138e-06	2.59802150086606e-15	1.85751179784887e-88	1e+05	1839784	6.44938666239195e-06	2.8665815575132e-05	0.224985284144048	0.775014715855952	InUKBB	e50	NorthernIreland-RepublicOfIrelend	pruneall
7.18342079255528e-07	2.97845817668158e-16	2.06475640402854e-24	1e+05	1839784	6.16833542443725e-06	1.32160604331772e-05	0.466730267739429	0.533269732260571	InUKBB	e50	NorthernIreland-Scotland	pruneall
3.01391718724544e-06	1.22428965263602e-14	1.02144254196938e-110	1e+05	1839784	6.79171779860202e-06	5.54500604064684e-05	0.122483505857637	0.877516494142363	InUKBB	e50	NorthernIreland-Wales	pruneall
3.4481914272913e-06	1.64215675403739e-14	4.78542621599955e-114	1e+05	1839784	7.10082616344738e-06	6.34398396032631e-05	0.111930077501049	0.888069922498951	InUKBB	e50	RepublicOfIrelend-Scotland	pruneall
5.58463359860927e-06	4.67711447861508e-14	1.76990519615869e-120	1e+05	1839784	7.6458325585838e-06	0.000102746111174308	0.0744148121150077	0.925585187884992	InUKBB	e50	RepublicOfIrelend-Wales	pruneall
3.75793202073313e-06	1.99683892985222e-14	7.65647564157533e-115	1e+05	1839784	6.81506286669737e-06	6.91384482741875e-05	0.0985712441747372	0.901428755825263	InUKBB	e50	Scotland-Wales	pruneall
5.86345798666564e-06	5.20919160842315e-14	2.72058350887738e-121	1e+05	1904490	7.58111718944993e-06	0.000111669970440824	0.0678885931421225	0.932111406857878	InUKBB	e200	England-NorthernIreland	pruneall
8.66795231093978e-06	1.17915220890392e-13	1.31295079586953e-124	1e+05	1904490	8.47436932526202e-06	0.00016508176242524	0.0513343763766743	0.948665623623326	InUKBB	e200	England-RepublicOfIrelend	pruneall
8.56775955329743e-06	1.1518120855292e-13	1.89415885442402e-124	1e+05	1904490	8.50607948839716e-06	0.000163173584297291	0.0521290227522346	0.947870977247765	InUKBB	e200	England-Scotland	pruneall
3.55815338626927e-06	1.77971721469691e-14	9.94163780147662e-115	1e+05	1904490	6.68753816306489e-06	6.77652819159298e-05	0.098686790255835	0.901313209744165	InUKBB	e200	England-Wales	pruneall
1.56313655172141e-06	2.68051489059444e-15	1.00967486585784e-89	1e+05	1904490	6.37431324632436e-06	2.97700457516137e-05	0.214118355729394	0.785881644270606	InUKBB	e200	NorthernIreland-RepublicOfIrelend	pruneall
9.33115875961908e-07	6.88966352245176e-16	8.53557621791724e-55	1e+05	1904490	6.11602256276525e-06	1.77712575963703e-05	0.344152490593261	0.655847509406739	InUKBB	e200	NorthernIreland-Scotland	pruneall
3.15237971500588e-06	1.36732863016574e-14	4.22030548008286e-112	1e+05	1904490	6.72647050277247e-06	6.00372937596753e-05	0.112038202949287	0.887961797050713	InUKBB	e200	NorthernIreland-Wales	pruneall
3.85086040317575e-06	2.11358507509053e-14	4.00737908828076e-116	1e+05	1904490	7.0160321743592e-06	7.33399076743308e-05	0.0956645896735269	0.904335410326473	InUKBB	e200	RepublicOfIrelend-Scotland	pruneall
5.8835396257378e-06	5.25450027737997e-14	3.72862657206658e-121	1e+05	1904490	7.54995320543631e-06	0.000112052426671719	0.0673787567988642	0.932621243201136	InUKBB	e200	RepublicOfIrelend-Wales	pruneall
