PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.405094274280053	0.164101371054483	0.388579477194815	0.421348886315906	0.164101371054483	0.0851768975543851	0.000586356635663566	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
2	0.0561181652538175	0.00314924847145477	0.0365583064629424	0.0756350427621775	0.167250619525937	0.0851768975543851	0.000515991599159916	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
3	0.0792975039371777	0.00628809413066672	0.0597903623061584	0.0987441022387899	0.173538713656604	0.0851768975543851	0.000388008800880088	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
4	0.734592195851418	0.539625694205807	0.725437010334369	0.743487489513977	0.713164407862411	0.0851768975543851	0.00032035503550355	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
5	0.223865547711034	0.0501157834519613	0.205165699746279	0.242402010919226	0.763280191314373	0.0851768975543851	0.000293103310331033	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
6	0.0987329068661702	0.00974818689824384	0.079286269423585	0.118104424506369	0.773028378212617	0.0851768975543851	0.00025950295029503	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
7	0.0652282833530462	0.00425472894918528	0.0456866227350047	0.0847200405692173	0.777283107161802	0.0851768975543851	0.000246301630163016	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
8	-0.0140776176969823	0.00019817932002239	-0.0336683978375988	0.00552397649340119	0.777481286481824	0.0851768975543851	0.00023031303130313	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
9	-0.0414842148864066	0.00172094008474156	-0.0610346580038739	-0.0219019532204258	0.779202226566566	0.0851768975543851	0.000222490249024903	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
10	0.0225938044845043	0.000510480001084006	0.00299506081555692	0.0421751976158132	0.77971270656765	0.0851768975543851	0.000218933893389339	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
11	0.0340355268353539	0.0011584170869601	0.014445093136203	0.0535998404531369	0.78087112365461	0.0851768975543851	0.000215836583658366	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
12	0.0180494886610193	0.000325784040924263	-0.00155113008632344	0.0376362440423748	0.781196907695534	0.0851768975543851	0.000213668366836684	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
13	0.00823270209727152	6.77773838224189e-05	-0.0113692024568428	0.027828281685082	0.781264685079357	0.0851768975543851	0.000212622262226223	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
14	-0.00590221709662261	3.48361666556642e-05	-0.0254993372367797	0.0136994377094513	0.781299521246012	0.0851768975543851	0.000208007800780078	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
15	0.0106329740848744	0.000113060137889611	-0.00896896511269096	0.0302267446207349	0.781412581383902	0.0851768975543851	0.000203662366236624	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
16	-0.00721919950402739	5.21168414789493e-05	-0.0268154752018032	0.0123826225997664	0.781464698225381	0.0851768975543851	0.000202948294829483	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
17	-0.00070124031695239	4.91737982119489e-07	-0.0203010312944108	0.0188990894410501	0.781465189963363	0.0851768975543851	0.000201165116511651	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
