PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.0610966527878763	0.00373280098188231	0.0549194854876742	0.0672691435831502	0.00373280098188231	0.992379390248046	0.000249531495314953	SDS	e5	Han	even	odd	pruneall
2	0.101638506393819	0.0103303859819664	0.0955007033052805	0.107768581310571	0.0140631869638487	0.992379390248046	0.000108156081560816	SDS	e5	Han	even	odd	pruneall
3	0.0346348455129515	0.00119957252370602	0.0284429873135658	0.0408240459259131	0.0152627594875547	0.992379390248046	9.5060150601506e-05	SDS	e5	Han	even	odd	pruneall
4	-0.0205019545834966	0.000420330141743758	-0.0266965261740427	-0.0143058084998096	0.0156830896292985	0.992379390248046	8.80475804758048e-05	SDS	e5	Han	even	odd	pruneall
5	-0.0205126297260422	0.00042076797827771	-0.0267071981934317	-0.0143164859463804	0.0161038576075762	0.992379390248046	7.74474744747448e-05	SDS	e5	Han	even	odd	pruneall
6	0.00415531885627537	1.72666747973177e-05	-0.00204269768055275	0.0103530161474887	0.0161211242823735	0.992379390248046	6.75611756117561e-05	SDS	e5	Han	even	odd	pruneall
7	-0.00466459326717986	2.17584303482197e-05	-0.0108622431572136	0.00153341499348883	0.0161428827127217	0.992379390248046	6.7029570295703e-05	SDS	e5	Han	even	odd	pruneall
8	0.00103370531571029	1.0685466797277e-06	-0.00516429169936353	0.00723162291179224	0.0161439512594015	0.992379390248046	6.64731647316473e-05	SDS	e5	Han	even	odd	pruneall
9	-0.0070961285058185	5.03550397710899e-05	-0.0132935077648991	-0.000898204082087662	0.0161943062991725	0.992379390248046	6.6169861698617e-05	SDS	e5	Han	even	odd	pruneall
10	0.000397904282589807	1.58327818103309e-07	-0.00580007394966888	0.0065958519440608	0.0161944646269906	0.992379390248046	6.58151581515815e-05	SDS	e5	Han	even	odd	pruneall
11	-0.000193801034523012	3.75588409821896e-08	-0.00639175728506152	0.00600417010565418	0.0161945021858316	0.992379390248046	6.56061560615606e-05	SDS	e5	Han	even	odd	pruneall
12	0.000471275277134173	2.22100386837891e-07	-0.00572670537840693	0.00666921972483295	0.0161947242862185	0.992379390248046	6.54754547545475e-05	SDS	e5	Han	even	odd	pruneall
13	-0.0013419078863599	1.8007167754749e-06	-0.00753980910517591	0.00485609643040082	0.0161965250029939	0.992379390248046	6.54161541615416e-05	SDS	e5	Han	even	odd	pruneall
14	0.00661675415847012	4.37814355936316e-05	0.000418807405793608	0.0128141925713983	0.0162403064385876	0.992379390248046	6.52835528355284e-05	SDS	e5	Han	even	odd	pruneall
15	0.00170409551651461	2.90394152940519e-06	-0.00449391587601403	0.00790197598459358	0.016243210380117	0.992379390248046	6.52141521415214e-05	SDS	e5	Han	even	odd	pruneall
16	0.00635345864930312	4.03664368084046e-05	0.000155500844557048	0.0125509283406142	0.0162835768169254	0.992379390248046	6.51429514295143e-05	SDS	e5	Han	even	odd	pruneall
17	0.00417037502371254	1.73920278384054e-05	-0.00202764131456074	0.0103680709596731	0.0163009688447638	0.992379390248046	6.50133501335013e-05	SDS	e5	Han	even	odd	pruneall
18	0.00459733459159042	2.11354853470339e-05	-0.00160067494636117	0.010794990926026	0.0163221043301108	0.992379390248046	6.49805498054981e-05	SDS	e5	Han	even	odd	pruneall
19	0.00312725258260605	9.77970871541623e-06	-0.00307077086505057	0.00932503576731715	0.0163318840388262	0.992379390248046	6.49117491174912e-05	SDS	e5	Han	even	odd	pruneall
20	0.000725126489245636	5.25808425405702e-07	-0.00547286203561828	0.00692305930302329	0.0163324098472516	0.992379390248046	6.48745487454875e-05	SDS	e5	Han	even	odd	pruneall
21	0.000341840058364143	1.16854625502401e-07	-0.00585613627724136	0.00653979013056727	0.0163325267018771	0.992379390248046	6.48285482854829e-05	SDS	e5	Han	even	odd	pruneall
22	-0.00239058079951445	5.71487655900714e-06	-0.00858841747535824	0.00380743954244005	0.0163382415784362	0.992379390248046	6.48014480144802e-05	SDS	e5	Han	even	odd	pruneall
23	0.000109577686755511	1.2007269434689e-08	-0.00608839037636412	0.00630753733107485	0.0163382535857056	0.992379390248046	6.47678476784768e-05	SDS	e5	Han	even	odd	pruneall
24	-0.000426460294281761	1.81868382598886e-07	-0.0066244067128831	0.00577151888905065	0.0163384354540882	0.992379390248046	6.46991469914699e-05	SDS	e5	Han	even	odd	pruneall
25	-0.00509377849007669	2.5946579305968e-05	-0.0112913859372437	0.00110422029946073	0.0163643820333942	0.992379390248046	6.46681466814668e-05	SDS	e5	Han	even	odd	pruneall
26	-0.00119174162085706	1.420248090883e-06	-0.00738965096628644	0.00500625928537149	0.016365802281485	0.992379390248046	6.46253462534625e-05	SDS	e5	Han	even	odd	pruneall
