D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
705129.511851961	9999	1047340400	1.21274072257839e-102	0.0705905937792939	9989001	9.53486694754947e-07	7.06612550343281e-05	0.0134937695953989	0.986506230404601	TestExample	complete	Afr-Eur	1000
2332666.55373693	9999	9668748658	1.16719628848522e-123	0.0738025891718224	31606839	9.38337523014339e-08	2.33478611742558e-05	0.00401894424508994	0.99598105575491	TestExample	complete	Afr-Eur	3162
6992685.41383111	9999	84472311143	7.60053977656246e-128	0.0699408416072241	99980001	1.01814226840696e-08	6.99478363908632e-06	0.0014555736402162	0.998544426359784	TestExample	complete	Afr-Eur	10000
22341038.1598206	9999	860716482945	2.56792851942481e-128	0.0706573666658318	316188378	1.26254699958437e-09	2.23443699531439e-06	0.000565040322117799	0.999434959677882	TestExample	complete	Afr-Eur	31623
68916058.7618796	9999	8189977603665	2.13766284574929e-128	0.0689236402933883	999890001	1.99676967010447e-10	6.89243295366837e-07	0.000289704620056076	0.999710295379944	TestExample	complete	Afr-Eur	100000
217992571.32911	9999	81945199979413	2.01563058704404e-128	0.0689425830786799	3161943774	4.32501741039479e-11	2.18016807848437e-07	0.000198379998912813	0.999801620001087	TestExample	complete	Afr-Eur	316228
691198170.56036	9999	823843410757466	1.97837754751938e-128	0.0691270062370339	9998960004	1.17244550199318e-11	6.91272827461647e-08	0.000169606768184192	0.999830393231816	TestExample	complete	Afr-Eur	1000000
1460249779.7752	9999	3676999990160560	1.96940060678743e-128	0.069180383456591	21107859003	5.30893210155056e-12	3.27714267033971e-08	0.000161998809194359	0.999838001190806	TestExample	complete	Afr-Eur	pruneall
608813.573368558	9999	813298197	3.45690779257048e-98	0.0609483944759399	9989001	9.64914160760189e-07	6.10094038798196e-05	0.0158158267315797	0.98418417326842	TestExample	half	Afr-Eur	1000
1817963.01684232	9999	5810568001	1.17198831627619e-124	0.057518026932156	31606839	9.05795648190914e-08	1.81961489820171e-05	0.00497795247272429	0.995022047527276	TestExample	half	Afr-Eur	3162
5727664.64546219	9999	56673282357	9.10599280389331e-128	0.0572881035024414	99980001	1.00908477211961e-08	5.72938328857299e-06	0.00176124500892126	0.998238754991079	TestExample	half	Afr-Eur	10000
18372522.0163266	9999	582089528183	2.71403590320798e-128	0.0581062534067164	316188378	1.21570867008101e-09	1.83752619716389e-06	0.000661600728173229	0.999338399271827	TestExample	half	Afr-Eur	31623
58523596.5462717	9999	5906141537638	2.16987213839878e-128	0.0585300347915688	999890001	1.78736588653478e-10	5.85306200977696e-07	0.000305372791805239	0.999694627208195	TestExample	half	Afr-Eur	100000
184431595.827079	9999	58655776093444	2.02543518309478e-128	0.0583285500974501	3161943774	3.61102714652622e-11	1.84452101020947e-07	0.00019577045349655	0.999804229546504	TestExample	half	Afr-Eur	316228
584455537.157631	9999	589036087827806	1.98066835095109e-128	0.0584515157586802	9998980002	9.33780314496379e-12	5.84516326619456e-08	0.000159752648809125	0.999840247351191	TestExample	half	Afr-Eur	1000000
1114265832.42926	9999	2140998853684870	1.9711457732234e-128	0.0584828200670002	19052874522	4.66375307748157e-12	3.06919418996181e-08	0.000151953665647321	0.999848046334353	TestExample	half	Afr-Eur	pruneall
461099.703795302	9999	469628253	1.55141691483069e-96	0.0461607425802943	9989001	9.49386168228448e-07	4.62069495298239e-05	0.0205463935163189	0.979453606483681	TestExample	quarter	Afr-Eur	1000
1416898.64970532	9999	3573620504	9.00155214982342e-123	0.0448288628200157	31606839	9.69444268654546e-08	1.41818610629597e-05	0.00683580430206404	0.993164195697936	TestExample	quarter	Afr-Eur	3162
4428500.26184035	9999	33820649505	7.41402590030423e-128	0.0442938609476544	99980001	1.01770413660293e-08	4.42982907767322e-06	0.00229738917407052	0.99770261082593	TestExample	quarter	Afr-Eur	10000
13658242.4083366	9999	321689903139	3.01778840851554e-128	0.0431965352260247	316188378	1.23421255299849e-09	1.3660279307452e-06	0.000903504624773814	0.999096495375226	TestExample	quarter	Afr-Eur	31623
44272413.2501054	9999	3379936432618	2.24075945450448e-128	0.0442772837070359	999890001	1.72591305403578e-10	4.42777264843008e-07	0.000389792609303851	0.999610207390696	TestExample	quarter	Afr-Eur	100000
