D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	gammaF	dataset	gwas	contrasts	L
903354.408161969	9999	1763604840	1.01511972872112e-100	0.0903444752637233	9999000	9.38902620366424e-07	9.03444752637232e-05	0.0103924741122873	0.989607525887713	0.999891996481825	TestExample	complete	Afr-Eur	1000
2657895.43148544	9999	12376844270	1.62878151447762e-125	0.0840658206075334	31616838	9.39948436900397e-08	2.65862810270504e-05	0.0035354641589173	0.996464535841083	0.999987500493181	TestExample	complete	Afr-Eur	3162
7982897.6627563	9999	110280576652	1.13080840957771e-127	0.0798369603235953	99990000	9.664639418952e-09	7.98369603235953e-06	0.00121054701729365	0.998789452982706	0.999998534575919	TestExample	complete	Afr-Eur	10000
25606700.3644719	9999	1130739812562	2.4875807816754e-128	0.0809830227701387	316198377	1.1360437336064e-09	2.56088994624605e-06	0.000443612867968694	0.999556387132031	0.999999803207623	TestExample	complete	Afr-Eur	31623
81157895.4897037	9999	11358038321206	2.11055909103109e-128	0.0811660120909128	999900000	1.58377634753993e-10	8.11660120909128e-07	0.000195128023016083	0.999804871976984	0.999999961925054	TestExample	complete	Afr-Eur	100000
256809957.668196	9999	113726944412166	2.00688648523028e-128	0.0812187578013007	3161953773	3.07604079038585e-11	2.56836885532547e-07	0.000119766317209763	0.99988023368279	0.999999985656029	TestExample	complete	Afr-Eur	316228
812675270.156058	9999	1138866186799540	1.9747021090517e-128	0.0812758984087591	9998970003	7.72543450823213e-12	8.12761422371859e-08	9.50516879318314e-05	0.999904948312068	0.999999990965177	TestExample	complete	Afr-Eur	1000000
662130.577111372	9999	939321558	9.10191695040246e-101	0.0662196796791051	9999000	9.11546840742466e-07	6.6219679679105e-05	0.0137654975856082	0.986234502414392	0.999810511076221	TestExample	half	Afr-Eur	1000
2190243.33348197	9999	8405017465	2.6066813236111e-125	0.0692745850638819	31616838	9.44991688780658e-08	2.19084709246938e-05	0.00431336213297991	0.99568663786702	0.99998139490711	TestExample	half	Afr-Eur	3162
6904728.60530743	9999	82503486283	1.2671540757894e-127	0.0690541914722215	99990000	9.81319934836297e-09	6.90541914722215e-06	0.00142108670583893	0.998578913294161	0.999997980512575	TestExample	half	Afr-Eur	10000
21603905.8359291	9999	804848685168	2.58434721304996e-128	0.0683238985629869	316198377	1.12797988228824e-09	2.16057611747737e-06	0.000522073660429624	0.99947792633957	0.999999727439093	TestExample	half	Afr-Eur	31623
68811470.6817968	9999	8165173923356	2.14067020203393e-128	0.0688183525170485	999900000	1.52199791273089e-10	6.88183525170485e-07	0.00022116163160893	0.999778838368391	0.999999951087533	TestExample	half	Afr-Eur	100000
217652847.79572	9999	81689753130263	2.01402295378254e-128	0.0688353593982909	3161933775	2.87576503165667e-11	2.17678423269162e-07	0.000132110706631716	0.999867889293368	0.999999982546761	TestExample	half	Afr-Eur	316228
689531453.391395	9999	819871871691310	1.97618449514482e-128	0.0689604551060045	9998940006	7.13030189403606e-12	6.89608688712177e-08	0.000103396346518656	0.999896603653481	0.999999989309195	TestExample	half	Afr-Eur	1000000
556006.673057061	9999	660956345	2.13093781327101e-100	0.055606227928499	9999000	9.12987903435815e-07	5.56062279284991e-05	0.0164188066237792	0.983581193376221	0.999730422789051	TestExample	quarter	Afr-Eur	1000
1703833.15218817	9999	5077461695	3.33213123615795e-125	0.0538900554251556	31616838	9.95244480953809e-08	1.70430282812004e-05	0.00583959883497718	0.994160401165023	0.999965899085447	TestExample	quarter	Afr-Eur	3162
5228346.34655782	9999	47222845155	1.00301683435354e-127	0.0522886923348117	99990000	1.00705537913992e-08	5.22886923348117e-06	0.00192595250363426	0.998074047496366	0.999996290706954	TestExample	quarter	Afr-Eur	10000
16697360.8503462	9999	480779996678	2.79862306600304e-128	0.0528065988471098	316198377	1.1459260311534e-09	1.66987948161496e-06	0.000686232775340865	0.999313767224659	0.999999529084578	TestExample	quarter	Afr-Eur	31623
52172495.3963136	9999	4693777694495	2.19252073721889e-128	0.0521777131676303	999900000	1.5672239828788e-10	5.21777131676304e-07	0.000300362719585622	0.999699637280414	0.999999909782237	TestExample	quarter	Afr-Eur	100000
165451092.568084	9999	47203971361697	2.03157285842953e-128	0.0523257541543128	3161943774	2.90716261461716e-11	1.65469487500436e-07	0.000175691763994223	0.999824308236006	0.999999969132404	TestExample	quarter	Afr-Eur	316228
524354542.382198	9999	474118926662215	1.98064009854554e-128	0.0524409080716829	9998960004	7.20239531628815e-12	5.24411178361542e-08	0.000137342520782855	0.999862657479217	0.999999981137032	TestExample	quarter	Afr-Eur	1000000
764962.106445599	9999	1295616416	5.63039261888011e-98	0.0765038610306629	9999000	9.66628196397993e-07	7.65038610306629e-05	0.0126350249958047	0.987364975004195	0.999840356143355	TestExample	threequarter	Afr-Eur	1000
2559224.48916775	9999	11375603252	1.48539559920331e-126	0.0809449853640566	31616838	9.21652463734844e-08	2.5599299609126e-05	0.00360030343723263	0.996399696562767	0.99998703781516	TestExample	threequarter	Afr-Eur	3162
7719453.07672003	9999	102766783949	4.27439899750238e-128	0.0772022509922995	99990000	9.95592667335138e-09	7.72022509922995e-06	0.00128959020564626	0.998710409794354	0.999998336957102	TestExample	threequarter	Afr-Eur	10000
24626643.1250751	9999	1045827340727	2.50027365838119e-128	0.0778859845540404	316188378	1.10977092840182e-09	2.46303157782684e-06	0.000450571132904834	0.999549428867095	0.999999796985654	TestExample	threequarter	Afr-Eur	31623
77189976.3601579	9999	10274600463062	2.12025162529522e-128	0.0771976961297709	999900000	1.55310835041551e-10	7.71976961297709e-07	0.000201185842101389	0.999798814157899	0.999999959524257	TestExample	threequarter	Afr-Eur	100000
244870643.615619	9999	103397879295617	2.0071316636194e-128	0.077442583556463	3161963772	2.9398830035073e-11	2.44894770723854e-07	0.000120046785597653	0.999879953214402	0.999999985588769	TestExample	threequarter	Afr-Eur	316228
772617286.194843	9999	1029359636891810	1.97501558968306e-128	0.077269687374103	9998970003	7.26854689444383e-12	7.72699191838605e-08	9.40669664368178e-05	0.999905933033563	0.999999991151406	TestExample	threequarter	Afr-Eur	1000000
10239.1196423228	9999	219565	0.304170509402172	0.00102401436566885	9999000	9.84138078097866e-07	1.02401436566883e-06	0.961058859223216	0.0389411407767841	0.0763658691085709	TestExample	none	Afr-Eur	1000
10148.7998525298	9999	179659	0.361888276828153	0.000320993511512118	31616838	9.69791454275501e-08	1.01515974545262e-07	0.955309209826	0.0446907901740005	0.0873843136216244	TestExample	none	Afr-Eur	3162
10583.8091121561	9999	192438	0.0912468364518895	0.00010584867598916	99990000	1.07319924980473e-08	1.0584867598916e-08	1.01389955025478	-0.0138995502547818	-0.027992298006849	TestExample	none	Afr-Eur	10000
10903.1185507433	9999	204200	0.0227086966062791	3.44818928363547e-05	316198377	1.15505865785968e-09	1.09040549082487e-09	1.05929277464103	-0.0592927746410281	-0.122101182406688	TestExample	none	Afr-Eur	31623
13726.9631335773	9999	323667	2.82483727665521e-11	1.37284732519066e-05	999890001	1.43526796955013e-10	1.3728610538012e-10	1.04545756147437	-0.045457561474368	-0.092981512843932	TestExample	none	Afr-Eur	100000
21235.3034349009	9999	774466	1.23754275080125e-37	6.71590165818708e-06	3161943774	2.35752815610081e-11	2.12376643861892e-11	1.11006940934329	-0.110069409343291	-0.232254093559763	TestExample	none	Afr-Eur	316228
46937.2733080781	9999	3783933	1.04905042404717e-80	4.69422961009013e-06	9998930007	5.22455276766958e-12	4.69426246992742e-12	1.11296562583352	-0.112965625833521	-0.238692484287002	TestExample	none	Afr-Eur	1000000
