D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
5.98351337061926e-06	1.0000100001e-05	6.15322883061069e-14	1	5.98351337061926e-06	99999	1.21982127096982e-11	1.36222685986619e-11	0.895461179711022	0.104538820288978	adnaSel	e5	EuropeanNeolithic	pruneall
9.40083745296239e-06	1.0000100001e-05	1.52025355243926e-13	0.937846955986682	9.40083745296239e-06	99999	1.40271607175805e-11	2.14022640051962e-11	0.655405461505142	0.344594538494858	adnaSel	e5	BronzeAge	pruneall
5.7440831683464e-06	1.0000100001e-05	5.67087793700678e-14	1	5.7440831683464e-06	99999	1.15375875585099e-11	1.30771737147751e-11	0.882269197469962	0.117730802530038	adnaSel	e5	Historical	pruneall
6.12689223253042e-06	1.0000100001e-05	6.45213378276898e-14	1	6.12689223253042e-06	99999	1.22064986383436e-11	1.39341289424941e-11	0.876014474153325	0.123985525846675	adnaSel	e10	EuropeanNeolithic	pruneall
1.2528167899755e-05	1.0000100001e-05	2.70163758140101e-13	5.75783277187899e-07	1.2528167899755e-05	99999	1.39872054295794e-11	2.84922763944722e-11	0.490912176897631	0.509087823102369	adnaSel	e10	BronzeAge	pruneall
6.15083138484646e-06	1.0000100001e-05	6.50394000133858e-14	1	6.15083138484646e-06	99999	1.148278832842e-11	1.39885727326712e-11	0.820869187147392	0.179130812852608	adnaSel	e10	Historical	pruneall
6.81681621630352e-06	1.0000100001e-05	7.98978705278337e-14	1	6.81681621630352e-06	99999	1.21357862174266e-11	1.54528676333455e-11	0.785342015823581	0.214657984176419	adnaSel	e50	EuropeanNeolithic	pruneall
2.27730719065379e-05	1.0000100001e-05	8.93428643454356e-13	6.52515449831445e-42	2.27730719065379e-05	99999	1.38814360971737e-11	5.16236986021043e-11	0.268896581861879	0.731103418138121	adnaSel	e50	BronzeAge	pruneall
7.56774307021813e-06	1.0000100001e-05	9.8513378727551e-14	0.999999999999995	7.56774307021813e-06	99999	1.14102162998847e-11	1.71551246559295e-11	0.665119987684896	0.334880012315104	adnaSel	e50	Historical	pruneall
2.13721537079532e-05	1.0000100001e-05	7.8696630272405e-13	6.40094331106735e-38	2.13721537079532e-05	99999	1.12669399663779e-11	4.64277958859022e-11	0.242676606791043	0.757323393208957	adnaSel	e200	EuropeanNeolithic	pruneall
6.37231491161154e-05	1.0000100001e-05	6.9999966618077e-12	5.75908643838481e-92	6.37231491161154e-05	99999	1.29665421445165e-11	1.38428976358567e-10	0.0936692770950627	0.906330722904937	adnaSel	e200	BronzeAge	pruneall
1.42937242754617e-05	1.0000100001e-05	3.51870606066795e-13	2.27284459204669e-13	1.42937242754617e-05	99999	1.05895123641989e-11	3.10509704440103e-11	0.341036438242516	0.658963561757484	adnaSel	e200	Historical	pruneall
