PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	-0.0754015418356513	0.00568539251119347	-0.0815613891874405	-0.0692359343546534	0.00568539251119347	0.954206322325961	0.000249531495314953	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
2	0.00245690897504515	6.03640171165742e-06	-0.00374111192212044	0.00865474111022837	0.00569142891290512	0.954206322325961	0.000108156081560816	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
3	-0.0636284364670071	0.00404857792723596	-0.0697988740397546	-0.0574531301433131	0.00974000684014108	0.954206322325961	9.5060150601506e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
4	0.1204241528195	0.0145019765822943	0.114311509236344	0.126527678442636	0.0242419834224354	0.954206322325961	8.80475804758048e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
5	0.0220635835131367	0.000486801717441157	0.0158677894940218	0.0282576832230222	0.0247287851398766	0.954206322325961	7.74474744747448e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
6	0.000943826811124655	8.90809049397734e-07	-0.0052541678528675	0.00714174896142648	0.024729675948926	0.954206322325961	6.75611756117561e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
7	0.0104033310750041	0.000108229297456146	0.00420563832420012	0.0166002246294432	0.0248379052463821	0.954206322325961	6.7029570295703e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
8	-0.00617903835567935	3.81805150009566e-05	-0.0123765282942584	1.89262972869498e-05	0.0248760857613831	0.954206322325961	6.64731647316473e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
9	-0.00366203458377284	1.34104972927484e-05	-0.00985977472304286	0.00253598690406049	0.0248894962586758	0.954206322325961	6.6169861698617e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
10	0.00121013479824823	1.46442622993128e-06	-0.0049878665407427	0.00740804316330723	0.0248909606849057	0.954206322325961	6.58151581515815e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
11	-0.000620384313911334	3.84876696947236e-07	-0.00681832202478493	0.00557760106076907	0.0248913455616027	0.954206322325961	6.56061560615606e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
12	0.00300223881713906	9.01343791513655e-06	-0.00319578457741584	0.00920003155322456	0.0249003589995178	0.954206322325961	6.54754547545475e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
13	-4.37470089769977e-05	1.91380079443351e-09	-0.00624170924472232	0.00615421858782975	0.0249003609133186	0.954206322325961	6.54161541615416e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
14	-0.00127763816776069	1.63235928771889e-06	-0.00747554289890316	0.00492036472354068	0.0249019932726063	0.954206322325961	6.52835528355284e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
15	0.00291442408641494	8.49386775547553e-06	-0.00328359915500041	0.0091122234159468	0.0249104871403618	0.954206322325961	6.52141521415214e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
16	-0.000239785754454339	5.74972080392365e-08	-0.00643774011492873	0.0059581870286419	0.0249105446375699	0.954206322325961	6.51429514295143e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
17	-0.00136827812301536	1.87218502192243e-06	-0.00756617788589012	0.00482972676380541	0.0249124168225918	0.954206322325961	6.50133501335013e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
18	-0.00194382993815257	3.77847482845822e-06	-0.00814169577686645	0.00425418524350592	0.0249161952974202	0.954206322325961	6.49805498054981e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
19	0.000806096542375356	6.49791635629504e-07	-0.00539189432451404	0.00700402547729964	0.0249168450890559	0.954206322325961	6.49117491174912e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
20	0.00222968181157848	4.97148098088391e-06	-0.00396833695694149	0.00842752927558076	0.0249218165700368	0.954206322325961	6.48745487454875e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
21	-0.00166975812291858	2.78809218905257e-06	-0.00786764062805136	0.00452825266856115	0.0249246046622258	0.954206322325961	6.48285482854829e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
22	-0.000823948193661981	6.78890625838842e-07	-0.00702187626247323	0.00537404317864533	0.0249252835528516	0.954206322325961	6.48014480144802e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
23	0.000837958404145293	7.02174287077726e-07	-0.00536003336205398	0.00703588579045307	0.0249259857271387	0.954206322325961	6.47678476784768e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
24	0.00328474222697168	1.07895314976509e-05	-0.00291328101182001	0.00948251310333821	0.0249367752586364	0.954206322325961	6.46991469914699e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
25	0.000756614297408472	5.72465195042915e-07	-0.00544137514788408	0.00695454561242576	0.0249373477238314	0.954206322325961	6.46681466814668e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
26	0.000699082751435206	4.88716693354218e-07	-0.00549890500285076	0.00689701679555958	0.0249378364405248	0.954206322325961	6.46253462534625e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
27	-0.00124624882804796	1.55313614141091e-06	-0.00744415525600186	0.00495175334844866	0.0249393895766662	0.954206322325961	6.45456454564546e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
28	0.000297841821447729	8.87097506033011e-08	-0.00590013299841094	0.00649579375826613	0.0249394782864168	0.954206322325961	6.45032450324503e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
29	-0.00421629416069111	1.7777136449478e-05	-0.0104139859459747	0.00198172155466401	0.0249572554228663	0.954206322325961	6.44789447894479e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
30	0.00327134427003801	1.07016933331105e-05	-0.00292667899848787	0.00946911620546407	0.0249679571161994	0.954206322325961	6.43520435204352e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
31	0.00779583858469901	6.07750992386818e-05	0.00159795186692154	0.0139931263883889	0.0250287322154381	0.954206322325961	6.43306433064331e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
32	-0.00960373847841915	9.22317927618686e-05	-0.0158007618879364	-0.00340597728639552	0.0251209640081999	0.954206322325961	6.42972429724297e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
33	-0.000133138330572195	1.7725815067551e-08	-0.0063310970343732	0.00606483060218182	0.025120981734015	0.954206322325961	6.42323423234232e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
34	-0.0064712475112043	4.18770443512678e-05	-0.0126687033159117	-0.000273294544517316	0.0251628587783663	0.954206322325961	6.42146421464215e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
35	-0.00183211808494569	3.35665667718507e-06	-0.0080299908293106	0.00436589541968827	0.0251662154350434	0.954206322325961	6.41844418444184e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
36	-0.000109093046605663	1.19012928177053e-08	-0.00630705271019915	0.00608887499855345	0.0251662273363363	0.954206322325961	6.41523415234152e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
37	-0.00124961672535942	1.56154196029799e-06	-0.00744752297184001	0.00494838552841659	0.0251677888782966	0.954206322325961	6.40966409664097e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
38	-0.00301960910267176	9.11803913293812e-06	-0.00921740052321044	0.00317841431085062	0.0251769069174295	0.954206322325961	6.4050440504405e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
39	0.000357508448403751	1.27812290680057e-07	-0.00584046842118632	0.0065554578507971	0.0251770347297202	0.954206322325961	6.40362403624036e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
40	0.00417934905210783	1.74669584993546e-05	-0.00201866716648286	0.0103770441789516	0.0251945016882195	0.954206322325961	6.39827398273983e-05	adnaSel	e5	EuropeanNeolithic	even	odd	pruneall
1	-0.217301332417289	0.047219869070329	-0.223198686591366	-0.211388071401725	0.047219869070329	0.815898526300191	0.000249531495314953	adnaSel	e5	BronzeAge	even	odd	pruneall
2	-0.230525438033755	0.0531419775806547	-0.236385656889351	-0.224648449192546	0.100361846650984	0.815898526300191	0.000108156081560816	adnaSel	e5	BronzeAge	even	odd	pruneall
3	-0.00831094621546601	6.90718269963688e-05	-0.0145081628144286	-0.00211309113464967	0.10043091847798	0.815898526300191	9.5060150601506e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
4	-0.0945590977435298	0.00894142296607043	-0.100698045177934	-0.0884129503359634	0.10937234144405	0.815898526300191	8.80475804758048e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
5	0.0456053897849917	0.00207985157744103	0.0394185679313725	0.0517887150858789	0.111452193021491	0.815898526300191	7.74474744747448e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
6	0.00162182867016764	2.63032823537773e-06	-0.0045761812579065	0.00781971399426147	0.111454823349727	0.815898526300191	6.75611756117561e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
7	0.0120275690296556	0.000144662416763131	0.00583003971021791	0.018224174410487	0.11159948576649	0.815898526300191	6.7029570295703e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
8	0.000364735526444222	1.33032004250544e-07	-0.00583324158842184	0.00656268461886088	0.111599618798494	0.815898526300191	6.64731647316473e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
9	0.00334053651466725	1.11591842058252e-05	-0.00285748657637174	0.0095383029567742	0.1116107779827	0.815898526300191	6.6169861698617e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
10	-0.00129263327261104	1.67090077746114e-06	-0.00749053718885347	0.00490536995585119	0.111612448883477	0.815898526300191	6.58151581515815e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
11	-0.00037552855323069	1.41021694291535e-07	-0.00657347718151811	0.00582244892672879	0.111612589905172	0.815898526300191	6.56061560615606e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
12	-0.00298654139122236	8.9194294814844e-06	-0.00918433531294294	0.00321148198297445	0.111621509334653	0.815898526300191	6.54754547545475e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
13	0.00643665948854946	4.14305853715338e-05	0.000238705083356568	0.0126341193888116	0.111662939920025	0.815898526300191	6.54161541615416e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
14	-0.00645435141700707	4.16586522142211e-05	-0.012651809224227	-0.000256397745763515	0.111704598572239	0.815898526300191	6.52835528355284e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
15	0.00604016844785051	3.64836348784088e-05	-0.000157801387857241	0.0122376742372838	0.111741082207117	0.815898526300191	6.52141521415214e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
16	-0.00709564847399685	5.03482272665338e-05	-0.013293027793737	-0.000897724026481492	0.111791430434384	0.815898526300191	6.51429514295143e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
17	0.000357619507754922	1.27891712326873e-07	-0.00584035736560924	0.00655556890538972	0.111791558326096	0.815898526300191	6.50133501335013e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
18	-0.000417871422304764	1.74616525579007e-07	-0.00661581821579038	0.00578010747603341	0.111791732942622	0.815898526300191	6.49805498054981e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
19	-0.00258496657123845	6.68205217442027e-06	-0.0087827897856495	0.0036130552435702	0.111798414994796	0.815898526300191	6.49117491174912e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
20	0.00128999709237076	1.66409249832502e-06	-0.0049080060770196	0.00748790115207676	0.111800079087295	0.815898526300191	6.48745487454875e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
21	0.00299390348268928	8.963458063659e-06	-0.00320411990143582	0.00919169684872741	0.111809042545358	0.815898526300191	6.48285482854829e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
22	0.00117022434736985	1.36942502317719e-06	-0.00502777604726876	0.00736813483436404	0.111810411970381	0.815898526300191	6.48014480144802e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
23	0.00266662859594787	7.11090806872692e-06	-0.00353139369789145	0.00886444601546572	0.11181752287845	0.815898526300191	6.47678476784768e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
24	5.39472618255334e-05	2.91030705847266e-09	-0.00614401872064537	0.00625190909955455	0.111817525788757	0.815898526300191	6.46991469914699e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
25	0.00375652455258336	1.41114767141616e-05	-0.00244149622043106	0.00995425671771575	0.111831637265471	0.815898526300191	6.46681466814668e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
26	-0.000991174380430796	9.82426652422372e-07	-0.00718909414407158	0.00520682153458083	0.111832619692124	0.815898526300191	6.46253462534625e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
27	-0.00662755933038782	4.39245426778106e-05	-0.012824996441354	-0.000429613049626336	0.111876544234802	0.815898526300191	6.45456454564546e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
28	-0.000202689940495888	4.10832119782267e-08	-0.00640064582772619	0.00599528151930334	0.111876585318014	0.815898526300191	6.45032450324503e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
29	-0.00139447551482215	1.94456196143851e-06	-0.00759237382276382	0.00480352992978687	0.111878529879975	0.815898526300191	6.44789447894479e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
30	-0.00360536932491502	1.29986879690382e-05	-0.00980311419316223	0.00259265253850369	0.111891528567944	0.815898526300191	6.43520435204352e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
31	-0.00400877918718933	1.60703105716424e-05	-0.0102064895221444	0.00218923913537193	0.111907598878516	0.815898526300191	6.43306433064331e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
32	0.000755034264155788	5.70076740049272e-07	-0.00544295513524326	0.00695296565467256	0.111908168955256	0.815898526300191	6.42972429724297e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
33	0.000831107672486779	6.90739963266392e-07	-0.00536688390141066	0.00702903539283	0.111908859695219	0.815898526300191	6.42323423234232e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
34	-0.00404671878550998	1.63759329289993e-05	-0.010244425768932	0.00215129910025722	0.111925235628148	0.815898526300191	6.42146421464215e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
35	-0.00454143266748412	2.0624610673292e-05	-0.0107390943155052	0.00165657788940432	0.111945860238821	0.815898526300191	6.41844418444184e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
36	0.00839299915692105	7.04424348480775e-05	0.00219514941937225	0.0145902041098477	0.112016302673669	0.815898526300191	6.41523415234152e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
37	-0.00099757820308466	9.95162271269618e-07	-0.00719549764179301	0.00520041787899565	0.112017297835941	0.815898526300191	6.40966409664097e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
38	-0.00210004802481284	4.41020170652031e-06	-0.00829790394725054	0.00409796924258184	0.112021708037647	0.815898526300191	6.4050440504405e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
39	-0.00310897724921766	9.66573953615304e-06	-0.0093067618423005	0.00308904620276668	0.112031373777183	0.815898526300191	6.40362403624036e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
40	0.00157615530729243	2.48426555270611e-06	-0.0046218537715205	0.0077740432911604	0.112033858042736	0.815898526300191	6.39827398273983e-05	adnaSel	e5	BronzeAge	even	odd	pruneall
1	-0.0652281919324289	0.00425471702277378	-0.0713972912222545	-0.0590541025138241	0.00425471702277378	0.990201477975659	0.000249531495314953	adnaSel	e5	Historical	even	odd	pruneall
2	-0.110785259255974	0.0122733736684133	-0.116902952585288	-0.104659158810873	0.0165280906911871	0.990201477975659	0.000108156081560816	adnaSel	e5	Historical	even	odd	pruneall
3	-0.0151287563465417	0.000228879268593027	-0.021324720709226	-0.00893162991488851	0.0167569699597801	0.990201477975659	9.5060150601506e-05	adnaSel	e5	Historical	even	odd	pruneall
4	0.0227770204569346	0.000518792660895616	0.0165813973437486	0.0289708945305402	0.0172757626206758	0.990201477975659	8.80475804758048e-05	adnaSel	e5	Historical	even	odd	pruneall
5	0.0161094305322943	0.000259513752074817	0.00991245631999319	0.0223051673860641	0.0175352763727506	0.990201477975659	7.74474744747448e-05	adnaSel	e5	Historical	even	odd	pruneall
6	0.00054459098843893	2.96579344688891e-07	-0.00565339202190505	0.00674253215813451	0.0175355729520953	0.990201477975659	6.75611756117561e-05	adnaSel	e5	Historical	even	odd	pruneall
7	0.00917577759105599	8.41948944005252e-05	0.00297798302420383	0.0153728672467306	0.0176197678464958	0.990201477975659	6.7029570295703e-05	adnaSel	e5	Historical	even	odd	pruneall
8	0.00361877758394121	1.30955512020354e-05	-0.00257924419420059	0.00981652133680181	0.0176328633976978	0.990201477975659	6.64731647316473e-05	adnaSel	e5	Historical	even	odd	pruneall
9	-0.00115596430341838	1.33625347077755e-06	-0.00735387554379466	0.00504203574901452	0.0176341996511686	0.990201477975659	6.6169861698617e-05	adnaSel	e5	Historical	even	odd	pruneall
10	0.00517029098248701	2.67319088435864e-05	-0.00102770587876981	0.0113678906234202	0.0176609315600122	0.990201477975659	6.58151581515815e-05	adnaSel	e5	Historical	even	odd	pruneall
11	0.00214247024149598	4.59017873569584e-06	-0.00405554754006755	0.00834032341886826	0.0176655217387479	0.990201477975659	6.56061560615606e-05	adnaSel	e5	Historical	even	odd	pruneall
12	0.00517654519017	2.67966201058722e-05	-0.00102145151025873	0.011374144189806	0.0176923183588538	0.990201477975659	6.54754547545475e-05	adnaSel	e5	Historical	even	odd	pruneall
13	-0.000579156298862256	3.35422018511827e-07	-0.00677709590000486	0.00561882779856222	0.0176926537808723	0.990201477975659	6.54161541615416e-05	adnaSel	e5	Historical	even	odd	pruneall
14	-0.00183776930427685	3.37739601574221e-06	-0.008035641703017	0.00436024428890841	0.017696031176888	0.990201477975659	6.52835528355284e-05	adnaSel	e5	Historical	even	odd	pruneall
15	0.000419559401199843	1.76030091135171e-07	-0.00577841955322071	0.0066175061210813	0.0176962072069791	0.990201477975659	6.52141521415214e-05	adnaSel	e5	Historical	even	odd	pruneall
16	-0.00369291196226325	1.3637598761027e-05	-0.00989064950792175	0.00250510930415632	0.0177098448057402	0.990201477975659	6.51429514295143e-05	adnaSel	e5	Historical	even	odd	pruneall
17	0.00184920549337739	3.41956095673713e-06	-0.00434880827779506	0.00804707719147686	0.0177132643666969	0.990201477975659	6.50133501335013e-05	adnaSel	e5	Historical	even	odd	pruneall
18	-0.00852032058277667	7.25958628332877e-05	-0.0147175072993747	-0.0023224793016119	0.0177858602295302	0.990201477975659	6.49805498054981e-05	adnaSel	e5	Historical	even	odd	pruneall
19	-0.00182053459857783	3.31434622461896e-06	-0.00801840805014369	0.00437747872331236	0.0177891745757548	0.990201477975659	6.49117491174912e-05	adnaSel	e5	Historical	even	odd	pruneall
20	-0.00378399221806748	1.43185971063952e-05	-0.00998172204440576	0.00241402832639023	0.0178034931728612	0.990201477975659	6.48745487454875e-05	adnaSel	e5	Historical	even	odd	pruneall
21	-0.00121524712266644	1.47682556914906e-06	-0.00741315521448991	0.00498275433586462	0.0178049699984304	0.990201477975659	6.48285482854829e-05	adnaSel	e5	Historical	even	odd	pruneall
22	-0.000654585379599136	4.28482019184945e-07	-0.00685252150639488	0.00554340103865146	0.0178053984804495	0.990201477975659	6.48014480144802e-05	adnaSel	e5	Historical	even	odd	pruneall
23	0.00278220268439609	7.74065177706079e-06	-0.00341582014611602	0.00898001176128345	0.0178131391322266	0.990201477975659	6.47678476784768e-05	adnaSel	e5	Historical	even	odd	pruneall
24	-0.00040188506276387	1.61511603672719e-07	-0.006599832551582	0.00579609330268322	0.0178133006438303	0.990201477975659	6.46991469914699e-05	adnaSel	e5	Historical	even	odd	pruneall
25	-0.00183958997109549	3.38409126175511e-06	-0.00803746225840058	0.00435842365053423	0.017816684735092	0.990201477975659	6.46681466814668e-05	adnaSel	e5	Historical	even	odd	pruneall
26	-0.00172670445275953	2.9815082671796e-06	-0.00792458357159201	0.00447130732754085	0.0178196662433592	0.990201477975659	6.46253462534625e-05	adnaSel	e5	Historical	even	odd	pruneall
27	-0.00670738398005826	4.49889998559422e-05	-0.0129048114277751	-0.000509441230474995	0.0178646552432152	0.990201477975659	6.45456454564546e-05	adnaSel	e5	Historical	even	odd	pruneall
