q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
0.135741538379192	0.892025608735828	0.397515730452984	0.690987188912017	240	adnaSel	e5	Historical	pruneall	HDL	no-FGr	0
0.296692536366706	0.766701255729189	0.673206370074879	0.500816009177506	237	adnaSel	e5	Historical	pruneall	HDL	no-FGr	10
0.479405872378969	0.631649916643354	1.00903843236055	0.31295620291786	231	adnaSel	e5	Historical	pruneall	HDL	no-FGr	40
-0.409175293100217	0.682411024503033	-0.451789022764362	0.651420978494773	195	adnaSel	e5	Historical	pruneall	SystolicBloodPressure	no-FGr	0
-0.479110379522101	0.631860106065091	-0.416854881485854	0.67678455686136	190	adnaSel	e5	Historical	pruneall	SystolicBloodPressure	no-FGr	10
-1.43951175334625	0.150005582343409	-1.49587641875292	0.134685862436115	184	adnaSel	e5	Historical	pruneall	SystolicBloodPressure	no-FGr	40
-1.27313356732272	0.202970649320449	-0.899915776928016	0.368165073426555	284	adnaSel	e5	Historical	pruneall	HbA1c	no-FGr	0
-1.18134459744827	0.237465857410293	-0.743561077701987	0.457142057809905	282	adnaSel	e5	Historical	pruneall	HbA1c	no-FGr	10
-1.53545107696457	0.124673065578058	-1.26993460012639	0.204107927054233	291	adnaSel	e5	Historical	pruneall	HbA1c	no-FGr	40
-0.525599860573109	0.599166253625968	-0.263187268997569	0.792406242873346	222	adnaSel	e5	Historical	pruneall	TotalProtein	no-FGr	0
-0.583928922697947	0.559268133257417	-0.279147864502111	0.780131351886967	223	adnaSel	e5	Historical	pruneall	TotalProtein	no-FGr	10
-0.104858743597633	0.916487896269821	0.387287088918802	0.698543682752201	224	adnaSel	e5	Historical	pruneall	TotalProtein	no-FGr	40
-0.589295789368678	0.555662868958665	-0.288310138574323	0.773109347046933	95	adnaSel	e5	Historical	pruneall	BasophillPercentage	no-FGr	0
-0.686495458187949	0.492400727392183	-0.282125068896611	0.777847611472434	92	adnaSel	e5	Historical	pruneall	BasophillPercentage	no-FGr	10
-0.924706852164168	0.355118414181295	-0.714504179284861	0.474915472796513	93	adnaSel	e5	Historical	pruneall	BasophillPercentage	no-FGr	40
-1.08738717920782	0.276865734814521	-1.51909007732254	0.128739824033464	370	adnaSel	e5	Historical	pruneall	BodyWeight	no-FGr	0
-1.04086180492255	0.297939690683464	-1.20704718761257	0.227413971878994	359	adnaSel	e5	Historical	pruneall	BodyWeight	no-FGr	10
-0.887519627580569	0.374799203722128	-0.970889678304226	0.331603218612457	351	adnaSel	e5	Historical	pruneall	BodyWeight	no-FGr	40
-1.86013175253992	0.062866887792359	-2.61121232624835	0.00902218585664785	161	adnaSel	e5	Historical	pruneall	Cholesterol	no-FGr	0
-1.22394222046672	0.2209740249295	-1.49234045295521	0.135609916916573	161	adnaSel	e5	Historical	pruneall	Cholesterol	no-FGr	10
-1.18771384249276	0.234946168268559	-1.39022153608071	0.164461615711614	163	adnaSel	e5	Historical	pruneall	Cholesterol	no-FGr	40
-0.339860304754922	0.733961731328179	-0.146803285595518	0.883287291254532	206	adnaSel	e5	Historical	pruneall	Triglycerides	no-FGr	0
-0.440587410689092	0.65951171851952	-0.3374634545201	0.735767557092488	203	adnaSel	e5	Historical	pruneall	Triglycerides	no-FGr	10
-0.550838708868411	0.581744246199401	-0.480205491246272	0.631081282594706	204	adnaSel	e5	Historical	pruneall	Triglycerides	no-FGr	40
2.99753292506477	0.00272174456802181	2.6652914684983	0.00769216214512879	357	adnaSel	e5	Historical	pruneall	MeanCorpuscularVolume	no-FGr	0
3.10004724669358	0.00193489775624418	2.44326739378636	0.0145549487902179	298	adnaSel	e5	Historical	pruneall	MeanCorpuscularVolume	no-FGr	10
3.0504219780152	0.00228520045863645	2.51598846557597	0.0118699067401106	300	adnaSel	e5	Historical	pruneall	MeanCorpuscularVolume	no-FGr	40
2.97572124032157	0.00292300425952905	2.51362235041357	0.0119498319632291	111	adnaSel	e5	Historical	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	0
2.57230139696973	0.0101024900056611	1.90606880949826	0.0566412787749464	111	adnaSel	e5	Historical	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	10
2.45770794635477	0.0139826833727762	1.77971329360368	0.0751228937647684	109	adnaSel	e5	Historical	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	40
-1.10720277545909	0.26820626785127	-1.26606325031648	0.205490438348817	107	adnaSel	e5	Historical	pruneall	Glucose	no-FGr	0
